% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	5	11	2	2	2	32	0	0	0
0.101	1	4	11	2	9	4	15	0	0	0
0.101	1	1	11	2	10	2	32	0	0	0
0.101	1	7	11	2	11	10	37	0	0	0
0.101	1	9	11	2	12	6	49	0	0	0
0.101	1	3	11	2	15	8	32	0	0	0
0.101	1	8	11	2	16	2	9	0	0	0
0.101	1	5	11	2	2	4	32	0	0	1
0.101	1	6	11	2	3	8	32	0	0	1
0.101	1	10	11	2	4	2	22	0	0	1
0.101	1	4	11	2	9	4	32	0	0	1
0.101	1	1	11	2	10	4	32	0	0	1
0.101	1	7	11	2	11	10	37	0	0	1
0.101	1	3	11	2	15	2	9	0	0	1
0.101	1	8	11	2	16	8	32	0	0	1
0.102	1	5	11	3	2	2	32	0	0	0
0.102	1	1	11	3	10	4	32	0	0	0
0.102	1	7	11	3	11	6	75	0	0	0
0.102	1	3	11	3	15	2	41	0	0	0
0.102	1	5	11	3	2	4	15	0	0	1
0.102	1	6	11	3	3	8	32	0	0	1
0.102	1	10	11	3	4	2	32	0	0	1
0.102	1	4	11	3	9	4	32	0	0	1
0.102	1	1	11	3	10	4	32	0	0	1
0.102	1	7	11	3	11	10	37	0	0	1
0.102	1	8	11	3	16	2	22	0	0	1
0.103	1	7	11	4	11	8	67	0	0	0
0.103	1	9	11	4	12	2	109	0	0	0
0.103	1	10	11	4	4	2	77	0	0	1
0.103	1	4	11	4	9	6	22	0	0	1
0.103	1	9	11	4	12	4	15	0	0	1
0.103	1	8	11	4	16	2	32	0	0	1
0.104	1	5	11	5	2	2	32	0	0	0
0.104	1	1	11	5	10	2	32	0	0	0
0.104	1	7	11	5	11	6	75	0	0	0
0.104	1	3	11	5	15	2	32	0	0	0
0.104	1	2	11	5	1	8	32	0	0	1
0.104	1	6	11	5	3	8	32	0	0	1
0.104	1	10	11	5	4	2	41	0	0	1
0.104	1	4	11	5	9	4	32	0	0	1
0.104	1	1	11	5	10	4	32	0	0	1
0.104	1	7	11	5	11	10	37	0	0	1
0.104	1	8	11	5	16	8	32	0	0	1
0.105	1	5	11	6	2	2	22	0	0	0
0.105	1	1	11	6	10	2	32	0	0	0
0.105	1	7	11	6	11	6	101	0	0	0
0.105	1	3	11	6	15	2	32	0	0	0
0.105	1	2	11	6	1	8	32	0	0	1
0.105	1	6	11	6	3	8	32	0	0	1
0.105	1	10	11	6	4	2	41	0	0	1
0.105	1	4	11	6	9	4	32	0	0	1
0.105	1	1	11	6	10	4	32	0	0	1
0.105	1	7	11	6	11	10	37	0	0	1
0.105	1	8	11	6	16	8	32	0	0	1
0.106	1	5	11	7	2	2	22	0	0	0
0.106	1	1	11	7	10	2	32	0	0	0
0.106	1	7	11	7	11	6	101	0	0	0
0.106	1	3	11	7	15	2	32	0	0	0
0.106	1	5	11	7	2	4	15	0	0	1
0.106	1	6	11	7	3	8	32	0	0	1
0.106	1	10	11	7	4	4	32	0	0	1
