% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	28	2292	0
0.109	1	1	11	10	1	28	2292	1
0.117	1	6	12	8	2	28	1095	0
0.117	1	5	12	8	3	28	1095	0
0.117	1	6	12	8	2	28	1095	1
0.117	1	5	12	8	3	28	1095	1
0.124	1	1	13	5	1	28	2292	0
0.124	1	1	13	5	1	28	2292	1
0.125	1	1	13	6	1	28	2292	0
0.125	1	1	13	6	1	28	2292	1
0.126	1	1	13	7	1	28	2292	0
0.126	1	1	13	7	1	28	2292	1
0.14	1	1	15	1	1	28	2292	0
0.14	1	1	15	1	1	28	2292	1
0.141	1	1	15	2	1	28	2292	0
0.141	1	1	15	2	1	28	2292	1
0.155	1	1	16	6	1	28	2292	0
0.155	1	1	16	6	1	28	2292	1
0.156	1	1	16	7	1	28	2292	0
0.156	1	1	16	7	1	28	2292	1
0.171	1	1	18	2	1	28	2292	0
0.171	1	1	18	2	1	28	2292	1
0.172	1	1	18	3	1	28	2292	0
0.172	1	1	18	3	1	28	2292	1
0.187	1	1	19	8	1	28	2292	0
0.187	1	1	19	8	1	28	2292	1
0.188	1	1	19	9	1	28	2292	0
0.188	1	1	19	9	1	28	2292	1
0.194	1	1	20	5	1	28	2292	0
0.209	1	1	21	10	1	14	807	0
0.209	1	1	21	10	1	14	807	1
0.21	1	1	22	1	1	14	807	0
0.21	1	1	22	1	1	14	807	1
0.211	1	1	22	2	1	14	807	0
0.211	1	1	22	2	1	14	807	1
0.212	1	1	22	3	1	14	807	0
0.212	1	1	22	3	1	14	807	1
0.224	1	1	23	5	1	14	807	0
0.224	1	1	23	5	1	14	807	1
0.225	1	1	23	6	1	14	807	0
0.225	1	1	23	6	1	14	807	1
0.226	1	1	23	7	1	14	807	0
0.226	1	1	23	7	1	14	807	1
0.227	1	1	23	8	1	14	807	0
0.227	1	1	23	8	1	14	807	1
0.239	1	1	24	10	1	14	807	0
0.239	1	1	24	10	1	14	807	1
0.24	1	1	25	1	1	14	807	0
0.24	1	1	25	1	1	14	807	1
0.241	1	1	25	2	1	24	1692	0
0.241	1	1	25	2	1	24	1692	1
0.255	1	1	26	6	1	24	1692	0
0.255	1	1	26	6	1	24	1692	1
0.256	1	1	26	7	1	24	1692	0
0.256	1	1	26	7	1	24	1692	1
0.257	1	1	26	8	1	24	1692	0
0.257	1	1	26	8	1	24	1692	1
0.27	1	1	28	1	1	24	1692	0
0.27	1	1	28	1	1	24	1692	1
0.271	1	1	28	2	1	24	1692	0
0.271	1	1	28	2	1	24	1692	1
0.272	1	1	28	3	1	24	1692	0
0.272	1	1	28	3	1	24	1692	1
0.285	1	1	29	6	1	22	1431	0
0.285	1	1	29	6	1	22	1431	1
0.286	1	1	29	7	1	22	1431	0
0.286	1	1	29	7	1	22	1431	1
0.287	1	1	29	8	1	22	1431	0
0.287	1	1	29	8	1	22	1431	1
0.295	1	9	30	6	4	28	2292	0
0.295	1	9	30	6	4	28	2292	1
0.301	1	1	31	2	1	22	1431	0
0.301	1	1	31	2	1	22	1431	1
0.302	1	1	31	3	1	22	1431	0
0.302	1	1	31	3	1	22	1431	1
0.317	1	1	32	8	1	22	1431	0
0.317	1	1	32	8	1	22	1431	1
0.318	1	1	32	9	1	22	1431	0
0.318	1	1	32	9	1	22	1431	1
0.332	1	1	34	3	1	24	1692	0
0.332	1	1	34	3	1	24	1692	1
0.333	1	1	34	4	1	24	1692	0
0.333	1	1	34	4	1	24	1692	1
0.348	1	1	35	9	1	24	1692	0
0.348	1	1	35	9	1	24	1692	1
0.349	1	1	35	10	1	24	1692	0
0.349	1	1	35	10	1	24	1692	1
0.364	1	1	37	5	1	28	2292	0
0.364	1	1	37	5	1	28	2292	1
0.365	1	1	37	6	1	28	2292	0
0.365	1	1	37	6	1	28	2292	1
0.379	1	1	38	10	1	28	2292	0
0.379	1	1	38	10	1	28	2292	1
0.38	1	1	39	1	1	28	2292	0
0.38	1	1	39	1	1	28	2292	1
0.395	1	1	40	6	1	28	2292	0
0.395	1	1	40	6	1	28	2292	1
0.396	1	1	40	7	1	28	2292	0
0.396	1	1	40	7	1	28	2292	1
0.411	1	1	42	2	1	22	1431	0
0.411	1	1	42	2	1	22	1431	1
0.412	1	1	42	3	1	22	1431	0
0.412	1	1	42	3	1	22	1431	1
0.426	1	1	43	7	1	22	1431	0
0.426	1	1	43	7	1	22	1431	1
0.427	1	1	43	8	1	22	1431	0
0.427	1	1	43	8	1	22	1431	1
0.441	1	1	45	2	1	26	1908	0
0.441	1	1	45	2	1	26	1908	1
0.442	1	1	45	3	1	26	1908	0
0.442	1	1	45	3	1	26	1908	1
0.443	1	1	45	4	1	26	1908	0
0.443	1	1	45	4	1	26	1908	1
0.457	1	1	46	8	1	26	1908	0
0.457	1	1	46	8	1	26	1908	1
0.531	1	7	54	2	9	26	1908	0
0.531	1	7	54	2	9	26	1908	1
1.06	1	8	107	1	10	24	1692	0
1.06	1	8	107	1	10	24	1692	1
1.17	1	1	118	1	1	18	1143	0
1.17	1	1	118	1	1	18	1143	1
1.186	1	1	119	7	1	18	1143	0
1.186	1	1	119	7	1	18	1143	1
1.201	1	1	121	2	1	4	225	0
1.201	1	1	121	2	1	4	225	1
1.217	1	1	122	8	1	4	225	0
1.217	1	1	122	8	1	4	225	1
1.233	1	1	124	4	1	4	225	0
1.233	1	1	124	4	1	4	225	1
1.248	1	1	125	9	1	28	2292	0
1.248	1	1	125	9	1	28	2292	1
1.249	1	1	125	10	1	28	2292	0
1.249	1	1	125	10	1	28	2292	1
1.263	1	1	127	4	1	28	2292	0
1.263	1	1	127	4	1	28	2292	1
1.264	1	1	127	5	1	28	2292	0
1.264	1	1	127	5	1	28	2292	1
1.265	1	1	127	6	1	28	2292	0
1.265	1	1	127	6	1	28	2292	1
1.279	1	1	128	10	1	28	2292	0
1.279	1	1	128	10	1	28	2292	1
1.28	1	1	129	1	1	28	2292	0
1.28	1	1	129	1	1	28	2292	1
1.294	1	1	130	5	1	28	2292	0
1.294	1	1	130	5	1	28	2292	1
1.295	1	1	130	6	1	28	2292	0
1.295	1	1	130	6	1	28	2292	1
1.296	1	1	130	7	1	28	2292	0
1.296	1	1	130	7	1	28	2292	1
1.311	1	1	132	2	1	28	2292	0
1.311	1	1	132	2	1	28	2292	1
1.312	1	1	132	3	1	28	2292	0
1.312	1	1	132	3	1	28	2292	1
1.326	1	1	133	7	1	26	1908	0
1.326	1	1	133	7	1	26	1908	1
1.327	1	1	133	8	1	26	1908	0
1.327	1	1	133	8	1	26	1908	1
1.328	1	1	133	9	1	26	1908	0
1.328	1	1	133	9	1	26	1908	1
1.341	1	1	135	2	1	26	1908	0
1.341	1	1	135	2	1	26	1908	1
1.342	1	1	135	3	1	26	1908	0
1.342	1	1	135	3	1	26	1908	1
1.357	1	1	136	8	1	26	1908	0
1.357	1	1	136	8	1	26	1908	1
1.372	1	1	138	3	1	22	1431	0
1.372	1	1	138	3	1	22	1431	1
1.373	1	1	138	4	1	22	1431	0
1.373	1	1	138	4	1	22	1431	1
1.387	1	1	139	8	1	22	1431	0
1.387	1	1	139	8	1	22	1431	1
1.388	1	1	139	9	1	22	1431	0
1.388	1	1	139	9	1	22	1431	1
1.403	1	1	141	4	1	26	1908	0
1.403	1	1	141	4	1	26	1908	1
1.404	1	1	141	5	1	26	1908	0
1.404	1	1	141	5	1	26	1908	1
1.419	1	1	142	10	1	26	1908	0
1.419	1	1	142	10	1	26	1908	1
1.42	1	1	143	1	1	26	1908	0
1.42	1	1	143	1	1	26	1908	1
1.434	1	1	144	5	1	26	1908	0
1.434	1	1	144	5	1	26	1908	1
1.435	1	1	144	6	1	26	1908	0
1.435	1	1	144	6	1	26	1908	1
1.436	1	1	144	7	1	26	1908	0
1.436	1	1	144	7	1	26	1908	1
1.45	1	1	146	1	1	18	1143	0
1.45	1	1	146	1	1	18	1143	1
1.451	1	1	146	2	1	18	1143	0
1.451	1	1	146	2	1	18	1143	1
1.465	1	1	147	6	1	18	1143	0
1.465	1	1	147	6	1	18	1143	1
1.466	1	1	147	7	1	18	1143	0
1.466	1	1	147	7	1	18	1143	1
1.48	1	1	149	1	1	18	1143	0
1.48	1	1	149	1	1	18	1143	1
1.481	1	1	149	2	1	18	1143	0
1.481	1	1	149	2	1	18	1143	1
1.496	1	1	150	7	1	18	1143	0
1.496	1	1	150	7	1	18	1143	1
1.512	1	1	152	3	1	18	1143	0
1.512	1	1	152	3	1	18	1143	1
1.513	1	1	152	4	1	18	1143	0
1.513	1	1	152	4	1	18	1143	1
1.561	1	1	157	2	1	28	2292	0
1.561	1	1	157	2	1	28	2292	1
1.577	1	1	158	8	1	28	2292	0
1.577	1	1	158	8	1	28	2292	1
1.578	1	1	158	9	1	28	2292	0
1.578	1	1	158	9	1	28	2292	1
1.592	1	1	160	3	1	28	2292	0
1.592	1	1	160	3	1	28	2292	1
1.593	1	1	160	4	1	28	2292	0
