% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	28	2292	0	1	1	0
123	1	6	2	0	28	1095	0	1	1	0
123	1	5	3	0	28	1095	0	1	1	0
130	1	1	1	0	28	2292	0	1	1	0
146	1	1	1	0	28	2292	0	1	1	0
161	1	1	1	0	28	2292	0	1	1	0
177	1	1	1	0	28	2292	0	1	1	0
193	1	1	1	0	28	2292	0	1	0	0
200	1	1	1	0	28	2292	1	0	1	0
215	1	1	1	0	14	807	0	1	1	0
230	1	1	1	0	14	807	0	1	1	0
245	1	1	1	0	14	807	0	1	1	0
261	1	1	1	0	24	1692	0	1	1	0
276	1	1	1	0	24	1692	0	1	1	0
291	1	1	1	0	22	1431	0	1	1	0
301	1	9	4	0	28	2292	0	1	1	0
307	1	1	1	0	22	1431	0	1	1	0
323	1	1	1	0	22	1431	0	1	1	0
338	1	1	1	0	24	1692	0	1	1	0
354	1	1	1	0	24	1692	0	1	1	0
370	1	1	1	0	28	2292	0	1	1	0
385	1	1	1	0	28	2292	0	1	1	0
401	1	1	1	0	28	2292	0	1	1	0
417	1	1	1	0	22	1431	0	1	1	0
432	1	1	1	0	22	1431	0	1	1	0
447	1	1	1	0	26	1908	0	1	1	0
463	1	1	1	0	26	1908	0	1	1	0
537	1	7	9	0	26	1908	0	1	1	0
1066	1	8	10	0	24	1692	0	1	1	0
1176	1	1	1	0	18	1143	0	1	1	0
1192	1	1	1	0	18	1143	0	1	1	0
1207	1	1	1	0	4	225	0	1	1	0
1223	1	1	1	0	4	225	0	1	1	0
1239	1	1	1	0	4	225	0	1	1	0
1254	1	1	1	0	28	2292	0	1	1	0
1269	1	1	1	0	28	2292	0	1	1	0
1285	1	1	1	0	28	2292	0	1	1	0
1300	1	1	1	0	28	2292	0	1	1	0
1317	1	1	1	0	28	2292	0	1	1	0
1332	1	1	1	0	26	1908	0	1	1	0
1347	1	1	1	0	26	1908	0	1	1	0
1363	1	1	1	0	26	1908	0	1	1	0
1378	1	1	1	0	22	1431	0	1	1	0
1393	1	1	1	0	22	1431	0	1	1	0
1409	1	1	1	0	26	1908	0	1	1	0
1425	1	1	1	0	26	1908	0	1	1	0
1440	1	1	1	0	26	1908	0	1	1	0
1456	1	1	1	0	18	1143	0	1	1	0
1471	1	1	1	0	18	1143	0	1	1	0
1486	1	1	1	0	18	1143	0	1	1	0
1502	1	1	1	0	18	1143	0	1	1	0
1518	1	1	1	0	18	1143	0	1	1	0
1567	1	1	1	0	28	2292	0	1	1	0
1583	1	1	1	0	28	2292	0	1	1	0
1598	1	1	1	0	28	2292	0	1	1	0
1614	1	1	1	0	28	2292	0	1	1	0
1630	1	1	1	0	28	2292	0	1	1	0
1645	1	1	1	0	28	2292	0	1	1	0
1661	1	1	1	0	28	2292	0	1	1	0
1676	1	1	1	0	28	2292	0	1	1	0
1691	1	1	1	0	28	2292	0	1	1	0
1707	1	1	1	0	28	2292	0	1	1	0
1723	1	1	1	0	28	2292	0	1	1	0
1738	1	1	1	0	28	2292	0	1	1	0
1754	1	1	1	0	28	2292	0	1	1	0
1770	1	1	1	0	18	1143	0	1	1	0
1785	1	1	1	0	18	1143	0	1	1	0
1801	1	1	1	0	18	1143	0	1	1	0
1817	1	1	1	0	28	2292	0	1	1	0
1832	1	1	1	0	28	2292	0	1	1	0
1848	1	1	1	0	28	2292	0	1	1	0
1863	1	1	1	0	28	2292	0	1	1	0
1878	1	1	1	0	28	2292	0	1	1	0
1894	1	1	1	0	28	2292	0	1	1	0
1910	1	1	1	0	28	2292	0	1	1	0
1925	1	1	1	0	28	2292	0	1	1	0
1941	1	1	1	0	28	2292	0	1	1	0
1957	1	1	1	0	28	2292	0	1	1	0
1972	1	1	1	0	22	1431	0	1	1	0
1988	1	1	1	0	22	1431	0	1	1	0
2003	1	1	1	0	22	1431	0	1	1	0
2018	1	1	1	0	28	2292	0	1	1	0
2034	1	1	1	0	28	2292	0	1	1	0
2050	1	1	1	0	20	1335	0	1	1	0
2065	1	1	1	0	20	1335	0	1	1	0
2081	1	1	1	0	20	1335	0	1	1	0
2097	1	1	1	0	22	1431	0	1	1	0
2115	1	1	1	0	22	1431	0	1	1	0
2131	1	1	1	0	28	2292	0	1	1	0
2148	1	1	1	0	28	2292	0	1	1	0
2163	1	1	1	0	28	2292	0	1	1	0
2179	1	1	1	0	28	2292	0	1	1	0
2195	1	1	1	0	28	2292	0	1	1	0
2211	1	1	1	0	26	1908	0	1	1	0
2226	1	1	1	0	26	1908	0	1	1	0
2242	1	1	1	0	26	1908	0	1	1	0
2259	1	1	1	0	14	807	0	1	1	0
2274	1	1	1	0	14	807	0	1	1	0
2289	1	1	1	0	20	1335	0	1	1	0
2305	1	1	1	0	20	1335	0	1	1	0
2321	1	1	1	0	20	1335	0	1	1	0
2336	1	1	1	0	28	2292	0	1	1	0
2352	1	1	1	0	28	2292	0	1	1	0
2368	1	1	1	0	28	2292	0	1	1	0
2383	1	1	1	0	28	2292	0	1	1	0
2398	1	1	1	0	28	2292	0	1	1	0
2414	1	1	1	0	28	2292	0	1	1	0
2429	1	1	1	0	28	2292	0	1	1	0
2445	1	1	1	0	28	2292	0	1	1	0
2461	1	1	1	0	26	1908	0	1	1	0
2476	1	1	1	0	26	1908	0	1	1	0
2491	1	1	1	0	28	2292	0	1	1	0
2507	1	1	1	0	28	2292	0	1	1	0
2522	1	1	1	0	28	2292	0	1	1	0
2538	1	1	1	0	28	2292	0	1	1	0
2554	1	1	1	0	28	2292	0	1	1	0
2569	1	1	1	0	28	2292	0	1	1	0
2585	1	1	1	0	28	2292	0	1	1	0
2601	1	1	1	0	28	2292	0	1	1	0
2616	1	1	1	0	26	1908	0	1	1	0
2632	1	1	1	0	26	1908	0	1	1	0
2647	1	1	1	0	28	2292	0	1	1	0
2662	1	1	1	0	28	2292	0	1	1	0
2678	1	1	1	0	28	2292	0	1	1	0
2694	1	1	1	0	28	2292	0	1	1	0
2709	1	1	1	0	28	2292	0	1	1	0
2725	1	1	1	0	28	2292	0	1	1	0
2741	1	1	1	0	24	1692	0	1	1	0
2756	1	1	1	0	24	1692	0	1	1	0
2771	1	1	1	0	28	2292	0	1	1	0
2787	1	1	1	0	28	2292	0	1	1	0
2802	1	1	1	0	28	2292	0	1	1	0
2818	1	1	1	0	28	2292	0	1	1	0
2834	1	1	1	0	28	2292	0	1	1	0
2850	1	1	1	0	20	1335	0	1	1	0
2866	1	1	1	0	20	1335	0	1	1	0
2881	1	1	1	0	20	1335	0	1	1	0
2896	1	1	1	0	20	1335	0	1	1	0
2912	1	1	1	0	20	1335	0	1	1	0
2927	1	1	1	0	22	1431	0	1	1	0
2942	1	1	1	0	22	1431	0	1	1	0
2958	1	1	1	0	22	1431	0	1	1	0
2974	1	1	1	0	28	2292	0	1	1	0
2990	1	1	1	0	28	2292	0	1	1	0
3007	1	1	1	0	28	2292	0	1	1	0
3023	1	1	1	0	28	2292	0	1	1	0
3039	1	1	1	0	28	2292	0	1	1	0
3054	1	1	1	0	28	2292	0	1	1	0
3070	1	1	1	0	28	2292	0	1	1	0
3086	1	1	1	0	28	2292	0	1	1	0
3127	1	1	1	0	28	2292	0	1	1	0
3142	1	1	1	0	28	2292	0	1	1	0
3157	1	1	1	0	28	2292	0	1	1	0
3173	1	1	1	0	26	1908	0	1	1	0
3196	1	1	1	0	26	1908	0	1	1	0
3212	1	1	1	0	24	1692	0	1	1	0
3228	1	1	1	0	24	1692	0	1	1	0
3243	1	1	1	0	24	1692	0	1	1	0
3259	1	1	1	0	28	2292	0	1	1	0
3275	1	1	1	0	28	2292	0	1	1	0
3292	1	1	1	0	22	1431	0	1	1	0
3310	1	1	1	0	22	1431	0	1	1	0
3325	1	1	1	0	22	1431	0	1	1	0
3341	1	1	1	0	12	621	0	1	1	0
3357	1	1	1	0	12	621	0	1	1	0
3372	1	1	1	0	12	621	0	1	1	0
3389	1	1	1	0	12	621	0	1	1	0
3405	1	1	1	0	12	621	0	1	1	0
3421	1	1	1	0	28	2292	0	1	1	0
3428	1	3	11	0	24	1692	0	1	1	0
3437	1	1	1	0	28	2292	0	1	1	0
3453	1	1	1	0	24	1692	0	1	1	0
3469	1	1	1	0	24	1692	0	1	1	0
3484	1	1	1	0	24	1692	0	1	1	0
3500	1	1	1	0	28	2292	0	1	1	0
3515	1	1	1	0	28	2292	0	1	1	0
3530	1	1	1	0	28	2292	0	1	1	0
3546	1	1	1	0	28	2292	0	1	1	0
3562	1	1	1	0	28	2292	0	1	1	0
3577	1	1	1	0	28	2292	0	1	1	0
3593	1	1	1	0	28	2292	0	1	1	0
3609	1	1	1	0	8	437	0	1	1	0
3624	1	1	1	0	8	437	0	1	1	0
3639	1	1	1	0	8	437	0	1	1	0
3655	1	1	1	0	28	2292	0	1	1	0
3670	1	1	1	0	28	2292	0	1	1	0
3688	1	1	1	0	12	621	0	1	1	0
3704	1	1	1	0	12	621	0	1	1	0
3721	1	1	1	0	12	621	0	1	1	0
3736	1	1	1	0	24	1692	0	1	1	0
3751	1	1	1	0	24	1692	0	1	1	0
3767	1	1	1	0	28	2292	0	1	1	0
3782	1	1	1	0	28	2292	0	1	1	0
3798	1	1	1	0	28	2292	0	1	1	0
3814	1	1	1	0	28	2292	0	1	1	0
3829	1	1	1	0	28	2292	0	1	1	0
3845	1	1	1	0	28	2292	0	1	1	0
3861	1	1	1	0	28	2292	0	1	1	0
3876	1	1	1	0	28	2292	0	1	1	0
3896	1	1	1	0	28	2292	0	1	1	0
3912	1	1	1	0	28	2292	0	1	1	0
3927	1	1	1	0	28	2292	0	1	1	0
3942	1	1	1	0	28	2292	0	1	1	0
3958	1	1	1	0	28	2292	0	1	0	0
3965	1	1	1	0	28	2292	1	0	1	0
3980	1	1	1	0	12	621	0	1	1	0
3996	1	1	1	0	12	621	0	1	1	0
4012	1	1	1	0	28	2292	0	1	1	0
4028	1	1	1	0	28	2292	0	1	1	0
4043	1	1	1	0	28	2292	0	1	1	0
4059	1	1	1	0	28	2292	0	1	1	0
4066	1	8	10	0	28	2292	0	1	1	0
4075	1	1	1	0	28	2292	0	1	0	0
4082	1	1	1	0	28	2292	1	0	1	0
4098	1	1	1	0	12	621	0	1	1	0
4114	1	1	1	0	12	621	0	1	1	0
4129	1	1	1	0	28	2292	0	1	1	0
4145	1	1	1	0	28	2292	0	1	1	0
4160	1	1	1	0	28	2292	0	1	1	0
4175	1	1	1	0	28	2292	0	1	1	0
4191	1	1	1	0	28	2292	0	1	1	0
4207	1	1	1	0	26	1908	0	1	1	0
4223	1	1	1	0	26	1908	0	1	1	0
4238	1	1	1	0	26	1908	0	1	1	0
4253	1	1	1	0	18	1143	0	1	1	0
4269	1	1	1	0	18	1143	0	1	1	0
4286	1	1	1	0	18	1143	0	1	1	0
4302	1	1	1	0	18	1143	0	1	1	0
4318	1	1	1	0	18	1143	0	1	1	0
4333	1	1	1	0	24	1692	0	1	1	0
4349	1	1	1	0	24	1692	0	1	1	0
4365	1	1	1	0	24	1692	0	1	0	0
4372	1	1	1	0	24	1692	1	0	1	0
4387	1	1	1	0	10	549	0	1	1	0
4404	1	1	1	0	10	549	0	1	1	0
4419	1	1	1	0	6	325	0	1	1	0
4435	1	1	1	0	6	325	0	1	1	0
4487	1	1	1	0	4	225	0	1	1	0
4503	1	1	1	0	4	225	0	1	1	0
4519	1	1	1	0	4	225	0	1	1	0
4540	1	1	1	0	28	2292	0	1	1	0
4555	1	1	1	0	28	2292	0	1	1	0
4570	1	1	1	0	28	2292	0	1	1	0
4585	1	1	1	0	28	2292	0	1	1	0
4601	1	1	1	0	28	2292	0	1	0	0
4608	1	1	1	0	28	2292	1	0	1	0
4624	1	1	1	0	2	137	0	1	1	0
4646	1	1	1	0	2	137	0	1	1	0
4646	2	1	1	0	2	137	0	1	1	1
4662	1	1	1	0	26	1908	0	1	1	0
4678	1	1	1	0	26	1908	0	1	1	0
4694	1	1	1	0	20	1335	0	1	1	0
