% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	5	11	2	1	28	2196	0	0	0
0.101	1	5	11	2	1	28	2196	0	0	1
0.102	1	5	11	3	1	28	2052	0	0	0
0.102	1	8	11	3	2	28	185	0	0	0
0.102	1	5	11	3	1	28	2052	0	0	1
0.102	1	8	11	3	2	28	185	0	0	1
0.103	1	5	11	4	1	28	2052	0	0	0
0.103	1	8	11	4	2	28	185	0	0	0
0.103	1	5	11	4	1	28	2052	0	0	1
0.103	1	8	11	4	2	28	185	0	0	1
0.104	1	5	11	5	1	28	1479	0	0	0
0.104	1	8	11	5	2	28	749	0	0	0
0.104	1	5	11	5	1	28	1479	0	0	1
0.104	1	8	11	5	2	28	749	0	0	1
0.105	1	5	11	6	1	28	1479	0	0	0
0.105	1	8	11	6	2	28	749	0	0	0
0.105	1	5	11	6	1	28	1479	0	0	1
0.105	1	8	11	6	2	28	749	0	0	1
0.106	1	5	11	7	1	28	1692	0	0	0
0.106	1	8	11	7	2	28	373	0	0	0
0.106	1	6	11	7	3	28	185	0	0	0
0.106	1	5	11	7	1	28	1692	0	0	1
0.106	1	8	11	7	2	28	373	0	0	1
0.106	1	6	11	7	3	28	185	0	0	1
0.107	1	5	11	8	1	28	1692	0	0	0
0.107	1	8	11	8	2	28	373	0	0	0
0.107	1	6	11	8	3	28	185	0	0	0
0.107	1	5	11	8	1	28	1692	0	0	1
0.107	1	8	11	8	2	28	373	0	0	1
0.107	1	6	11	8	3	28	185	0	0	1
0.108	1	5	11	9	1	28	2196	0	0	0
0.108	1	5	11	9	1	28	2196	0	0	1
0.109	1	5	11	10	1	28	2196	0	0	0
0.109	1	8	11	10	2	28	2196	0	0	1
0.11	1	8	12	1	2	28	2052	0	0	0
0.11	1	6	12	1	3	28	185	0	0	0
0.11	1	8	12	1	2	28	2052	0	0	1
0.11	1	6	12	1	3	28	185	0	0	1
0.111	1	5	12	2	1	28	2052	0	0	0
0.111	1	8	12	2	2	28	185	0	0	0
0.111	1	8	12	2	2	28	2052	0	0	1
0.111	1	6	12	2	3	28	185	0	0	1
0.112	1	5	12	3	1	28	1479	0	0	0
0.112	1	8	12	3	2	28	749	0	0	0
0.112	1	8	12	3	2	28	2196	0	0	1
0.113	1	5	12	4	1	28	1479	0	0	0
0.113	1	8	12	4	2	28	749	0	0	0
0.113	1	5	12	4	1	28	1479	0	0	1
0.113	1	8	12	4	2	28	749	0	0	1
0.114	1	5	12	5	1	28	1836	0	0	0
0.114	1	8	12	5	2	28	373	0	0	0
0.114	1	5	12	5	1	28	1836	0	0	1
0.114	1	8	12	5	2	28	373	0	0	1
0.115	1	5	12	6	1	28	1836	0	0	0
0.115	1	8	12	6	2	28	373	0	0	0
0.115	1	5	12	6	1	28	1836	0	0	1
0.115	1	8	12	6	2	28	373	0	0	1
0.116	1	5	12	7	1	28	1692	0	0	0
0.116	1	8	12	7	2	28	373	0	0	0
0.116	1	6	12	7	3	28	185	0	0	0
0.116	1	5	12	7	1	28	1692	0	0	1
0.116	1	8	12	7	2	28	373	0	0	1
0.116	1	6	12	7	3	28	185	0	0	1
0.117	1	5	12	8	1	28	1692	0	0	0
0.117	1	8	12	8	2	28	373	0	0	0
0.117	1	6	12	8	3	28	185	0	0	0
0.117	1	5	12	8	1	28	1692	0	0	1
0.117	1	8	12	8	2	28	373	0	0	1
0.117	1	6	12	8	3	28	185	0	0	1
0.118	1	5	12	9	1	28	2052	0	0	0
0.118	1	8	12	9	2	28	185	0	0	0
0.118	1	5	12	9	1	28	1479	0	0	1
0.118	1	8	12	9	2	28	549	0	0	1
0.118	1	6	12	9	3	28	185	0	0	1
0.119	1	5	12	10	1	28	1479	0	0	0
0.119	1	8	12	10	2	28	549	0	0	0
0.119	1	6	12	10	3	28	185	0	0	0
0.119	1	5	12	10	1	28	1479	0	0	1
0.119	1	8	12	10	2	28	549	0	0	1
0.119	1	6	12	10	3	28	185	0	0	1
0.12	1	8	13	1	2	28	749	0	0	0
0.12	1	5	13	1	1	28	749	0	0	0
0.12	1	6	13	1	3	28	549	0	0	0
0.12	1	3	13	1	4	28	185	0	0	0
0.12	1	8	13	1	2	28	749	0	0	1
0.12	1	5	13	1	1	28	749	0	0	1
0.12	1	6	13	1	3	28	549	0	0	1
0.12	1	3	13	1	4	28	185	0	0	1
0.121	1	8	13	2	2	28	373	0	0	0
0.121	1	5	13	2	1	28	935	0	0	0
0.121	1	6	13	2	3	28	749	0	0	0
0.121	1	3	13	2	4	28	185	0	0	0
0.121	1	8	13	2	2	28	373	0	0	1
0.121	1	6	13	2	3	28	1692	0	0	1
0.121	1	3	13	2	4	28	185	0	0	1
0.122	1	5	13	3	1	28	1692	0	0	0
0.122	1	8	13	3	2	28	549	0	0	0
0.122	1	8	13	3	2	28	1692	0	0	1
0.122	1	6	13	3	3	28	549	0	0	1
0.123	1	5	13	4	1	28	1692	0	0	0
0.123	1	8	13	4	2	28	549	0	0	0
0.123	1	5	13	4	1	28	1692	0	0	1
0.123	1	8	13	4	2	28	549	0	0	1
0.124	1	5	13	5	1	28	2052	0	0	0
0.124	1	8	13	5	2	28	185	0	0	0
0.124	1	5	13	5	1	28	2052	0	0	1
0.124	1	8	13	5	2	28	185	0	0	1
0.125	1	5	13	6	1	28	2052	0	0	0
0.125	1	8	13	6	2	28	185	0	0	0
0.125	1	5	13	6	1	28	2052	0	0	1
0.125	1	8	13	6	2	28	185	0	0	1
0.126	1	5	13	7	1	28	1692	0	0	0
0.126	1	8	13	7	2	28	549	0	0	0
0.126	1	5	13	7	1	28	1692	0	0	1
0.126	1	8	13	7	2	28	549	0	0	1
0.127	1	5	13	8	1	28	1692	0	0	0
0.127	1	8	13	8	2	28	549	0	0	0
0.127	1	5	13	8	1	28	1692	0	0	1
0.127	1	8	13	8	2	28	549	0	0	1
0.128	1	8	13	9	2	28	1287	0	0	0
0.128	1	6	13	9	3	28	935	0	0	0
0.128	1	8	13	9	2	28	1287	0	0	1
0.128	1	6	13	9	3	28	935	0	0	1
0.129	1	5	13	10	1	28	1836	0	0	0
0.129	1	6	13	10	3	28	373	0	0	0
0.129	1	5	13	10	1	28	1836	0	0	1
0.129	1	6	13	10	3	28	373	0	0	1
0.13	1	5	14	1	1	28	1692	0	0	0
0.13	1	8	14	1	2	28	185	0	0	0
0.13	1	6	14	1	3	28	185	0	0	0
0.13	1	1	14	1	9	28	185	0	0	0
0.13	1	5	14	1	1	28	1692	0	0	1
0.13	1	8	14	1	2	28	185	0	0	1
0.13	1	6	14	1	3	28	185	0	0	1
0.13	1	1	14	1	9	28	185	0	0	1
0.131	1	8	14	2	2	28	185	0	0	0
0.131	1	5	14	2	1	28	1479	0	0	0
0.131	1	6	14	2	3	28	373	0	0	0
0.131	1	1	14	2	9	28	185	0	0	0
0.131	1	8	14	2	2	28	185	0	0	1
0.131	1	5	14	2	1	28	1479	0	0	1
0.131	1	6	14	2	3	28	373	0	0	1
0.131	1	1	14	2	9	28	185	0	0	1
0.132	1	5	14	3	1	28	1287	0	0	0
0.132	1	8	14	3	2	28	749	0	0	0
0.132	1	6	14	3	3	28	185	0	0	0
0.132	1	5	14	3	1	28	1287	0	0	1
0.132	1	8	14	3	2	28	749	0	0	1
0.132	1	6	14	3	3	28	185	0	0	1
0.133	1	5	14	4	1	28	1287	0	0	0
0.133	1	8	14	4	2	28	749	0	0	0
0.133	1	6	14	4	3	28	185	0	0	0
0.133	1	8	14	4	2	28	1692	0	0	1
0.133	1	6	14	4	3	28	185	0	0	1
0.133	1	1	14	4	9	28	185	0	0	1
0.133	1	2	14	4	10	28	185	0	0	1
0.134	1	5	14	5	1	28	1692	0	0	0
0.134	1	8	14	5	2	28	549	0	0	0
0.134	1	8	14	5	2	28	2196	0	0	1
0.135	1	5	14	6	1	28	1692	0	0	0
0.135	1	8	14	6	2	28	549	0	0	0
0.135	1	8	14	6	2	28	2196	0	0	1
0.136	1	5	14	7	1	28	1479	0	0	0
0.136	1	8	14	7	2	28	749	0	0	0
0.136	1	5	14	7	1	28	1479	0	0	1
0.136	1	8	14	7	2	28	749	0	0	1
0.137	1	5	14	8	1	28	1479	0	0	0
0.137	1	8	14	8	2	28	749	0	0	0
0.137	1	5	14	8	1	28	1479	0	0	1
0.137	1	8	14	8	2	28	749	0	0	1
0.138	1	5	14	9	1	28	2196	0	0	0
0.138	1	5	14	9	1	28	2196	0	0	1
0.139	1	5	14	10	1	28	2196	0	0	0
0.139	1	5	14	10	1	28	2196	0	0	1
0.14	1	5	15	1	1	28	2196	0	0	0
0.14	1	5	15	1	1	28	2196	0	0	1
0.141	1	5	15	2	1	28	2196	0	0	0
0.141	1	5	15	2	1	28	2196	0	0	1
0.142	1	5	15	3	1	28	1836	0	0	0
0.142	1	8	15	3	2	28	185	0	0	0
0.142	1	6	15	3	3	28	185	0	0	0
0.142	1	5	15	3	1	28	1836	0	0	1
0.142	1	8	15	3	2	28	185	0	0	1
0.142	1	6	15	3	3	28	185	0	0	1
0.143	1	5	15	4	1	28	1836	0	0	0
0.143	1	8	15	4	2	28	185	0	0	0
0.143	1	6	15	4	3	28	185	0	0	0
0.143	1	5	15	4	1	28	1836	0	0	1
0.143	1	8	15	4	2	28	185	0	0	1
0.143	1	6	15	4	3	28	185	0	0	1
0.144	1	5	15	5	1	28	2196	0	0	0
0.144	1	5	15	5	1	28	2196	0	0	1
0.145	1	5	15	6	1	28	2196	0	0	0
0.145	1	5	15	6	1	28	2196	0	0	1
0.146	1	5	15	7	1	28	2196	0	0	0
0.146	1	5	15	7	1	28	2196	0	0	1
0.147	1	8	15	8	2	28	1836	0	0	0
0.147	1	6	15	8	3	28	373	0	0	0
0.147	1	8	15	8	2	28	1836	0	0	1
0.147	1	6	15	8	3	28	373	0	0	1
0.148	1	5	15	9	1	28	1692	0	0	0
0.148	1	8	15	9	2	28	549	0	0	0
0.148	1	8	15	9	2	28	1836	0	0	1
0.148	1	6	15	9	3	28	373	0	0	1
0.149	1	5	15	10	1	28	1692	0	0	0
0.149	1	8	15	10	2	28	549	0	0	0
0.149	1	8	15	10	2	28	1836	0	0	1
0.149	1	6	15	10	3	28	373	0	0	1
0.15	1	5	16	1	1	28	1836	0	0	0
0.15	1	8	16	1	2	28	373	0	0	0
0.15	1	8	16	1	2	28	2196	0	0	1
0.151	1	5	16	2	1	28	1836	0	0	0
0.151	1	8	16	2	2	28	373	0	0	0
0.151	1	5	16	2	1	28	1836	0	0	1
0.151	1	8	16	2	2	28	373	0	0	1
0.152	1	5	16	3	1	28	2196	0	0	0
0.152	1	5	16	3	1	28	2196	0	0	1
0.153	1	5	16	4	1	28	2196	0	0	0
0.153	1	5	16	4	1	28	2196	0	0	1
0.154	1	5	16	5	1	28	1095	0	0	0
0.154	1	8	16	5	2	28	749	0	0	0
0.154	1	6	16	5	3	28	185	0	0	0
0.154	1	3	16	5	4	28	185	0	0	0
0.154	1	5	16	5	1	28	1095	0	0	1
0.154	1	8	16	5	2	28	749	0	0	1
0.154	1	6	16	5	3	28	185	0	0	1
0.154	1	3	16	5	4	28	185	0	0	1
0.155	1	5	16	6	1	28	1095	0	0	0
0.155	1	8	16	6	2	28	749	0	0	0
0.155	1	6	16	6	3	28	185	0	0	0
0.155	1	3	16	6	4	28	185	0	0	0
0.155	1	5	16	6	1	28	1095	0	0	1
0.155	1	8	16	6	2	28	749	0	0	1
0.155	1	6	16	6	3	28	185	0	0	1
0.155	1	3	16	6	4	28	185	0	0	1
0.156	1	8	16	7	2	28	1692	0	0	0
0.156	1	6	16	7	3	28	373	0	0	0
0.156	1	3	16	7	4	28	185	0	0	0
0.156	1	8	16	7	2	28	1692	0	0	1
0.156	1	6	16	7	3	28	373	0	0	1
0.156	1	3	16	7	4	28	185	0	0	1
0.157	1	8	16	8	2	28	373	0	0	0
0.157	1	5	16	8	1	28	1836	0	0	0
0.157	1	5	16	8	1	28	2052	0	0	1
0.157	1	8	16	8	2	28	185	0	0	1
