% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	5	11	10	1	22	1431	0
0.109	1	5	11	10	1	22	1431	1
0.11	1	8	12	1	2	24	1692	0
0.11	1	8	12	1	2	24	1692	1
0.114	1	6	12	5	3	8	437	0
0.114	1	6	12	5	3	8	437	1
0.126	1	5	13	7	1	6	325	0
0.126	1	5	13	7	1	6	325	1
0.127	1	5	13	8	1	6	325	0
0.127	1	5	13	8	1	6	325	1
0.128	1	3	13	9	4	12	621	0
0.128	1	3	13	9	4	12	621	1
0.131	1	8	14	2	2	20	1335	0
0.131	1	8	14	2	2	20	1335	1
0.138	1	1	14	9	9	14	807	0
0.138	1	1	14	9	9	14	807	1
0.139	1	8	14	10	2	20	1335	0
0.139	1	8	14	10	2	20	1335	1
0.141	1	2	15	2	10	28	2292	0
0.141	1	2	15	2	10	28	2292	1
0.142	1	5	15	3	1	6	325	0
0.142	1	5	15	3	1	6	325	1
0.143	1	5	15	4	1	6	325	0
0.143	1	5	15	4	1	6	325	1
0.144	1	5	15	5	1	6	325	0
0.144	1	5	15	5	1	6	325	1
0.145	1	5	15	6	1	6	325	0
0.145	1	5	15	6	1	6	325	1
0.148	1	2	15	9	10	28	2292	0
0.156	1	8	16	7	2	20	1335	0
0.156	1	8	16	7	2	20	1335	1
0.157	1	8	16	8	2	20	1335	0
0.157	1	8	16	8	2	20	1335	1
0.158	1	5	16	9	1	6	325	0
0.158	1	5	16	9	1	6	325	1
0.159	1	5	16	10	1	6	325	0
0.159	1	5	16	10	1	6	325	1
0.16	1	5	17	1	1	6	325	0
0.16	1	5	17	1	1	6	325	1
0.173	1	5	18	4	1	24	1692	0
0.173	1	5	18	4	1	24	1692	1
0.174	1	5	18	5	1	24	1692	0
0.174	1	5	18	5	1	24	1692	1
0.175	1	5	18	6	1	24	1692	0
0.175	1	5	18	6	1	24	1692	1
0.176	1	5	18	7	1	24	1692	0
0.176	1	5	18	7	1	24	1692	1
0.177	1	8	18	8	2	4	225	0
0.177	1	8	18	8	2	4	225	1
0.189	1	5	19	10	1	24	1692	0
0.189	1	5	19	10	1	24	1692	1
0.19	1	5	20	1	1	24	1692	0
0.19	1	5	20	1	1	24	1692	1
0.191	1	5	20	2	1	24	1692	0
0.191	1	5	20	2	1	24	1692	1
0.202	1	8	21	3	2	22	1431	0
0.202	1	8	21	3	2	22	1431	1
0.203	1	8	21	4	2	22	1431	0
0.203	1	8	21	4	2	22	1431	1
0.205	1	5	21	6	1	14	807	0
0.205	1	5	21	6	1	14	807	1
0.206	1	5	21	7	1	14	807	0
0.206	1	5	21	7	1	14	807	1
0.22	1	5	23	1	1	14	807	0
0.22	1	5	23	1	1	14	807	1
0.221	1	5	23	2	1	14	807	0
0.221	1	5	23	2	1	14	807	1
0.222	1	5	23	3	1	14	807	0
0.222	1	5	23	3	1	14	807	1
0.237	1	5	24	8	1	14	807	0
0.237	1	5	24	8	1	14	807	1
0.238	1	5	24	9	1	14	807	0
0.238	1	5	24	9	1	14	807	1
0.253	1	5	26	4	1	22	1431	0
0.253	1	5	26	4	1	22	1431	1
0.254	1	5	26	5	1	22	1431	0
0.254	1	5	26	5	1	22	1431	1
0.27	1	5	28	1	1	22	1431	0
0.27	1	5	28	1	1	22	1431	1
