% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	9	11	2	1	28	2196	0	0	0
0.101	1	9	11	2	1	28	2196	0	0	1
0.102	1	6	11	3	2	28	2052	0	0	0
0.102	1	10	11	3	4	28	185	0	0	0
0.102	1	6	11	3	2	28	2052	0	0	1
0.102	1	10	11	3	4	28	185	0	0	1
0.103	1	8	11	4	3	28	1836	0	0	0
0.103	1	5	11	4	11	28	373	0	0	0
0.103	1	8	11	4	3	28	1836	0	0	1
0.103	1	5	11	4	11	28	373	0	0	1
0.104	1	3	11	5	12	28	1479	0	0	0
0.104	1	2	11	5	13	28	749	0	0	0
0.104	1	3	11	5	12	28	1479	0	0	1
0.104	1	2	11	5	13	28	749	0	0	1
0.105	1	1	11	6	14	28	2196	0	0	0
0.105	1	1	11	6	14	28	2196	0	0	1
0.106	1	4	11	7	17	28	2196	0	0	0
0.106	1	4	11	7	17	28	2196	0	0	1
0.107	1	7	11	8	18	28	2196	0	0	0
0.107	1	7	11	8	18	28	2196	0	0	1
0.108	1	10	11	9	4	28	2196	0	0	0
0.108	1	10	11	9	4	28	2196	0	0	1
0.109	1	5	11	10	11	28	2196	0	0	0
0.109	1	5	11	10	11	28	2196	0	0	1
0.11	1	2	12	1	13	28	2196	0	0	0
0.11	1	2	12	1	13	28	2196	0	0	1
0.111	1	8	12	2	3	28	749	0	0	0
0.111	1	3	12	2	12	28	1479	0	0	0
0.111	1	8	12	2	3	28	749	0	0	1
0.111	1	3	12	2	12	28	1479	0	0	1
0.112	1	9	12	3	1	28	935	0	0	0
0.112	1	6	12	3	2	28	1287	0	0	0
0.112	1	9	12	3	1	28	935	0	0	1
0.112	1	6	12	3	2	28	1287	0	0	1
0.113	1	1	12	4	14	28	2196	0	0	0
0.113	1	1	12	4	14	28	2196	0	0	1
0.114	1	4	12	5	17	28	2196	0	0	0
0.114	1	4	12	5	17	28	2196	0	0	1
0.115	1	7	12	6	18	28	2196	0	0	0
0.115	1	7	12	6	18	28	2196	0	0	1
0.116	1	10	12	7	4	28	2196	0	0	0
0.116	1	10	12	7	4	28	2196	0	0	1
0.117	1	8	12	8	3	28	1836	0	0	0
0.117	1	5	12	8	11	28	373	0	0	0
0.117	1	8	12	8	3	28	1836	0	0	1
0.117	1	5	12	8	11	28	373	0	0	1
0.118	1	3	12	9	12	28	1692	0	0	0
0.118	1	2	12	9	13	28	549	0	0	0
0.118	1	3	12	9	12	28	1692	0	0	1
0.118	1	2	12	9	13	28	549	0	0	1
0.119	1	5	12	10	11	28	2196	0	0	0
0.119	1	5	12	10	11	28	2196	0	0	1
0.12	1	9	13	1	1	28	2196	0	0	0
0.12	1	9	13	1	1	28	2196	0	0	1
0.121	1	6	13	2	2	28	1287	0	0	0
0.121	1	2	13	2	13	28	935	0	0	0
0.121	1	6	13	2	2	28	1287	0	0	1
0.121	1	2	13	2	13	28	935	0	0	1
0.122	1	1	13	3	14	28	2196	0	0	0
0.122	1	1	13	3	14	28	2196	0	0	1
0.123	1	8	13	4	3	28	1095	0	0	0
0.123	1	4	13	4	17	28	749	0	0	0
0.123	1	7	13	4	18	28	373	0	0	0
0.123	1	8	13	4	3	28	1095	0	0	1
0.123	1	4	13	4	17	28	749	0	0	1
0.123	1	7	13	4	18	28	373	0	0	1
0.124	1	2	13	5	13	28	2196	0	0	0
0.124	1	2	13	5	13	28	2196	0	0	1
0.125	1	6	13	6	2	28	2196	0	0	0
0.125	1	6	13	6	2	28	2196	0	0	1
0.126	1	10	13	7	4	28	2196	0	0	0
0.126	1	10	13	7	4	28	2196	0	0	1
0.127	1	3	13	8	12	28	2196	0	0	0
0.127	1	3	13	8	12	28	2196	0	0	1
0.128	1	7	13	9	18	28	2196	0	0	0
0.128	1	7	13	9	18	28	2196	0	0	1
0.129	1	5	13	10	11	28	1692	0	0	0
0.129	1	4	13	10	17	28	549	0	0	0
0.129	1	5	13	10	11	28	1692	0	0	1
0.129	1	4	13	10	17	28	549	0	0	1
0.13	1	9	14	1	1	28	2196	0	0	0
0.13	1	9	14	1	1	28	2196	0	0	1
0.131	1	8	14	2	3	28	2052	0	0	0
0.131	1	1	14	2	14	28	185	0	0	0
0.131	1	8	14	2	3	28	2052	0	0	1
0.131	1	1	14	2	14	28	185	0	0	1
0.132	1	1	14	3	14	28	1692	0	0	0
0.132	1	4	14	3	17	28	549	0	0	0
0.132	1	1	14	3	14	28	1692	0	0	1
0.132	1	4	14	3	17	28	549	0	0	1
0.133	1	2	14	4	13	28	1287	0	0	0
0.133	1	4	14	4	17	28	935	0	0	0
0.133	1	2	14	4	13	28	1287	0	0	1
0.133	1	4	14	4	17	28	935	0	0	1
0.134	1	6	14	5	2	28	2196	0	0	0
0.134	1	6	14	5	2	28	2196	0	0	1
0.135	1	10	14	6	4	28	2196	0	0	0
0.135	1	10	14	6	4	28	2196	0	0	1
0.136	1	3	14	7	12	28	2196	0	0	0
0.136	1	3	14	7	12	28	2196	0	0	1
0.137	1	5	14	8	11	28	1836	0	0	0
0.137	1	7	14	8	18	28	373	0	0	0
0.137	1	5	14	8	11	28	1836	0	0	1
0.137	1	7	14	8	18	28	373	0	0	1
0.138	1	4	14	9	17	28	1095	0	0	0
