% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	3	11	2	1	28	185	0	0	0
0.101	1	5	11	2	2	28	185	0	0	0
0.101	1	4	11	2	3	22	113	0	0	0
0.101	1	2	11	2	4	28	185	0	0	0
0.101	1	7	11	2	11	28	185	0	0	0
0.101	1	8	11	2	12	28	185	0	0	0
0.101	1	6	11	2	13	28	185	0	0	0
0.101	1	9	11	2	14	28	185	0	0	0
0.101	1	10	11	2	15	28	185	0	0	0
0.101	1	1	11	2	16	28	185	0	0	0
0.101	1	3	11	2	1	28	185	0	0	1
0.101	1	5	11	2	2	28	185	0	0	1
0.101	1	4	11	2	3	28	185	0	0	1
0.101	1	2	11	2	4	28	185	0	0	1
0.101	1	7	11	2	11	28	185	0	0	1
0.101	1	8	11	2	12	28	185	0	0	1
0.101	1	6	11	2	13	28	185	0	0	1
0.101	1	9	11	2	14	28	185	0	0	1
0.101	1	10	11	2	15	28	185	0	0	1
0.101	1	1	11	2	16	28	185	0	0	1
0.102	1	3	11	3	1	28	749	0	0	0
0.102	1	9	11	3	14	28	749	0	0	0
0.102	1	1	11	3	16	28	749	0	0	0
0.102	1	3	11	3	1	26	453	0	0	1
0.102	1	4	11	3	3	28	749	0	0	1
0.102	1	10	11	3	15	28	749	0	0	1
0.102	1	1	11	3	16	28	185	0	0	1
0.103	1	3	11	4	1	28	935	0	0	0
0.103	1	9	11	4	14	28	373	0	0	0
0.103	1	1	11	4	16	28	935	0	0	0
0.103	1	4	11	4	3	24	669	0	0	1
0.103	1	10	11	4	15	24	807	0	0	1
0.103	1	1	11	4	16	28	185	0	0	1
0.104	1	7	11	5	11	28	749	0	0	0
0.104	1	9	11	5	14	28	1479	0	0	0
0.104	1	4	11	5	3	20	597	0	0	1
0.104	1	9	11	5	14	28	1095	0	0	1
0.105	1	7	11	6	11	28	2196	0	0	0
0.105	1	6	11	6	13	28	2196	0	0	1
0.106	1	5	11	7	2	26	1836	0	0	0
0.106	1	5	11	7	2	28	1836	0	0	1
0.106	1	8	11	7	12	28	373	0	0	1
0.107	1	3	11	8	1	28	2052	0	0	0
0.107	1	1	11	8	16	28	185	0	0	0
0.107	1	4	11	8	3	28	373	0	0	1
0.107	1	2	11	8	4	28	373	0	0	1
0.107	1	8	11	8	12	28	1479	0	0	1
0.108	1	1	11	9	16	28	2196	0	0	0
0.108	1	4	11	9	3	26	749	0	0	1
0.108	1	2	11	9	4	28	1287	0	0	1
0.109	1	5	11	10	2	28	1836	0	0	0
0.109	1	9	11	10	14	28	373	0	0	0
0.109	1	4	11	10	3	26	621	0	0	1
0.109	1	10	11	10	15	20	775	0	0	1
0.11	1	5	12	1	2	24	1479	0	0	0
0.11	1	9	12	1	14	28	185	0	0	0
0.11	1	4	12	1	3	26	749	0	0	1
0.11	1	10	12	1	15	20	693	0	0	1
0.111	1	9	12	2	14	28	2196	0	0	0
0.111	1	6	12	2	13	28	2196	0	0	1
0.112	1	7	12	3	11	28	2196	0	0	0
0.112	1	4	12	3	3	26	453	0	0	1
0.112	1	2	12	3	4	28	373	0	0	1
0.112	1	8	12	3	12	28	1287	0	0	1
0.113	1	3	12	4	1	28	2196	0	0	0
0.113	1	4	12	4	3	28	185	0	0	1
0.113	1	2	12	4	4	28	2052	0	0	1
0.114	1	5	12	5	2	22	573	0	0	0
0.114	1	1	12	5	16	28	1287	0	0	0
0.114	1	4	12	5	3	22	693	0	0	1
0.114	1	10	12	5	15	22	693	0	0	1
0.115	1	1	12	6	16	28	2196	0	0	0
0.115	1	4	12	6	3	26	453	0	0	1
0.115	1	2	12	6	4	28	185	0	0	1
0.115	1	10	12	6	15	22	935	0	0	1
0.116	1	5	12	7	2	22	469	0	0	0
0.116	1	7	12	7	11	28	1479	0	0	0
0.116	1	4	12	7	3	22	693	0	0	1
0.116	1	8	12	7	12	28	935	0	0	1
0.116	1	10	12	7	15	28	185	0	0	1
0.117	1	5	12	8	2	16	839	0	0	0
0.117	1	9	12	8	14	28	185	0	0	0
0.117	1	5	12	8	2	26	301	0	0	1
0.117	1	4	12	8	3	22	693	0	0	1
0.117	1	8	12	8	12	28	549	0	0	1
0.117	1	10	12	8	15	28	185	0	0	1
0.118	1	5	12	9	2	20	693	0	0	0
0.118	1	9	12	9	14	28	935	0	0	0
0.118	1	5	12	9	2	26	301	0	0	1
0.118	1	4	12	9	3	22	693	0	0	1
0.118	1	2	12	9	4	28	549	0	0	1
0.118	1	10	12	9	15	28	185	0	0	1
0.119	1	5	12	10	2	20	693	0	0	0
0.119	1	9	12	10	14	28	935	0	0	0
0.119	1	5	12	10	2	26	301	0	0	1
0.119	1	4	12	10	3	22	693	0	0	1
0.119	1	2	12	10	4	28	549	0	0	1
0.119	1	10	12	10	15	28	185	0	0	1
0.12	1	5	13	1	2	18	405	0	0	0
0.12	1	7	13	1	11	28	1287	0	0	0
0.12	1	5	13	1	2	24	269	0	0	1
0.12	1	4	13	1	3	22	693	0	0	1
0.12	1	10	13	1	15	22	469	0	0	1
0.121	1	3	13	2	1	28	1479	0	0	0
0.121	1	5	13	2	2	18	325	0	0	0
0.121	1	5	13	2	2	24	269	0	0	1
0.121	1	4	13	2	3	22	693	0	0	1
0.121	1	6	13	2	13	28	549	0	0	1
0.121	1	10	13	2	15	28	185	0	0	1
0.122	1	5	13	3	2	24	533	0	0	0
0.122	1	1	13	3	16	28	1479	0	0	0
0.122	1	5	13	3	2	24	269	0	0	1
0.122	1	4	13	3	3	22	693	0	0	1
0.122	1	6	13	3	13	28	549	0	0	1
0.122	1	10	13	3	15	28	185	0	0	1
0.123	1	5	13	4	2	24	405	0	0	0
0.123	1	9	13	4	14	28	1692	0	0	0
0.123	1	4	13	4	3	22	693	0	0	1
0.123	1	6	13	4	13	28	935	0	0	1
0.123	1	10	13	4	15	28	185	0	0	1
0.124	1	5	13	5	2	22	349	0	0	0
0.124	1	7	13	5	11	28	1692	0	0	0
0.124	1	4	13	5	3	22	469	0	0	1
0.124	1	2	13	5	4	28	549	0	0	1
0.124	1	8	13	5	12	28	935	0	0	1
0.125	1	3	13	6	1	28	1479	0	0	0
0.125	1	5	13	6	2	22	469	0	0	0
0.125	1	4	13	6	3	22	693	0	0	1
0.125	1	8	13	6	12	28	373	0	0	1
0.125	1	10	13	6	15	28	749	0	0	1
0.126	1	5	13	7	2	26	301	0	0	0
0.126	1	1	13	7	16	28	1836	0	0	0
0.126	1	4	13	7	3	22	573	0	0	1
0.126	1	6	13	7	13	28	185	0	0	1
0.126	1	10	13	7	15	24	807	0	0	1
0.127	1	5	13	8	2	26	301	0	0	0
0.127	1	7	13	8	11	28	1836	0	0	0
0.127	1	4	13	8	3	22	573	0	0	1
0.127	1	6	13	8	13	28	1287	0	0	1
0.128	1	7	13	9	11	28	2196	0	0	0
0.128	1	4	13	9	3	22	573	0	0	1
0.128	1	6	13	9	13	28	1287	0	0	1
0.129	1	3	13	10	1	28	2196	0	0	0
0.129	1	2	13	10	4	28	1692	0	0	1
0.129	1	8	13	10	12	28	549	0	0	1
0.13	1	5	14	1	2	26	453	0	0	0
0.13	1	1	14	1	16	28	1692	0	0	0
0.13	1	4	14	1	3	26	149	0	0	1
0.13	1	2	14	1	4	28	935	0	0	1
0.13	1	8	14	1	12	28	549	0	0	1
0.13	1	10	14	1	15	28	549	0	0	1
0.131	1	5	14	2	2	26	453	0	0	0
0.131	1	9	14	2	14	28	1692	0	0	0
0.131	1	4	14	2	3	26	301	0	0	1
0.131	1	2	14	2	4	28	749	0	0	1
0.131	1	8	14	2	12	22	349	0	0	1
0.131	1	10	14	2	15	28	549	0	0	1
0.132	1	5	14	3	2	28	185	0	0	0
0.132	1	9	14	3	14	28	2052	0	0	0
0.132	1	4	14	3	3	22	469	0	0	1
0.132	1	8	14	3	12	22	349	0	0	1
0.132	1	6	14	3	13	28	373	0	0	1
0.132	1	10	14	3	15	28	549	0	0	1
0.133	1	3	14	4	1	28	1287	0	0	0
0.133	1	5	14	4	2	24	669	0	0	0
0.133	1	5	14	4	2	28	185	0	0	1
0.133	1	4	14	4	3	22	573	0	0	1
0.133	1	8	14	4	12	24	405	0	0	1
0.133	1	10	14	4	15	28	549	0	0	1
0.134	1	3	14	5	1	28	1692	0	0	0
0.134	1	5	14	5	2	28	549	0	0	0
0.134	1	2	14	5	4	28	1287	0	0	1
0.134	1	8	14	5	12	24	405	0	0	1
0.134	1	6	14	5	13	28	373	0	0	1
0.135	1	1	14	6	16	28	2196	0	0	0
0.135	1	2	14	6	4	28	373	0	0	1
0.135	1	8	14	6	12	20	501	0	0	1
0.135	1	6	14	6	13	28	935	0	0	1
0.136	1	9	14	7	14	28	2196	0	0	0
0.136	1	2	14	7	4	28	1287	0	0	1
0.136	1	8	14	7	12	24	533	0	0	1
0.136	1	10	14	7	15	28	185	0	0	1
0.137	1	7	14	8	11	28	2196	0	0	0
0.137	1	4	14	8	3	16	225	0	0	1
0.137	1	8	14	8	12	22	349	0	0	1
0.137	1	6	14	8	13	28	549	0	0	1
0.137	1	10	14	8	15	28	549	0	0	1
0.138	1	7	14	9	11	28	2196	0	0	0
0.138	1	4	14	9	3	26	301	0	0	1
0.138	1	8	14	9	12	22	349	0	0	1
0.138	1	6	14	9	13	28	549	0	0	1
0.138	1	10	14	9	15	28	749	0	0	1
0.139	1	3	14	10	1	28	1836	0	0	0
0.139	1	5	14	10	2	28	373	0	0	0
0.139	1	4	14	10	3	16	309	0	0	1
0.139	1	2	14	10	4	28	373	0	0	1
0.139	1	8	14	10	12	18	325	0	0	1
0.139	1	10	14	10	15	28	373	0	0	1
0.14	1	5	15	1	2	26	621	0	0	0
0.14	1	1	15	1	16	28	1479	0	0	0
0.14	1	4	15	1	3	18	325	0	0	1
0.14	1	2	15	1	4	28	549	0	0	1
0.14	1	8	15	1	12	18	325	0	0	1
0.14	1	10	15	1	15	28	185	0	0	1
0.141	1	5	15	2	2	26	1063	0	0	0
0.141	1	1	15	2	16	28	935	0	0	0
0.141	1	4	15	2	3	18	161	0	0	1
0.141	1	2	15	2	4	28	549	0	0	1
0.141	1	8	15	2	12	16	453	0	0	1
0.141	1	10	15	2	15	28	185	0	0	1
0.142	1	5	15	3	2	26	1063	0	0	0
0.142	1	9	15	3	14	28	935	0	0	0
0.142	1	4	15	3	3	18	79	0	0	1
0.142	1	2	15	3	4	22	573	0	0	1
0.142	1	8	15	3	12	16	453	0	0	1
0.143	1	5	15	4	2	26	1063	0	0	0
0.143	1	9	15	4	14	28	935	0	0	0
0.143	1	4	15	4	3	18	79	0	0	1
0.143	1	2	15	4	4	22	573	0	0	1
0.143	1	8	15	4	12	18	325	0	0	1
0.143	1	10	15	4	15	28	373	0	0	1
0.144	1	5	15	5	2	28	1095	0	0	0
0.144	1	9	15	5	14	28	1095	0	0	0
0.144	1	4	15	5	3	12	201	0	0	1
0.144	1	8	15	5	12	18	325	0	0	1
0.144	1	6	15	5	13	28	373	0	0	1
0.144	1	10	15	5	15	28	373	0	0	1
0.145	1	3	15	6	1	28	935	0	0	0
0.145	1	5	15	6	2	24	935	0	0	0
0.145	1	4	15	6	3	12	149	0	0	1
0.145	1	8	15	6	12	14	317	0	0	1
0.145	1	6	15	6	13	28	749	0	0	1
0.146	1	5	15	7	2	28	549	0	0	0
0.146	1	1	15	7	16	28	1692	0	0	0
0.146	1	4	15	7	3	14	193	0	0	1
0.146	1	8	15	7	12	14	317	0	0	1
0.146	1	6	15	7	13	28	749	0	0	1
0.147	1	5	15	8	2	28	549	0	0	0
0.147	1	1	15	8	16	28	1692	0	0	0
0.147	1	4	15	8	3	14	193	0	0	1
0.147	1	8	15	8	12	12	349	0	0	1
0.147	1	6	15	8	13	28	373	0	0	1
0.148	1	9	15	9	14	28	2196	0	0	0
0.148	1	4	15	9	3	16	225	0	0	1
0.148	1	8	15	9	12	16	389	0	0	1
0.148	1	6	15	9	13	28	749	0	0	1
0.149	1	7	15	10	11	28	2196	0	0	0
0.149	1	4	15	10	3	16	225	0	0	1
0.149	1	8	15	10	12	14	517	0	0	1
0.149	1	10	15	10	15	28	185	0	0	1
0.15	1	3	16	1	1	28	2196	0	0	0
0.15	1	4	16	1	3	18	161	0	0	1
0.15	1	8	16	1	12	10	357	0	0	1
0.15	1	10	16	1	15	28	185	0	0	1
0.151	1	5	16	2	2	26	903	0	0	0
0.151	1	7	16	2	11	28	1095	0	0	0
0.151	1	4	16	2	3	18	485	0	0	1
0.151	1	8	16	2	12	16	309	0	0	1
0.151	1	10	16	2	15	28	373	0	0	1
0.152	1	5	16	3	2	26	903	0	0	0
0.152	1	7	16	3	11	28	1095	0	0	0
0.152	1	4	16	3	3	18	405	0	0	1
0.152	1	8	16	3	12	16	389	0	0	1
0.152	1	10	16	3	15	28	373	0	0	1
0.153	1	3	16	4	1	28	2196	0	0	0
0.153	1	4	16	4	3	18	573	0	0	1
0.153	1	8	16	4	12	22	113	0	0	1
0.153	1	10	16	4	15	28	749	0	0	1
0.154	1	5	16	5	2	28	185	0	0	0
0.154	1	1	16	5	16	28	2052	0	0	0
0.154	1	4	16	5	3	18	405	0	0	1
0.154	1	8	16	5	12	18	485	0	0	1
0.154	1	10	16	5	15	28	185	0	0	1
0.155	1	5	16	6	2	28	185	0	0	0
0.155	1	7	16	6	11	28	2052	0	0	0
0.155	1	4	16	6	3	18	807	0	0	1
0.155	1	10	16	6	15	28	373	0	0	1
0.156	1	5	16	7	2	28	373	0	0	0
0.156	1	7	16	7	11	28	1836	0	0	0
0.156	1	4	16	7	3	20	903	0	0	1
0.156	1	10	16	7	15	28	549	0	0	1
0.157	1	9	16	8	14	28	935	0	0	0
0.157	1	1	16	8	16	28	1287	0	0	0
0.157	1	4	16	8	3	20	999	0	0	1
0.157	1	6	16	8	13	28	373	0	0	1
0.158	1	3	16	9	1	28	185	0	0	0
0.158	1	9	16	9	14	28	2052	0	0	0
0.158	1	4	16	9	3	20	597	0	0	1
0.158	1	6	16	9	13	28	1095	0	0	1
0.159	1	3	16	10	1	28	2196	0	0	0
0.159	1	4	16	10	3	20	775	0	0	1
0.159	1	2	16	10	4	28	749	0	0	1
0.16	1	3	17	1	1	28	2052	0	0	0
0.16	1	5	17	1	2	28	185	0	0	0
0.16	1	2	17	1	4	28	1692	0	0	1
0.16	1	10	17	1	15	28	549	0	0	1
0.161	1	5	17	2	2	28	373	0	0	0
0.161	1	1	17	2	16	28	1836	0	0	0
0.161	1	6	17	2	13	28	185	0	0	1
0.161	1	10	17	2	15	26	1692	0	0	1
0.162	1	5	17	3	2	22	573	0	0	0
0.162	1	9	17	3	14	28	1287	0	0	0
0.162	1	4	17	3	3	28	749	0	0	1
0.162	1	8	17	3	12	26	301	0	0	1
0.162	1	6	17	3	13	28	1095	0	0	1
0.163	1	5	17	4	2	22	693	0	0	0
0.163	1	9	17	4	14	26	903	0	0	0
0.163	1	4	17	4	3	24	669	0	0	1
0.163	1	8	17	4	12	26	903	0	0	1
0.163	1	6	17	4	13	28	185	0	0	1
0.164	1	5	17	5	2	26	749	0	0	0
0.164	1	7	17	5	11	28	1287	0	0	0
0.164	1	8	17	5	12	26	1063	0	0	1
0.164	1	6	17	5	13	28	935	0	0	1
0.165	1	5	17	6	2	22	693	0	0	0
0.165	1	1	17	6	16	28	1095	0	0	0
0.165	1	10	17	6	15	28	2196	0	0	1
0.166	1	5	17	7	2	22	693	0	0	0
0.166	1	1	17	7	16	28	1095	0	0	0
0.166	1	10	17	7	15	28	2196	0	0	1
0.167	1	5	17	8	2	22	693	0	0	0
0.167	1	9	17	8	14	24	807	0	0	0
0.167	1	2	17	8	4	28	2196	0	0	1
0.168	1	5	17	9	2	22	693	0	0	0
0.168	1	9	17	9	14	24	807	0	0	0
0.168	1	6	17	9	13	28	2196	0	0	1
0.169	1	3	17	10	1	28	185	0	0	0
0.169	1	5	17	10	2	22	693	0	0	0
0.169	1	9	17	10	14	28	935	0	0	0
0.169	1	4	17	10	3	28	185	0	0	1
0.169	1	8	17	10	12	28	2052	0	0	1
0.17	1	3	18	1	1	28	1095	0	0	0
0.17	1	5	18	1	2	22	693	0	0	0
0.17	1	2	18	1	4	28	2196	0	0	1
0.171	1	5	18	2	2	22	693	0	0	0
0.171	1	1	18	2	16	28	1095	0	0	0
0.171	1	4	18	2	3	24	669	0	0	1
0.171	1	6	18	2	13	28	1287	0	0	1
0.172	1	5	18	3	2	26	749	0	0	0
0.172	1	1	18	3	16	28	1287	0	0	0
0.172	1	4	18	3	3	24	1063	0	0	1
0.172	1	2	18	3	4	28	749	0	0	1
0.173	1	5	18	4	2	22	693	0	0	0
0.173	1	7	18	4	11	28	373	0	0	0
0.173	1	9	18	4	14	26	621	0	0	0
0.173	1	2	18	4	4	28	2196	0	0	1
0.174	1	7	18	5	11	28	749	0	0	0
0.174	1	9	18	5	14	24	1063	0	0	0
0.174	1	8	18	5	12	28	2196	0	0	1
0.175	1	7	18	6	11	28	1095	0	0	0
0.175	1	9	18	6	14	22	693	0	0	0
0.175	1	8	18	6	12	28	2196	0	0	1
0.176	1	5	18	7	2	26	453	0	0	0
0.176	1	7	18	7	11	28	1692	0	0	0
0.176	1	10	18	7	15	28	2196	0	0	1
0.177	1	3	18	8	1	28	1692	0	0	0
0.177	1	5	18	8	2	26	453	0	0	0
0.177	1	4	18	8	3	26	453	0	0	1
0.177	1	6	18	8	13	28	1692	0	0	1
0.178	1	5	18	9	2	22	693	0	0	0
0.178	1	7	18	9	11	28	1095	0	0	0
0.178	1	4	18	9	3	24	669	0	0	1
0.178	1	6	18	9	13	28	1287	0	0	1
0.179	1	3	18	10	1	28	2196	0	0	0
0.179	1	3	18	10	1	28	749	0	0	1
0.179	1	4	18	10	3	22	935	0	0	1
0.18	1	1	19	1	16	28	2196	0	0	0
0.18	1	4	19	1	3	24	405	0	0	1
0.18	1	1	19	1	16	28	1692	0	0	1
0.181	1	7	19	2	11	28	2196	0	0	0
0.181	1	4	19	2	3	24	405	0	0	1
0.181	1	8	19	2	12	28	1692	0	0	1
0.182	1	7	19	3	11	28	935	0	0	0
0.182	1	9	19	3	14	24	935	0	0	0
0.182	1	4	19	3	3	24	669	0	0	1
0.182	1	10	19	3	15	28	1287	0	0	1
0.183	1	5	19	4	2	26	621	0	0	0
0.183	1	7	19	4	11	28	1287	0	0	0
0.183	1	9	19	4	14	28	185	0	0	0
0.183	1	5	19	4	2	26	149	0	0	1
0.183	1	4	19	4	3	24	1063	0	0	1
0.183	1	6	19	4	13	28	549	0	0	1
0.184	1	5	19	5	2	26	453	0	0	0
0.184	1	7	19	5	11	28	1479	0	0	0
0.184	1	9	19	5	14	28	185	0	0	0
0.184	1	5	19	5	2	26	301	0	0	1
0.184	1	4	19	5	3	24	935	0	0	1
0.184	1	6	19	5	13	28	549	0	0	1
0.185	1	3	19	6	1	28	1095	0	0	0
0.185	1	9	19	6	14	24	807	0	0	0
0.185	1	3	19	6	1	28	185	0	0	1
0.185	1	4	19	6	3	24	669	0	0	1
0.185	1	9	19	6	14	24	807	0	0	1
0.186	1	3	19	7	1	28	749	0	0	0
