% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	3	1	0	0	19	0	1	0
115	1	4	2	0	4	51	0	1	0
115	1	8	3	0	2	32	0	1	0
115	1	9	15	0	0	19	0	1	0
115	2	3	1	0	0	19	0	1	1
115	2	4	2	0	4	51	0	1	1
115	2	8	3	0	2	32	0	1	1
115	2	9	15	0	0	19	0	1	1
116	1	2	11	0	0	7	0	1	0
116	1	3	1	0	2	18	0	1	0
116	1	7	12	0	0	7	0	1	0
116	1	8	3	0	6	32	0	1	0
116	1	9	15	0	0	7	0	1	0
116	1	10	4	0	4	26	0	1	0
116	2	3	1	0	2	18	0	1	1
116	2	8	3	0	6	32	0	1	1
116	2	10	4	0	4	26	0	1	1
116	2	2	11	0	0	7	0	1	1
116	2	7	12	0	0	7	0	1	1
116	2	9	15	0	0	7	0	1	1
117	1	1	10	0	4	26	0	1	0
117	1	2	11	0	0	7	0	1	0
117	1	3	1	0	2	18	0	1	0
117	1	7	12	0	0	7	0	1	0
117	1	9	15	0	0	7	0	1	0
117	1	10	4	0	0	7	0	1	0
117	2	3	1	0	2	18	0	1	1
117	2	10	4	0	0	7	0	1	1
117	2	1	10	0	4	26	0	1	1
117	2	2	11	0	0	7	0	1	1
117	2	7	12	0	0	7	0	1	1
117	2	9	15	0	0	7	0	1	1
118	1	1	10	0	8	49	0	1	0
118	1	2	11	0	4	26	0	1	0
118	1	5	16	0	2	18	0	1	0
118	2	1	10	0	8	49	0	1	1
118	2	2	11	0	4	26	0	1	1
118	2	5	16	0	2	18	0	1	1
119	1	2	11	0	0	11	0	1	0
119	1	9	15	0	0	11	0	1	0
119	2	2	11	0	0	11	0	1	1
119	2	9	15	0	0	11	0	1	1
124	1	2	11	0	0	11	0	1	0
124	1	9	15	0	0	11	0	1	0
124	2	2	11	0	0	11	0	1	1
124	2	9	15	0	0	11	0	1	1
125	1	2	11	0	0	11	0	1	0
125	1	9	15	0	0	11	0	1	0
125	2	2	11	0	0	11	0	1	1
125	2	9	15	0	0	11	0	1	1
126	1	2	11	0	0	11	0	1	0
126	1	9	15	0	0	11	0	1	0
126	2	2	11	0	0	11	0	1	1
126	2	9	15	0	0	11	0	1	1
127	1	2	11	0	0	11	0	1	0
127	1	9	15	0	0	11	0	1	0
127	2	2	11	0	0	11	0	1	1
127	2	9	15	0	0	11	0	1	1
128	1	2	11	0	0	15	0	1	0
128	2	2	11	0	0	15	0	1	1
135	1	6	9	0	2	32	0	1	0
135	2	6	9	0	2	32	0	1	1
136	1	6	9	0	2	32	0	1	0
136	2	6	9	0	2	32	0	1	1
178	1	7	12	0	4	69	0	1	0
178	2	7	12	0	4	69	0	1	1
250	1	10	4	0	0	41	0	1	0
250	2	10	4	0	0	41	0	1	1
254	1	10	4	0	0	41	0	1	0
254	2	10	4	0	0	41	0	1	1
782	1	5	16	0	4	225	0	1	0
782	2	5	16	0	4	225	0	1	1
786	1	5	16	0	4	225	0	1	0
786	2	5	16	0	4	225	0	1	1
3447	1	3	1	0	4	225	0	1	0
3447	2	3	1	0	4	225	0	1	1
