% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	4	0	18	133	0	1	0
115	1	2	14	0	28	277	0	1	0
115	1	5	11	0	28	277	0	1	0
115	1	6	3	0	28	277	0	1	0
115	1	7	12	0	28	277	0	1	0
115	1	8	1	0	28	277	0	1	0
115	1	9	13	0	20	161	0	1	0
115	1	10	2	0	28	277	0	1	0
115	2	1	4	0	18	133	0	1	1
115	2	6	3	0	28	277	0	1	1
115	2	8	1	0	28	277	0	1	1
115	2	10	2	0	28	277	0	1	1
115	2	2	14	0	28	277	0	1	1
115	2	5	11	0	28	277	0	1	1
115	2	7	12	0	28	277	0	1	1
115	2	9	13	0	20	161	0	1	1
116	1	3	18	0	16	453	0	1	0
116	1	4	17	0	28	1095	0	1	0
116	2	3	18	0	16	453	0	1	1
116	2	4	17	0	28	1095	0	1	1
