% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	1	11	2	1	28	185	0	0	0
0.101	1	4	11	2	2	28	185	0	0	0
0.101	1	2	11	2	3	28	185	0	0	0
0.101	1	6	11	2	4	28	185	0	0	0
0.101	1	7	11	2	9	28	185	0	0	0
0.101	1	8	11	2	10	28	185	0	0	0
0.101	1	5	11	2	11	28	185	0	0	0
0.101	1	3	11	2	12	28	185	0	0	0
0.101	1	10	11	2	15	28	185	0	0	0
0.101	1	9	11	2	16	28	185	0	0	0
0.101	1	1	11	2	1	28	185	0	0	1
0.101	1	4	11	2	2	28	185	0	0	1
0.101	1	2	11	2	3	28	185	0	0	1
0.101	1	6	11	2	4	28	185	0	0	1
0.101	1	7	11	2	9	28	185	0	0	1
0.101	1	8	11	2	10	28	185	0	0	1
0.101	1	5	11	2	11	28	185	0	0	1
0.101	1	3	11	2	12	28	185	0	0	1
0.101	1	10	11	2	15	28	185	0	0	1
0.101	1	9	11	2	16	28	185	0	0	1
0.102	1	7	11	3	9	28	185	0	0	0
0.102	1	5	11	3	11	28	549	0	0	0
0.102	1	3	11	3	12	28	749	0	0	0
0.102	1	9	11	3	16	28	749	0	0	0
0.102	1	7	11	3	9	28	185	0	0	1
0.102	1	3	11	3	12	28	549	0	0	1
0.102	1	10	11	3	15	28	749	0	0	1
0.102	1	9	11	3	16	28	749	0	0	1
0.103	1	7	11	4	9	28	185	0	0	0
0.103	1	5	11	4	11	28	549	0	0	0
0.103	1	3	11	4	12	28	749	0	0	0
0.103	1	9	11	4	16	28	749	0	0	0
0.103	1	7	11	4	9	28	185	0	0	1
0.103	1	3	11	4	12	28	185	0	0	1
0.103	1	10	11	4	15	28	1095	0	0	1
0.103	1	9	11	4	16	28	749	0	0	1
0.104	1	7	11	5	9	28	749	0	0	0
0.104	1	5	11	5	11	28	1479	0	0	0
0.104	1	6	11	5	4	28	373	0	0	1
0.104	1	7	11	5	9	28	185	0	0	1
0.104	1	8	11	5	10	28	185	0	0	1
0.104	1	5	11	5	11	28	1479	0	0	1
0.105	1	1	11	6	1	28	2196	0	0	0
0.105	1	6	11	6	4	28	373	0	0	1
0.105	1	8	11	6	10	28	1836	0	0	1
0.106	1	7	11	7	9	28	373	0	0	0
0.106	1	3	11	7	12	28	1836	0	0	0
0.106	1	2	11	7	3	28	1095	0	0	1
0.106	1	6	11	7	4	28	1095	0	0	1
0.107	1	1	11	8	1	28	373	0	0	0
0.107	1	7	11	8	9	28	1836	0	0	0
0.107	1	2	11	8	3	28	2196	0	0	1
0.108	1	1	11	9	1	28	2196	0	0	0
0.108	1	4	11	9	2	28	2196	0	0	1
0.109	1	7	11	10	9	28	373	0	0	0
0.109	1	9	11	10	16	28	1836	0	0	0
0.109	1	6	11	10	4	28	185	0	0	1
0.109	1	10	11	10	15	28	2052	0	0	1
0.11	1	7	12	1	9	28	373	0	0	0
0.11	1	9	12	1	16	28	1836	0	0	0
0.11	1	6	12	1	4	28	185	0	0	1
0.11	1	10	12	1	15	28	2052	0	0	1
0.111	1	3	12	2	12	28	2196	0	0	0
0.111	1	6	12	2	4	28	185	0	0	1
