% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	2	11	2	1	28	935	0	0	0
0.101	1	4	11	2	2	28	373	0	0	0
0.101	1	9	11	2	4	28	749	0	0	0
0.101	1	1	11	2	12	28	185	0	0	0
0.101	1	2	11	2	1	28	935	0	0	1
0.101	1	4	11	2	2	28	373	0	0	1
0.101	1	9	11	2	4	28	749	0	0	1
0.101	1	1	11	2	12	28	185	0	0	1
0.102	1	2	11	3	1	28	935	0	0	0
0.102	1	4	11	3	2	28	373	0	0	0
0.102	1	9	11	3	4	28	749	0	0	0
0.102	1	1	11	3	12	28	185	0	0	0
0.102	1	2	11	3	1	28	935	0	0	1
0.102	1	4	11	3	2	28	373	0	0	1
0.102	1	9	11	3	4	28	749	0	0	1
0.102	1	1	11	3	12	28	185	0	0	1
0.103	1	2	11	4	1	28	935	0	0	0
0.103	1	4	11	4	2	28	373	0	0	0
0.103	1	9	11	4	4	28	749	0	0	0
0.103	1	1	11	4	12	28	185	0	0	0
0.103	1	2	11	4	1	28	935	0	0	1
0.103	1	4	11	4	2	28	373	0	0	1
0.103	1	9	11	4	4	28	749	0	0	1
0.103	1	1	11	4	12	28	185	0	0	1
0.104	1	2	11	5	1	28	935	0	0	0
0.104	1	4	11	5	2	28	373	0	0	0
0.104	1	9	11	5	4	28	749	0	0	0
0.104	1	1	11	5	12	28	185	0	0	0
0.104	1	2	11	5	1	28	935	0	0	1
0.104	1	4	11	5	2	28	373	0	0	1
0.104	1	9	11	5	4	28	749	0	0	1
0.104	1	1	11	5	12	28	185	0	0	1
0.105	1	2	11	6	1	28	935	0	0	0
0.105	1	4	11	6	2	28	373	0	0	0
0.105	1	9	11	6	4	28	749	0	0	0
0.105	1	1	11	6	12	28	185	0	0	0
0.105	1	2	11	6	1	28	935	0	0	1
0.105	1	4	11	6	2	28	373	0	0	1
0.105	1	9	11	6	4	28	749	0	0	1
0.105	1	1	11	6	12	28	185	0	0	1
0.106	1	2	11	7	1	28	935	0	0	0
0.106	1	4	11	7	2	28	373	0	0	0
0.106	1	9	11	7	4	28	749	0	0	0
0.106	1	1	11	7	12	28	185	0	0	0
0.106	1	2	11	7	1	28	935	0	0	1
0.106	1	4	11	7	2	28	373	0	0	1
0.106	1	9	11	7	4	28	749	0	0	1
0.106	1	1	11	7	12	28	185	0	0	1
0.107	1	2	11	8	1	28	935	0	0	0
0.107	1	4	11	8	2	28	373	0	0	0
0.107	1	9	11	8	4	28	749	0	0	0
0.107	1	1	11	8	12	28	185	0	0	0
0.107	1	2	11	8	1	28	935	0	0	1
0.107	1	4	11	8	2	28	373	0	0	1
0.107	1	9	11	8	4	28	749	0	0	1
0.107	1	1	11	8	12	28	185	0	0	1
0.108	1	2	11	9	1	28	935	0	0	0
0.108	1	4	11	9	2	28	373	0	0	0
0.108	1	9	11	9	4	28	549	0	0	0
0.108	1	1	11	9	12	28	373	0	0	0
0.108	1	2	11	9	1	28	935	0	0	1
0.108	1	4	11	9	2	28	373	0	0	1
0.108	1	9	11	9	4	28	549	0	0	1
0.108	1	1	11	9	12	28	373	0	0	1
0.109	1	2	11	10	1	28	935	0	0	0
0.109	1	4	11	10	2	28	373	0	0	0
0.109	1	9	11	10	4	28	549	0	0	0
0.109	1	10	11	10	11	28	185	0	0	0
0.109	1	1	11	10	12	28	185	0	0	0
0.109	1	2	11	10	1	28	935	0	0	1
0.109	1	4	11	10	2	28	373	0	0	1
0.109	1	9	11	10	4	28	549	0	0	1
0.109	1	10	11	10	11	28	185	0	0	1
0.109	1	1	11	10	12	28	185	0	0	1
0.11	1	4	12	1	2	28	373	0	0	0
0.11	1	9	12	1	4	28	1287	0	0	0
0.11	1	10	12	1	11	28	373	0	0	0
0.11	1	1	12	1	12	28	185	0	0	0
0.11	1	4	12	1	2	28	373	0	0	1
0.11	1	9	12	1	4	28	1287	0	0	1
0.11	1	10	12	1	11	28	373	0	0	1
0.11	1	1	12	1	12	28	185	0	0	1
0.111	1	2	12	2	1	28	935	0	0	0
0.111	1	4	12	2	2	28	373	0	0	0
0.111	1	9	12	2	4	28	549	0	0	0
0.111	1	10	12	2	11	28	185	0	0	0
0.111	1	1	12	2	12	28	185	0	0	0
0.111	1	2	12	2	1	28	935	0	0	1
0.111	1	4	12	2	2	28	373	0	0	1
0.111	1	9	12	2	4	28	549	0	0	1
0.111	1	10	12	2	11	28	185	0	0	1
0.111	1	1	12	2	12	28	185	0	0	1
0.112	1	2	12	3	1	28	935	0	0	0
0.112	1	4	12	3	2	28	185	0	0	0
0.112	1	9	12	3	4	28	549	0	0	0
0.112	1	10	12	3	11	28	185	0	0	0
0.112	1	1	12	3	12	28	373	0	0	0
0.112	1	2	12	3	1	28	935	0	0	1
0.112	1	4	12	3	2	28	185	0	0	1
0.112	1	9	12	3	4	28	549	0	0	1
0.112	1	10	12	3	11	28	185	0	0	1
0.112	1	1	12	3	12	28	373	0	0	1
0.113	1	2	12	4	1	28	935	0	0	0
0.113	1	4	12	4	2	28	185	0	0	0
0.113	1	9	12	4	4	28	549	0	0	0
0.113	1	10	12	4	11	28	185	0	0	0
0.113	1	1	12	4	12	28	373	0	0	0
0.113	1	2	12	4	1	28	935	0	0	1
0.113	1	4	12	4	2	28	185	0	0	1
0.113	1	9	12	4	4	28	549	0	0	1
0.113	1	10	12	4	11	28	185	0	0	1
0.113	1	1	12	4	12	28	373	0	0	1
0.114	1	2	12	5	1	28	935	0	0	0
0.114	1	4	12	5	2	28	185	0	0	0
0.114	1	9	12	5	4	28	549	0	0	0
0.114	1	10	12	5	11	28	185	0	0	0
0.114	1	1	12	5	12	28	373	0	0	0
0.114	1	2	12	5	1	28	935	0	0	1
0.114	1	4	12	5	2	28	185	0	0	1
0.114	1	9	12	5	4	28	549	0	0	1
0.114	1	10	12	5	11	28	185	0	0	1
0.114	1	1	12	5	12	28	373	0	0	1
0.115	1	2	12	6	1	28	935	0	0	0
0.115	1	4	12	6	2	28	185	0	0	0
0.115	1	9	12	6	4	28	549	0	0	0
0.115	1	10	12	6	11	28	185	0	0	0
0.115	1	1	12	6	12	28	373	0	0	0
0.115	1	2	12	6	1	28	935	0	0	1
0.115	1	4	12	6	2	28	185	0	0	1
0.115	1	9	12	6	4	28	549	0	0	1
0.115	1	10	12	6	11	28	185	0	0	1
0.115	1	1	12	6	12	28	373	0	0	1
0.116	1	2	12	7	1	28	935	0	0	0
