% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	9	11	2	4	20	1191	0	0	0
0.101	1	9	11	2	4	20	1191	0	0	1
0.102	1	9	11	3	4	20	1191	0	0	0
0.102	1	9	11	3	4	20	1191	0	0	1
0.103	1	9	11	4	4	20	1191	0	0	0
0.103	1	9	11	4	4	20	1191	0	0	1
0.104	1	9	11	5	4	20	1191	0	0	0
0.104	1	9	11	5	4	20	1191	0	0	1
0.105	1	9	11	6	4	20	1191	0	0	0
0.105	1	9	11	6	4	20	1191	0	0	1
0.106	1	9	11	7	4	20	1191	0	0	0
0.106	1	9	11	7	4	20	1191	0	0	1
0.107	1	9	11	8	4	20	1191	0	0	0
0.107	1	9	11	8	4	20	1191	0	0	1
0.108	1	9	11	9	4	20	1191	0	0	0
0.108	1	9	11	9	4	20	1191	0	0	1
0.109	1	9	11	10	4	20	1191	0	0	0
0.109	1	9	11	10	4	20	1191	0	0	1
0.11	1	6	12	1	1	18	325	0	0	0
0.11	1	10	12	1	3	20	293	0	0	0
0.11	1	1	12	1	12	20	97	0	0	0
0.11	1	3	12	1	17	20	389	0	0	0
0.11	1	6	12	1	1	18	325	0	0	1
0.11	1	10	12	1	3	20	293	0	0	1
0.11	1	1	12	1	12	20	97	0	0	1
0.11	1	3	12	1	17	20	389	0	0	1
0.111	1	9	12	2	4	20	1191	0	0	0
0.111	1	9	12	2	4	20	1191	0	0	1
0.112	1	9	12	3	4	20	1191	0	0	0
0.112	1	9	12	3	4	20	1191	0	0	1
0.113	1	9	12	4	4	20	1191	0	0	0
0.113	1	9	12	4	4	20	1191	0	0	1
0.114	1	9	12	5	4	20	1191	0	0	0
0.114	1	9	12	5	4	20	1191	0	0	1
0.115	1	9	12	6	4	20	1191	0	0	0
0.115	1	9	12	6	4	20	1191	0	0	1
0.116	1	10	12	7	3	22	233	0	0	0
0.116	1	9	12	7	4	20	999	0	0	0
0.116	1	10	12	7	3	22	233	0	0	1
0.116	1	9	12	7	4	20	999	0	0	1
0.117	1	10	12	8	3	22	233	0	0	0
0.117	1	9	12	8	4	20	999	0	0	0
0.117	1	10	12	8	3	22	233	0	0	1
0.117	1	9	12	8	4	20	999	0	0	1
0.118	1	10	12	9	3	22	233	0	0	0
0.118	1	9	12	9	4	20	999	0	0	0
0.118	1	10	12	9	3	22	233	0	0	1
0.118	1	9	12	9	4	20	999	0	0	1
0.119	1	6	12	10	1	18	485	0	0	0
0.119	1	10	12	10	3	20	293	0	0	0
0.119	1	1	12	10	12	18	241	0	0	0
0.119	1	6	12	10	1	18	485	0	0	1
0.119	1	10	12	10	3	20	293	0	0	1
0.119	1	1	12	10	12	18	241	0	0	1
0.12	1	10	13	1	3	22	233	0	0	0
0.12	1	9	13	1	4	20	999	0	0	0
0.12	1	10	13	1	3	22	233	0	0	1
0.12	1	9	13	1	4	20	999	0	0	1
0.121	1	10	13	2	3	22	233	0	0	0
0.121	1	9	13	2	4	20	999	0	0	0
0.121	1	10	13	2	3	22	233	0	0	1
0.121	1	9	13	2	4	20	999	0	0	1
0.122	1	6	13	3	1	22	233	0	0	0
0.122	1	10	13	3	3	22	233	0	0	0
0.122	1	9	13	3	4	20	775	0	0	0
0.122	1	6	13	3	1	22	233	0	0	1
0.122	1	10	13	3	3	22	233	0	0	1
0.122	1	9	13	3	4	20	775	0	0	1
0.123	1	6	13	4	1	22	233	0	0	0
0.123	1	10	13	4	3	22	233	0	0	0
0.123	1	9	13	4	4	20	775	0	0	0
0.123	1	6	13	4	1	22	233	0	0	1
0.123	1	10	13	4	3	22	233	0	0	1
0.123	1	9	13	4	4	20	775	0	0	1
0.124	1	6	13	5	1	20	293	0	0	0
0.124	1	10	13	5	3	22	233	0	0	0
0.124	1	9	13	5	4	18	573	0	0	0
0.124	1	6	13	5	1	20	293	0	0	1
0.124	1	10	13	5	3	22	233	0	0	1
0.124	1	9	13	5	4	18	573	0	0	1
0.125	1	6	13	6	1	20	293	0	0	0
0.125	1	10	13	6	3	22	233	0	0	0
0.125	1	9	13	6	4	18	573	0	0	0
0.125	1	6	13	6	1	20	293	0	0	1
0.125	1	10	13	6	3	22	233	0	0	1
0.125	1	9	13	6	4	18	573	0	0	1
0.126	1	6	13	7	1	20	293	0	0	0
0.126	1	10	13	7	3	22	233	0	0	0
0.126	1	9	13	7	4	18	573	0	0	0
0.126	1	6	13	7	1	20	293	0	0	1
0.126	1	10	13	7	3	22	233	0	0	1
0.126	1	9	13	7	4	18	573	0	0	1
0.127	1	6	13	8	1	20	293	0	0	0
0.127	1	10	13	8	3	22	233	0	0	0
0.127	1	9	13	8	4	18	573	0	0	0
0.127	1	6	13	8	1	20	293	0	0	1
0.127	1	10	13	8	3	22	233	0	0	1
0.127	1	9	13	8	4	18	573	0	0	1
0.128	1	6	13	9	1	20	293	0	0	0
