% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	5	11	2	1	28	2196	0	0	0
0.101	1	5	11	2	1	28	2196	0	0	1
0.102	1	7	11	3	2	28	2196	0	0	0
0.102	1	7	11	3	2	28	2196	0	0	1
0.103	1	4	11	4	3	28	2052	0	0	0
0.103	1	9	11	4	4	28	185	0	0	0
0.103	1	4	11	4	3	28	2052	0	0	1
0.103	1	9	11	4	4	28	185	0	0	1
0.104	1	2	11	5	7	28	2196	0	0	0
0.104	1	2	11	5	7	28	2196	0	0	1
0.105	1	10	11	6	8	28	2196	0	0	0
0.105	1	10	11	6	8	28	2196	0	0	1
0.106	1	1	11	7	9	28	2196	0	0	0
0.106	1	1	11	7	9	28	2196	0	0	1
0.107	1	3	11	8	10	28	1095	0	0	0
0.107	1	8	11	8	13	28	1095	0	0	0
0.107	1	3	11	8	10	28	1095	0	0	1
0.107	1	8	11	8	13	28	1095	0	0	1
0.108	1	6	11	9	14	28	2196	0	0	0
0.108	1	6	11	9	14	28	2196	0	0	1
0.109	1	9	11	10	4	28	2196	0	0	0
0.109	1	9	11	10	4	28	2196	0	0	1
0.11	1	3	12	1	10	28	1095	0	0	0
0.11	1	8	12	1	13	28	1095	0	0	0
0.11	1	3	12	1	10	28	1095	0	0	1
0.11	1	8	12	1	13	28	1095	0	0	1
0.111	1	4	12	2	3	28	2196	0	0	0
0.111	1	4	12	2	3	28	2196	0	0	1
0.112	1	5	12	3	1	28	2196	0	0	0
0.112	1	5	12	3	1	28	2196	0	0	1
0.113	1	7	12	4	2	28	2196	0	0	0
0.113	1	7	12	4	2	28	2196	0	0	1
0.114	1	2	12	5	7	28	2196	0	0	0
0.114	1	2	12	5	7	28	2196	0	0	1
0.115	1	10	12	6	8	28	2196	0	0	0
0.115	1	10	12	6	8	28	2196	0	0	1
0.116	1	1	12	7	9	28	2196	0	0	0
0.116	1	1	12	7	9	28	2196	0	0	1
0.117	1	6	12	8	14	28	2196	0	0	0
0.117	1	6	12	8	14	28	2196	0	0	1
0.118	1	3	12	9	10	28	1287	0	0	0
0.118	1	8	12	9	13	28	935	0	0	0
0.118	1	3	12	9	10	28	1287	0	0	1
0.118	1	8	12	9	13	28	935	0	0	1
0.119	1	9	12	10	4	28	2196	0	0	0
0.119	1	9	12	10	4	28	2196	0	0	1
0.12	1	8	13	1	13	28	2196	0	0	0
0.12	1	8	13	1	13	28	2196	0	0	1
0.121	1	4	13	2	3	28	935	0	0	0
0.121	1	3	13	2	10	28	1287	0	0	0
0.121	1	4	13	2	3	28	935	0	0	1
0.121	1	3	13	2	10	28	1287	0	0	1
0.122	1	5	13	3	1	28	2196	0	0	0
0.122	1	5	13	3	1	28	2196	0	0	1
0.123	1	7	13	4	2	28	2196	0	0	0
0.123	1	7	13	4	2	28	2196	0	0	1
0.124	1	2	13	5	7	28	2196	0	0	0
0.124	1	2	13	5	7	28	2196	0	0	1
0.125	1	10	13	6	8	28	2196	0	0	0
0.125	1	10	13	6	8	28	2196	0	0	1
0.126	1	1	13	7	9	28	2196	0	0	0
0.126	1	1	13	7	9	28	2196	0	0	1
0.127	1	6	13	8	14	28	2196	0	0	0
0.127	1	6	13	8	14	28	2196	0	0	1
0.128	1	9	13	9	4	28	2196	0	0	0
0.128	1	9	13	9	4	28	2196	0	0	1
0.129	1	3	13	10	10	28	2196	0	0	0
0.129	1	3	13	10	10	28	2196	0	0	1
0.13	1	4	14	1	3	28	2196	0	0	0
0.13	1	4	14	1	3	28	2196	0	0	1
0.131	1	8	14	2	13	28	2196	0	0	0
0.131	1	8	14	2	13	28	2196	0	0	1
0.132	1	5	14	3	1	28	2196	0	0	0
0.132	1	5	14	3	1	28	2196	0	0	1
0.133	1	7	14	4	2	28	1836	0	0	0
0.133	1	2	14	4	7	28	373	0	0	0
0.133	1	7	14	4	2	28	1836	0	0	1
0.133	1	2	14	4	7	28	373	0	0	1
0.134	1	10	14	5	8	28	2196	0	0	0
0.134	1	10	14	5	8	28	2196	0	0	1
0.135	1	1	14	6	9	28	2196	0	0	0
0.135	1	1	14	6	9	28	2196	0	0	1
0.136	1	6	14	7	14	28	2196	0	0	0
0.136	1	6	14	7	14	28	2196	0	0	1
0.137	1	2	14	8	7	28	2196	0	0	0
0.137	1	2	14	8	7	28	2196	0	0	1
0.138	1	9	14	9	4	28	2196	0	0	0
0.138	1	9	14	9	4	28	2196	0	0	1
0.139	1	3	14	10	10	28	2196	0	0	0
0.139	1	3	14	10	10	28	2196	0	0	1
0.14	1	4	15	1	3	28	2196	0	0	0
0.14	1	4	15	1	3	28	2196	0	0	1
0.141	1	8	15	2	13	28	2196	0	0	0
0.141	1	8	15	2	13	28	2196	0	0	1
0.142	1	5	15	3	1	28	749	0	0	0
0.142	1	7	15	3	2	28	1479	0	0	0
0.142	1	5	15	3	1	28	749	0	0	1
0.142	1	7	15	3	2	28	1479	0	0	1
0.143	1	10	15	4	8	28	2196	0	0	0
0.143	1	10	15	4	8	28	2196	0	0	1
0.144	1	1	15	5	9	28	2196	0	0	0
0.144	1	1	15	5	9	28	2196	0	0	1
0.145	1	2	15	6	7	28	549	0	0	0
0.145	1	6	15	6	14	28	1692	0	0	0
0.145	1	2	15	6	7	28	549	0	0	1
0.145	1	6	15	6	14	28	1692	0	0	1
0.146	1	5	15	7	1	28	549	0	0	0
0.146	1	9	15	7	4	28	1692	0	0	0
0.146	1	5	15	7	1	28	549	0	0	1
0.146	1	9	15	7	4	28	1692	0	0	1
0.147	1	3	15	8	10	28	2196	0	0	0
0.147	1	3	15	8	10	28	2196	0	0	1
0.148	1	4	15	9	3	28	2196	0	0	0
0.148	1	4	15	9	3	28	2196	0	0	1
0.149	1	7	15	10	2	28	373	0	0	0
0.149	1	2	15	10	7	28	1836	0	0	0
0.149	1	7	15	10	2	28	373	0	0	1
0.149	1	2	15	10	7	28	1836	0	0	1
0.15	1	5	16	1	1	28	1692	0	0	0
0.15	1	8	16	1	13	28	549	0	0	0
0.15	1	5	16	1	1	28	1692	0	0	1
0.15	1	8	16	1	13	28	549	0	0	1
0.151	1	7	16	2	2	28	1095	0	0	0
0.151	1	8	16	2	13	28	1095	0	0	0
0.151	1	7	16	2	2	28	1095	0	0	1
0.151	1	8	16	2	13	28	1095	0	0	1
0.152	1	10	16	3	8	28	749	0	0	0
0.152	1	6	16	3	14	28	1479	0	0	0
0.152	1	10	16	3	8	28	749	0	0	1
0.152	1	6	16	3	14	28	1479	0	0	1
0.153	1	9	16	4	4	28	1692	0	0	0
0.153	1	1	16	4	9	28	549	0	0	0
0.153	1	9	16	4	4	28	1692	0	0	1
0.153	1	1	16	4	9	28	549	0	0	1
0.154	1	7	16	5	2	28	749	0	0	0
0.154	1	9	16	5	4	28	373	0	0	0
0.154	1	2	16	5	7	28	1095	0	0	0
0.154	1	7	16	5	2	28	749	0	0	1
0.154	1	9	16	5	4	28	373	0	0	1
0.154	1	2	16	5	7	28	1095	0	0	1
0.155	1	9	16	6	4	28	373	0	0	0
0.155	1	3	16	6	10	28	1836	0	0	0
0.155	1	9	16	6	4	28	373	0	0	1
0.155	1	3	16	6	10	28	1836	0	0	1
0.156	1	1	16	7	9	28	2196	0	0	0
0.156	1	1	16	7	9	28	2196	0	0	1
0.157	1	8	16	8	13	28	2196	0	0	0
0.157	1	8	16	8	13	28	2196	0	0	1
0.158	1	5	16	9	1	28	1836	0	0	0
0.158	1	10	16	9	8	28	373	0	0	0
0.158	1	5	16	9	1	28	1836	0	0	1
0.158	1	10	16	9	8	28	373	0	0	1
0.159	1	4	16	10	3	28	749	0	0	0
0.159	1	9	16	10	4	28	1479	0	0	0
0.159	1	4	16	10	3	28	749	0	0	1
0.159	1	9	16	10	4	28	1479	0	0	1
0.16	1	7	17	1	2	28	1095	0	0	0
0.16	1	10	17	1	8	28	1095	0	0	0
0.16	1	7	17	1	2	28	1095	0	0	1
0.16	1	10	17	1	8	28	1095	0	0	1
0.161	1	4	17	2	3	28	1287	0	0	0
0.161	1	6	17	2	14	28	935	0	0	0
0.161	1	4	17	2	3	28	1287	0	0	1
0.161	1	6	17	2	14	28	935	0	0	1
0.162	1	9	17	3	4	28	1095	0	0	0
0.162	1	2	17	3	7	28	749	0	0	0
0.162	1	6	17	3	14	28	373	0	0	0
0.162	1	9	17	3	4	28	1095	0	0	1
0.162	1	2	17	3	7	28	749	0	0	1
0.162	1	6	17	3	14	28	373	0	0	1
0.163	1	7	17	4	2	28	1095	0	0	0
0.163	1	10	17	4	8	28	1095	0	0	0
0.163	1	7	17	4	2	28	1095	0	0	1
0.163	1	10	17	4	8	28	1095	0	0	1
0.164	1	3	17	5	10	28	2196	0	0	0
0.164	1	3	17	5	10	28	2196	0	0	1
0.165	1	5	17	6	1	28	2052	0	0	0
0.165	1	2	17	6	7	28	185	0	0	0
0.165	1	5	17	6	1	28	2052	0	0	1
0.165	1	2	17	6	7	28	185	0	0	1
0.166	1	1	17	7	9	28	1287	0	0	0
0.166	1	6	17	7	14	28	935	0	0	0
0.166	1	1	17	7	9	28	1287	0	0	1
0.166	1	6	17	7	14	28	935	0	0	1
0.167	1	4	17	8	3	28	373	0	0	0
0.167	1	2	17	8	7	28	373	0	0	0
0.167	1	8	17	8	13	28	1479	0	0	0
0.167	1	4	17	8	3	28	373	0	0	1
0.167	1	2	17	8	7	28	373	0	0	1
0.167	1	8	17	8	13	28	1479	0	0	1
0.168	1	4	17	9	3	28	1836	0	0	0
0.168	1	2	17	9	7	28	373	0	0	0
0.168	1	4	17	9	3	28	1836	0	0	1
0.168	1	2	17	9	7	28	373	0	0	1
0.169	1	9	17	10	4	28	2196	0	0	0
0.169	1	2	17	10	7	28	749	0	0	1
0.169	1	9	17	10	4	28	1479	0	0	1
0.17	1	7	18	1	2	28	1287	0	0	0
0.17	1	10	18	1	8	28	935	0	0	0
0.17	1	7	18	1	2	28	1287	0	0	1
0.17	1	10	18	1	8	28	935	0	0	1
0.171	1	2	18	2	7	28	549	0	0	0
0.171	1	1	18	2	9	28	1095	0	0	0
0.171	1	6	18	2	14	28	549	0	0	0
0.171	1	2	18	2	7	28	549	0	0	1
0.171	1	1	18	2	9	28	1095	0	0	1
0.171	1	6	18	2	14	28	549	0	0	1
0.172	1	2	18	3	7	28	549	0	0	0
0.172	1	8	18	3	13	28	1095	0	0	0
0.172	1	6	18	3	14	28	549	0	0	0
0.172	1	2	18	3	7	28	549	0	0	1
0.172	1	8	18	3	13	28	1095	0	0	1
0.172	1	6	18	3	14	28	549	0	0	1
0.173	1	10	18	4	8	28	2196	0	0	0
0.173	1	10	18	4	8	28	2196	0	0	1
0.174	1	5	18	5	1	28	2196	0	0	0
0.174	1	5	18	5	1	28	2196	0	0	1
0.175	1	2	18	6	7	28	749	0	0	0
0.175	1	3	18	6	10	28	1479	0	0	0
0.175	1	2	18	6	7	28	749	0	0	1
0.175	1	3	18	6	10	28	1479	0	0	1
0.176	1	7	18	7	2	28	1095	0	0	0
0.176	1	6	18	7	14	28	1095	0	0	0
0.176	1	7	18	7	2	28	1095	0	0	1
0.176	1	6	18	7	14	28	1095	0	0	1
0.177	1	4	18	8	3	28	2196	0	0	0
0.177	1	9	18	8	4	28	2196	0	0	1
0.178	1	1	18	9	9	28	2196	0	0	0
0.178	1	4	18	9	3	28	2196	0	0	1
0.179	1	9	18	10	4	28	549	0	0	0
0.179	1	2	18	10	7	28	1287	0	0	0
0.179	1	8	18	10	13	28	373	0	0	0
0.179	1	1	18	10	9	28	2196	0	0	1
0.18	1	7	19	1	2	28	1095	0	0	0
0.18	1	6	19	1	14	28	1095	0	0	0
0.18	1	2	19	1	7	28	1287	0	0	1
0.18	1	8	19	1	13	28	373	0	0	1
0.18	1	6	19	1	14	28	549	0	0	1
0.181	1	9	19	2	4	28	373	0	0	0
0.181	1	8	19	2	13	28	1836	0	0	0
0.181	1	7	19	2	2	28	2052	0	0	1
0.181	1	8	19	2	13	28	185	0	0	1
