% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	2	11	2	1	28	2052	0	0	0
0.101	1	1	11	2	2	28	185	0	0	0
0.101	1	2	11	2	1	28	2052	0	0	1
0.101	1	1	11	2	2	28	185	0	0	1
0.102	1	7	11	3	3	28	2052	0	0	0
0.102	1	6	11	3	4	28	185	0	0	0
0.102	1	7	11	3	3	28	2052	0	0	1
0.102	1	6	11	3	4	28	185	0	0	1
0.103	1	10	11	4	7	28	1836	0	0	0
0.103	1	3	11	4	8	28	185	0	0	0
0.103	1	5	11	4	9	28	185	0	0	0
0.103	1	10	11	4	7	28	1836	0	0	1
0.103	1	3	11	4	8	28	185	0	0	1
0.103	1	5	11	4	9	28	185	0	0	1
0.104	1	8	11	5	10	28	2196	0	0	0
0.104	1	8	11	5	10	28	2196	0	0	1
0.105	1	9	11	6	11	28	1836	0	0	0
0.105	1	4	11	6	12	28	373	0	0	0
0.105	1	9	11	6	11	28	1836	0	0	1
0.105	1	4	11	6	12	28	373	0	0	1
0.106	1	1	11	7	2	28	1287	0	0	0
0.106	1	6	11	7	4	28	935	0	0	0
0.106	1	1	11	7	2	28	1287	0	0	1
0.106	1	6	11	7	4	28	935	0	0	1
0.107	1	3	11	8	8	28	2052	0	0	0
0.107	1	5	11	8	9	28	185	0	0	0
0.107	1	3	11	8	8	28	2052	0	0	1
0.107	1	5	11	8	9	28	185	0	0	1
0.108	1	1	11	9	2	28	185	0	0	0
0.108	1	5	11	9	9	26	1527	0	0	0
0.108	1	4	11	9	12	28	185	0	0	0
0.108	1	5	11	9	9	26	1692	0	0	1
0.108	1	4	11	9	12	28	185	0	0	1
0.109	1	4	11	10	12	24	1620	0	0	0
0.109	1	4	11	10	12	24	1620	0	0	1
0.11	1	6	12	1	4	28	2052	0	0	0
0.11	1	10	12	1	7	28	185	0	0	0
0.11	1	6	12	1	4	28	2052	0	0	1
0.11	1	10	12	1	7	28	185	0	0	1
0.111	1	1	12	2	2	26	1063	0	0	0
0.111	1	5	12	2	9	28	373	0	0	0
0.111	1	9	12	2	11	28	549	0	0	0
0.111	1	1	12	2	2	26	1063	0	0	1
0.111	1	10	12	2	7	28	373	0	0	1
0.111	1	9	12	2	11	28	549	0	0	1
0.112	1	2	12	3	1	28	1692	0	0	0
0.112	1	10	12	3	7	28	373	0	0	0
0.112	1	8	12	3	10	28	185	0	0	0
0.112	1	2	12	3	1	28	1692	0	0	1
0.112	1	5	12	3	9	28	549	0	0	1
0.113	1	7	12	4	3	28	935	0	0	0
0.113	1	4	12	4	12	28	1287	0	0	0
0.113	1	7	12	4	3	28	935	0	0	1
0.113	1	8	12	4	10	28	1287	0	0	1
0.114	1	3	12	5	8	28	1836	0	0	0
0.114	1	5	12	5	9	28	373	0	0	0
0.114	1	10	12	5	7	28	185	0	0	1
0.114	1	4	12	5	12	28	2052	0	0	1
0.115	1	10	12	6	7	28	185	0	0	0
0.115	1	8	12	6	10	28	1692	0	0	0
0.115	1	9	12	6	11	28	373	0	0	0
