% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	3	11	10	1	14	93	0
0.109	1	4	11	10	2	8	49	0
0.109	1	1	11	10	3	20	161	0
0.109	1	8	11	10	4	4	26	0
0.109	1	6	11	10	9	18	133	0
0.109	1	7	11	10	10	28	277	0
0.109	1	5	11	10	11	20	161	0
0.109	1	2	11	10	12	8	49	0
0.109	1	3	11	10	1	14	93	1
0.109	1	4	11	10	2	8	49	1
0.109	1	1	11	10	3	20	161	1
0.109	1	8	11	10	4	4	26	1
0.109	1	6	11	10	9	18	133	1
0.109	1	7	11	10	10	28	277	1
0.109	1	5	11	10	11	20	161	1
0.109	1	2	11	10	12	8	49	1
0.11	1	10	12	1	15	6	101	0
0.11	1	9	12	1	16	18	357	0
0.11	1	8	12	1	4	2	41	0
0.11	1	10	12	1	15	6	101	1
0.11	1	9	12	1	16	18	357	1
0.11	1	8	12	1	4	2	41	1
1.172	1	10	118	3	15	10	549	0
1.172	1	10	118	3	15	10	549	1
3.109	1	7	311	10	10	18	1143	0
3.109	1	7	311	10	10	18	1143	1
9.109	1	7	911	10	10	4	225	0
9.109	1	7	911	10	10	4	225	1
