% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	8	437	0
0.109	1	1	11	10	1	8	437	1
0.129	1	1	13	10	1	12	621	0
0.129	1	1	13	10	1	12	621	1
0.132	1	1	14	3	1	12	621	0
0.132	1	1	14	3	1	12	621	1
0.149	1	1	15	10	1	12	621	0
0.149	1	1	15	10	1	12	621	1
0.201	1	1	21	2	1	6	325	0
0.201	1	1	21	2	1	6	325	1
0.217	1	1	22	8	1	6	325	0
0.217	1	1	22	8	1	6	325	1
0.218	1	1	22	9	1	6	325	0
0.218	1	1	22	9	1	6	325	1
0.219	1	1	22	10	1	6	325	0
0.219	1	1	22	10	1	6	325	1
0.239	1	1	24	10	1	6	325	0
0.239	1	1	24	10	1	6	325	1
0.321	1	1	33	2	1	2	137	0
0.321	1	1	33	2	1	2	137	1
1.233	1	1	124	4	1	6	325	0
1.233	1	1	124	4	1	6	325	1
1.252	1	1	126	3	1	14	807	0
1.252	1	1	126	3	1	14	807	1
1.253	1	1	126	4	1	14	807	0
1.253	1	1	126	4	1	14	807	1
2.268	1	1	227	9	1	12	621	0
2.268	1	1	227	9	1	12	621	1
2.286	1	1	229	7	1	4	225	0
2.286	1	1	229	7	1	4	225	1
2.288	1	1	229	9	1	4	225	0
2.288	1	1	229	9	1	4	225	1
2.31	1	1	232	1	1	4	225	0
2.31	1	1	232	1	1	4	225	1
5.561	1	1	557	2	1	10	549	0
5.561	1	1	557	2	1	10	549	1
5.581	1	1	559	2	1	10	549	0
5.581	1	1	559	2	1	10	549	1
6.8	1	1	681	1	1	0	85	0
6.8	1	1	681	1	1	0	85	1
6.824	1	1	683	5	1	2	137	0
6.824	1	1	683	5	1	2	137	1
6.881	1	1	689	2	1	8	437	0
6.881	1	1	689	2	1	8	437	1
6.899	1	1	690	10	1	8	437	0
6.899	1	1	690	10	1	8	437	1
6.917	1	1	692	8	1	8	437	0
6.917	1	1	692	8	1	8	437	1
6.933	1	1	694	4	1	10	549	0
6.933	1	1	694	4	1	10	549	1
6.951	1	1	696	2	1	10	549	0
6.951	1	1	696	2	1	10	549	1
6.954	1	1	696	5	1	10	549	0
6.954	1	1	696	5	1	10	549	1
8.167	1	1	817	8	1	26	1908	0
8.167	1	1	817	8	1	26	1908	1
8.183	1	1	819	4	1	26	1908	0
8.183	1	1	819	4	1	26	1908	1
8.206	1	1	821	7	1	24	1692	0
8.206	1	1	821	7	1	24	1692	1
9.422	1	1	943	3	1	2	137	0
9.422	1	1	943	3	1	2	137	1
9.438	1	1	944	9	1	2	137	0
9.438	1	1	944	9	1	2	137	1
9.481	1	1	949	2	1	0	85	0
9.481	1	1	949	2	1	0	85	1
9.502	1	1	951	3	1	0	85	0
9.502	1	1	951	3	1	0	85	1
9.521	1	1	953	2	1	2	137	0
9.521	1	1	953	2	1	2	137	1
9.541	1	1	955	2	1	2	137	0
9.541	1	1	955	2	1	2	137	1
9.557	1	1	956	8	1	2	137	0
9.557	1	1	956	8	1	2	137	1
9.572	1	1	958	3	1	10	549	0
9.572	1	1	958	3	1	10	549	1
9.573	1	1	958	4	1	10	549	0
9.573	1	1	958	4	1	10	549	1
9.588	1	1	959	9	1	10	549	0
9.588	1	1	959	9	1	10	549	1
9.604	1	1	961	5	1	4	225	0
9.604	1	1	961	5	1	4	225	1
9.619	1	1	962	10	1	4	225	0
9.619	1	1	962	10	1	4	225	1
9.635	1	1	964	6	1	4	225	0
9.635	1	1	964	6	1	4	225	1
9.636	1	1	964	7	1	4	225	0
9.636	1	1	964	7	1	4	225	1
9.651	1	1	966	2	1	2	137	0
9.651	1	1	966	2	1	2	137	1
9.653	1	1	966	4	1	2	137	0
9.653	1	1	966	4	1	2	137	1
9.667	1	1	967	8	1	2	137	0
9.667	1	1	967	8	1	2	137	1
9.668	1	1	967	9	1	2	137	0
9.668	1	1	967	9	1	2	137	1
9.721	1	1	973	2	1	6	325	0
9.721	1	1	973	2	1	6	325	1
9.737	1	1	974	8	1	6	325	0
9.737	1	1	974	8	1	6	325	1
9.738	1	1	974	9	1	6	325	0
9.738	1	1	974	9	1	6	325	1
9.739	1	1	974	10	1	6	325	0
9.739	1	1	974	10	1	6	325	1
9.753	1	1	976	4	1	6	325	0
9.753	1	1	976	4	1	6	325	1
9.755	1	1	976	6	1	6	325	0
9.755	1	1	976	6	1	6	325	1
9.768	1	1	977	9	1	8	437	0
9.768	1	1	977	9	1	8	437	1
9.769	1	1	977	10	1	8	437	0
9.769	1	1	977	10	1	8	437	1
9.77	1	1	978	1	1	8	437	0
9.77	1	1	978	1	1	8	437	1
9.771	1	1	978	2	1	8	437	0
9.771	1	1	978	2	1	8	437	1
9.784	1	1	979	5	1	8	437	0
9.784	1	1	979	5	1	8	437	1
9.785	1	1	979	6	1	8	437	0
9.785	1	1	979	6	1	8	437	1
9.786	1	1	979	7	1	8	437	0
9.786	1	1	979	7	1	8	437	1
9.787	1	1	979	8	1	8	437	0
9.787	1	1	979	8	1	8	437	1
9.805	1	1	981	6	1	14	807	0
9.805	1	1	981	6	1	14	807	1
