% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	18	1143	0	1	0
115	2	1	1	0	18	1143	0	1	1
133	1	1	1	0	0	85	0	1	0
133	2	1	1	0	0	85	0	1	1
135	1	1	1	0	0	85	0	1	0
135	2	1	1	0	0	85	0	1	1
149	1	1	1	0	0	85	0	1	0
149	2	1	1	0	0	85	0	1	1
150	1	1	1	0	0	85	0	1	0
150	2	1	1	0	0	85	0	1	1
151	1	1	1	0	0	85	0	1	0
151	2	1	1	0	0	85	0	1	1
152	1	1	1	0	0	85	0	1	0
152	2	1	1	0	0	85	0	1	1
153	1	1	1	0	0	85	0	1	0
153	2	1	1	0	0	85	0	1	1
165	1	1	1	0	0	85	0	1	0
165	2	1	1	0	0	85	0	1	1
166	1	1	1	0	0	85	0	1	0
166	2	1	1	0	0	85	0	1	1
168	1	1	1	0	12	621	0	1	0
168	2	1	1	0	12	621	0	1	1
169	1	1	1	0	12	621	0	1	0
169	2	1	1	0	12	621	0	1	1
170	1	1	1	0	12	621	0	1	0
170	2	1	1	0	12	621	0	1	1
171	1	1	1	0	12	621	0	1	0
171	2	1	1	0	12	621	0	1	1
184	1	1	1	0	12	621	0	1	0
184	2	1	1	0	12	621	0	1	1
185	1	1	1	0	12	621	0	1	0
185	2	1	1	0	12	621	0	1	1
187	1	1	1	0	12	621	0	1	0
187	2	1	1	0	12	621	0	1	1
201	1	1	1	0	12	621	0	1	0
201	2	1	1	0	12	621	0	1	1
202	1	1	1	0	12	621	0	1	0
202	2	1	1	0	12	621	0	1	1
247	1	1	1	0	14	807	0	1	0
247	2	1	1	0	14	807	0	1	1
263	1	1	1	0	14	807	0	1	0
263	2	1	1	0	14	807	0	1	1
264	1	1	1	0	14	807	0	1	0
264	2	1	1	0	14	807	0	1	1
265	1	1	1	0	14	807	0	1	0
265	2	1	1	0	14	807	0	1	1
279	1	1	1	0	14	807	0	1	0
279	2	1	1	0	14	807	0	1	1
295	1	1	1	0	8	437	0	1	0
295	2	1	1	0	8	437	0	1	1
296	1	1	1	0	8	437	0	1	0
296	2	1	1	0	8	437	0	1	1
310	1	1	1	0	8	437	0	1	0
310	2	1	1	0	8	437	0	1	1
311	1	1	1	0	8	437	0	1	0
311	2	1	1	0	8	437	0	1	1
328	1	1	1	0	0	85	0	1	0
328	2	1	1	0	0	85	0	1	1
330	1	1	1	0	0	85	0	1	0
330	2	1	1	0	0	85	0	1	1
344	1	1	1	0	0	85	0	1	0
344	2	1	1	0	0	85	0	1	1
345	1	1	1	0	0	85	0	1	0
345	2	1	1	0	0	85	0	1	1
360	1	1	1	0	0	85	0	1	0
360	2	1	1	0	0	85	0	1	1
361	1	1	1	0	0	85	0	1	0
361	2	1	1	0	0	85	0	1	1
380	1	1	1	0	12	621	0	1	0
380	2	1	1	0	12	621	0	1	1
381	1	1	1	0	12	621	0	1	0
381	2	1	1	0	12	621	0	1	1
403	1	1	1	0	12	621	0	1	0
403	2	1	1	0	12	621	0	1	1
1186	1	1	1	0	14	807	0	1	0
1186	2	1	1	0	14	807	0	1	1
2202	1	1	1	0	16	967	0	1	0
2202	2	1	1	0	16	967	0	1	1
2218	1	1	1	0	2	137	0	1	0
2218	2	1	1	0	2	137	0	1	1
2234	1	1	1	0	2	137	0	1	0
2234	2	1	1	0	2	137	0	1	1
2251	1	1	1	0	4	225	0	1	0
2251	2	1	1	0	4	225	0	1	1
2277	1	1	1	0	4	225	0	1	0
2277	2	1	1	0	4	225	0	1	1
2296	1	1	1	0	6	325	0	1	0
2296	2	1	1	0	6	325	0	1	1
2312	1	1	1	0	6	325	0	1	0
2312	2	1	1	0	6	325	0	1	1
2314	1	1	1	0	6	325	0	1	0
2314	2	1	1	0	6	325	0	1	1
2329	1	1	1	0	8	437	0	1	0
2329	2	1	1	0	8	437	0	1	1
2330	1	1	1	0	8	437	0	1	0
2330	2	1	1	0	8	437	0	1	1
2347	1	1	1	0	8	437	0	1	0
2347	2	1	1	0	8	437	0	1	1
2350	1	1	1	0	8	437	0	1	0
2350	2	1	1	0	8	437	0	1	1
2551	1	1	1	0	6	325	0	1	0
2551	2	1	1	0	6	325	0	1	1
3767	1	1	1	0	18	1143	0	1	0
3767	2	1	1	0	18	1143	0	1	1
3783	1	1	1	0	18	1143	0	1	0
3783	2	1	1	0	18	1143	0	1	1
3799	1	1	1	0	18	1143	0	1	0
3799	2	1	1	0	18	1143	0	1	1
3801	1	1	1	0	18	1143	0	1	0
3801	2	1	1	0	18	1143	0	1	1
3847	1	1	1	0	10	549	0	1	0
3847	2	1	1	0	10	549	0	1	1
3873	1	1	1	0	10	549	0	1	0
3873	2	1	1	0	10	549	0	1	1
4075	1	1	1	0	2	137	0	1	0
4075	2	1	1	0	2	137	0	1	1
4091	1	1	1	0	18	1143	0	1	0
4091	2	1	1	0	18	1143	0	1	1
4115	1	1	1	0	18	1143	0	1	0
4115	2	1	1	0	18	1143	0	1	1
4131	1	1	1	0	8	437	0	1	0
4131	2	1	1	0	8	437	0	1	1
4146	1	1	1	0	8	437	0	1	0
4146	2	1	1	0	8	437	0	1	1
4162	1	1	1	0	8	437	0	1	0
4162	2	1	1	0	8	437	0	1	1
4178	1	1	1	0	14	807	0	1	0
4178	2	1	1	0	14	807	0	1	1
4193	1	1	1	0	14	807	0	1	0
4193	2	1	1	0	14	807	0	1	1
4194	1	1	1	0	14	807	0	1	0
4194	2	1	1	0	14	807	0	1	1
4209	1	1	1	0	18	1143	0	1	0
4209	2	1	1	0	18	1143	0	1	1
4211	1	1	1	0	18	1143	0	1	0
4211	2	1	1	0	18	1143	0	1	1
4231	1	1	1	0	18	1143	0	1	0
4231	2	1	1	0	18	1143	0	1	1
4237	1	1	1	0	18	1143	0	1	0
4237	2	1	1	0	18	1143	0	1	1
4451	1	1	1	0	4	225	0	1	0
4451	2	1	1	0	4	225	0	1	1
4467	1	1	1	0	4	225	0	1	0
4467	2	1	1	0	4	225	0	1	1
4482	1	1	1	0	4	225	0	1	0
4482	2	1	1	0	4	225	0	1	1
4498	1	1	1	0	12	621	0	1	0
4498	2	1	1	0	12	621	0	1	1
4514	1	1	1	0	12	621	0	1	0
4514	2	1	1	0	12	621	0	1	1
4529	1	1	1	0	18	1143	0	1	0
4529	2	1	1	0	18	1143	0	1	1
4530	1	1	1	0	18	1143	0	1	0
4530	2	1	1	0	18	1143	0	1	1
4547	1	1	1	0	18	1143	0	1	0
4547	2	1	1	0	18	1143	0	1	1
4563	1	1	1	0	18	1143	0	1	0
4563	2	1	1	0	18	1143	0	1	1
4565	1	1	1	0	18	1143	0	1	0
4565	2	1	1	0	18	1143	0	1	1
4789	1	1	1	0	0	85	0	1	0
4789	2	1	1	0	0	85	0	1	1
4804	1	1	1	0	0	85	0	1	0
4804	2	1	1	0	0	85	0	1	1
4820	1	1	1	0	12	621	0	1	0
4820	2	1	1	0	12	621	0	1	1
4836	1	1	1	0	12	621	0	1	0
4836	2	1	1	0	12	621	0	1	1
4852	1	1	1	0	12	621	0	1	0
4852	2	1	1	0	12	621	0	1	1
4871	1	1	1	0	12	621	0	1	0
4871	2	1	1	0	12	621	0	1	1
4872	1	1	1	0	12	621	0	1	0
4872	2	1	1	0	12	621	0	1	1
5094	1	1	1	0	6	325	0	1	0
5094	2	1	1	0	6	325	0	1	1
5110	1	1	1	0	6	325	0	1	0
5110	2	1	1	0	6	325	0	1	1
5126	1	1	1	0	6	325	0	1	0
5126	2	1	1	0	6	325	0	1	1
5145	1	1	1	0	6	325	0	1	0
5145	2	1	1	0	6	325	0	1	1
6114	1	1	1	0	6	325	0	1	0
6114	2	1	1	0	6	325	0	1	1
6130	1	1	1	0	10	549	0	1	0
6130	2	1	1	0	10	549	0	1	1
6146	1	1	1	0	10	549	0	1	0
6146	2	1	1	0	10	549	0	1	1
6163	1	1	1	0	10	549	0	1	0
6163	2	1	1	0	10	549	0	1	1
6187	1	1	1	0	16	967	0	1	0
6187	2	1	1	0	16	967	0	1	1
6204	1	1	1	0	16	967	0	1	0
6204	2	1	1	0	16	967	0	1	1
6220	1	1	1	0	8	437	0	1	0
6220	2	1	1	0	8	437	0	1	1
6221	1	1	1	0	8	437	0	1	0
6221	2	1	1	0	8	437	0	1	1
6236	1	1	1	0	8	437	0	1	0
6236	2	1	1	0	8	437	0	1	1
6252	1	1	1	0	8	437	0	1	0
6252	2	1	1	0	8	437	0	1	1
6268	1	1	1	0	8	437	0	1	0
6268	2	1	1	0	8	437	0	1	1
6283	1	1	1	0	8	437	0	1	0
6283	2	1	1	0	8	437	0	1	1
6284	1	1	1	0	8	437	0	1	0
6284	2	1	1	0	8	437	0	1	1
6302	1	1	1	0	4	225	0	1	0
6302	2	1	1	0	4	225	0	1	1
6308	1	1	1	0	4	225	0	1	0
6308	2	1	1	0	4	225	0	1	1
7518	1	1	1	0	12	621	0	1	0
7518	2	1	1	0	12	621	0	1	1
7743	1	1	1	0	8	437	0	1	0
7743	2	1	1	0	8	437	0	1	1
7769	1	1	1	0	4	225	0	1	0
7769	2	1	1	0	4	225	0	1	1
8759	1	1	1	0	2	137	0	1	0
8759	2	1	1	0	2	137	0	1	1
8780	1	1	1	0	20	1335	0	1	0
8780	2	1	1	0	20	1335	0	1	1
8796	1	1	1	0	20	1335	0	1	0
8796	2	1	1	0	20	1335	0	1	1
8813	1	1	1	0	24	1692	0	1	0
8813	2	1	1	0	24	1692	0	1	1
8829	1	1	1	0	24	1692	0	1	0
8829	2	1	1	0	24	1692	0	1	1
8845	1	1	1	0	24	1692	0	1	0
8845	2	1	1	0	24	1692	0	1	1
8860	1	1	1	0	10	549	0	1	0
8860	2	1	1	0	10	549	0	1	1
8862	1	1	1	0	10	549	0	1	0
8862	2	1	1	0	10	549	0	1	1
8877	1	1	1	0	10	549	0	1	0
8877	2	1	1	0	10	549	0	1	1
8880	1	1	1	0	10	549	0	1	0
8880	2	1	1	0	10	549	0	1	1
8894	1	1	1	0	12	621	0	1	0
8894	2	1	1	0	12	621	0	1	1
8896	1	1	1	0	12	621	0	1	0
8896	2	1	1	0	12	621	0	1	1
8915	1	1	1	0	12	621	0	1	0
8915	2	1	1	0	12	621	0	1	1
8919	1	1	1	0	12	621	0	1	0
8919	2	1	1	0	12	621	0	1	1
8932	1	1	1	0	0	85	0	1	0
8932	2	1	1	0	0	85	0	1	1
8933	1	1	1	0	0	85	0	1	0
8933	2	1	1	0	0	85	0	1	1
8934	1	1	1	0	0	85	0	1	0
8934	2	1	1	0	0	85	0	1	1
8935	1	1	1	0	0	85	0	1	0
8935	2	1	1	0	0	85	0	1	1
8948	1	1	1	0	0	85	0	1	0
8948	2	1	1	0	0	85	0	1	1
8949	1	1	1	0	0	85	0	1	0
8949	2	1	1	0	0	85	0	1	1
8951	1	1	1	0	0	85	0	1	0
8951	2	1	1	0	0	85	0	1	1
8952	1	1	1	0	0	85	0	1	0
8952	2	1	1	0	0	85	0	1	1
8964	1	1	1	0	0	85	0	1	0
8964	2	1	1	0	0	85	0	1	1
8965	1	1	1	0	0	85	0	1	0
8965	2	1	1	0	0	85	0	1	1
9007	1	1	1	0	10	549	0	1	0
9007	2	1	1	0	10	549	0	1	1
9026	1	1	1	0	10	549	0	1	0
9026	2	1	1	0	10	549	0	1	1
9028	1	1	1	0	10	549	0	1	0
9028	2	1	1	0	10	549	0	1	1
9229	1	1	1	0	12	621	0	1	0
9229	2	1	1	0	12	621	0	1	1
9249	1	1	1	0	4	225	0	1	0
9249	2	1	1	0	4	225	0	1	1
