% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	24	1692	0	1	0
115	2	1	1	0	24	1692	0	1	1
131	1	1	1	0	28	2292	0	1	0
131	2	1	1	0	28	2292	0	1	1
132	1	1	1	0	28	2292	0	1	0
132	2	1	1	0	28	2292	0	1	1
133	1	1	1	0	28	2292	0	1	0
133	2	1	1	0	28	2292	0	1	1
147	1	1	1	0	28	2292	0	1	0
147	2	1	1	0	28	2292	0	1	1
148	1	1	1	0	28	2292	0	1	0
148	2	1	1	0	28	2292	0	1	1
149	1	1	1	0	28	2292	0	1	0
149	2	1	1	0	28	2292	0	1	1
163	1	1	1	0	28	2292	0	1	0
163	2	1	1	0	28	2292	0	1	1
164	1	1	1	0	28	2292	0	1	0
164	2	1	1	0	28	2292	0	1	1
165	1	1	1	0	28	2292	0	1	0
165	2	1	1	0	28	2292	0	1	1
183	1	1	1	0	28	2292	0	1	0
183	2	1	1	0	28	2292	0	1	1
199	1	1	1	0	28	2292	0	1	0
199	2	1	1	0	28	2292	0	1	1
200	1	1	1	0	28	2292	0	1	0
200	2	1	1	0	28	2292	0	1	1
201	1	1	1	0	28	2292	0	1	0
201	2	1	1	0	28	2292	0	1	1
215	1	1	1	0	12	621	0	1	0
215	2	1	1	0	12	621	0	1	1
216	1	1	1	0	12	621	0	1	0
216	2	1	1	0	12	621	0	1	1
231	1	1	1	0	12	621	0	1	0
231	2	1	1	0	12	621	0	1	1
232	1	1	1	0	12	621	0	1	0
232	2	1	1	0	12	621	0	1	1
233	1	1	1	0	12	621	0	1	0
233	2	1	1	0	12	621	0	1	1
247	1	1	1	0	28	2292	0	1	0
247	2	1	1	0	28	2292	0	1	1
248	1	1	1	0	28	2292	0	1	0
248	2	1	1	0	28	2292	0	1	1
249	1	1	1	0	28	2292	0	1	0
249	2	1	1	0	28	2292	0	1	1
262	1	1	1	0	28	2292	0	1	0
262	2	1	1	0	28	2292	0	1	1
263	1	1	1	0	28	2292	0	1	0
263	2	1	1	0	28	2292	0	1	1
264	1	1	1	0	28	2292	0	1	0
264	2	1	1	0	28	2292	0	1	1
277	1	1	1	0	28	2292	0	1	0
277	2	1	1	0	28	2292	0	1	1
278	1	1	1	0	28	2292	0	1	0
278	2	1	1	0	28	2292	0	1	1
279	1	1	1	0	28	2292	0	1	0
279	2	1	1	0	28	2292	0	1	1
292	1	1	1	0	26	1908	0	1	0
292	2	1	1	0	26	1908	0	1	1
293	1	1	1	0	26	1908	0	1	0
293	2	1	1	0	26	1908	0	1	1
294	1	1	1	0	26	1908	0	1	0
294	2	1	1	0	26	1908	0	1	1
308	1	1	1	0	26	1908	0	1	0
308	2	1	1	0	26	1908	0	1	1
309	1	1	1	0	26	1908	0	1	0
309	2	1	1	0	26	1908	0	1	1
324	1	1	1	0	26	1908	0	1	0
324	2	1	1	0	26	1908	0	1	1
325	1	1	1	0	26	1908	0	1	0
325	2	1	1	0	26	1908	0	1	1
326	1	1	1	0	26	1908	0	1	0
326	2	1	1	0	26	1908	0	1	1
340	1	1	1	0	14	807	0	1	0
340	2	1	1	0	14	807	0	1	1
341	1	1	1	0	14	807	0	1	0
341	2	1	1	0	14	807	0	1	1
342	1	1	1	0	14	807	0	1	0
342	2	1	1	0	14	807	0	1	1
343	1	1	1	0	14	807	0	1	0
343	2	1	1	0	14	807	0	1	1
355	1	1	1	0	14	807	0	1	0
355	2	1	1	0	14	807	0	1	1
356	1	1	1	0	14	807	0	1	0
356	2	1	1	0	14	807	0	1	1
357	1	1	1	0	14	807	0	1	0
357	2	1	1	0	14	807	0	1	1
358	1	1	1	0	14	807	0	1	0
358	2	1	1	0	14	807	0	1	1
359	1	1	1	0	14	807	0	1	0
359	2	1	1	0	14	807	0	1	1
370	1	1	1	0	4	225	0	1	0
370	2	1	1	0	4	225	0	1	1
371	1	1	1	0	4	225	0	1	0
371	2	1	1	0	4	225	0	1	1
372	1	1	1	0	4	225	0	1	0
372	2	1	1	0	4	225	0	1	1
373	1	1	1	0	4	225	0	1	0
373	2	1	1	0	4	225	0	1	1
386	1	1	1	0	4	225	0	1	0
386	2	1	1	0	4	225	0	1	1
387	1	1	1	0	4	225	0	1	0
387	2	1	1	0	4	225	0	1	1
402	1	1	1	0	4	225	0	1	0
402	2	1	1	0	4	225	0	1	1
403	1	1	1	0	4	225	0	1	0
403	2	1	1	0	4	225	0	1	1
404	1	1	1	0	4	225	0	1	0
404	2	1	1	0	4	225	0	1	1
405	1	1	1	0	4	225	0	1	0
405	2	1	1	0	4	225	0	1	1
418	1	1	1	0	18	1143	0	1	0
418	2	1	1	0	18	1143	0	1	1
419	1	1	1	0	18	1143	0	1	0
419	2	1	1	0	18	1143	0	1	1
420	1	1	1	0	18	1143	0	1	0
420	2	1	1	0	18	1143	0	1	1
421	1	1	1	0	18	1143	0	1	0
421	2	1	1	0	18	1143	0	1	1
434	1	1	1	0	18	1143	0	1	0
