% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	6	325	0
0.109	1	1	11	10	1	6	325	1
0.124	1	1	13	5	1	14	807	0
0.124	1	1	13	5	1	14	807	1
0.125	1	1	13	6	1	14	807	0
0.125	1	1	13	6	1	14	807	1
0.126	1	1	13	7	1	14	807	0
0.126	1	1	13	7	1	14	807	1
0.139	1	1	14	10	1	14	807	0
0.139	1	1	14	10	1	14	807	1
0.14	1	1	15	1	1	14	807	0
0.14	1	1	15	1	1	14	807	1
0.141	1	1	15	2	1	14	807	0
0.141	1	1	15	2	1	14	807	1
0.155	1	1	16	6	1	14	807	0
0.155	1	1	16	6	1	14	807	1
0.156	1	1	16	7	1	14	807	0
0.156	1	1	16	7	1	14	807	1
0.157	1	1	16	8	1	14	807	0
0.157	1	1	16	8	1	14	807	1
0.171	1	1	18	2	1	4	225	0
0.171	1	1	18	2	1	4	225	1
0.172	1	1	18	3	1	4	225	0
0.172	1	1	18	3	1	4	225	1
0.173	1	1	18	4	1	4	225	0
0.173	1	1	18	4	1	4	225	1
0.187	1	1	19	8	1	4	225	0
0.187	1	1	19	8	1	4	225	1
0.188	1	1	19	9	1	4	225	0
0.188	1	1	19	9	1	4	225	1
0.189	1	1	19	10	1	4	225	0
0.189	1	1	19	10	1	4	225	1
0.19	1	1	20	1	1	4	225	0
0.19	1	1	20	1	1	4	225	1
0.202	1	1	21	3	1	0	85	0
0.202	1	1	21	3	1	0	85	1
0.203	1	1	21	4	1	0	85	0
0.203	1	1	21	4	1	0	85	1
0.204	1	1	21	5	1	0	85	0
0.204	1	1	21	5	1	0	85	1
0.205	1	1	21	6	1	0	85	0
0.205	1	1	21	6	1	0	85	1
0.206	1	1	21	7	1	0	85	0
0.206	1	1	21	7	1	0	85	1
0.207	1	1	21	8	1	0	85	0
0.207	1	1	21	8	1	0	85	1
0.218	1	1	22	9	1	0	85	0
0.218	1	1	22	9	1	0	85	1
0.219	1	1	22	10	1	0	85	0
0.219	1	1	22	10	1	0	85	1
0.22	1	1	23	1	1	0	85	0
0.22	1	1	23	1	1	0	85	1
0.221	1	1	23	2	1	0	85	0
0.221	1	1	23	2	1	0	85	1
0.222	1	1	23	3	1	0	85	0
0.222	1	1	23	3	1	0	85	1
0.223	1	1	23	4	1	0	85	0
0.223	1	1	23	4	1	0	85	1
0.234	1	1	24	5	1	0	85	0
0.234	1	1	24	5	1	0	85	1
0.235	1	1	24	6	1	0	85	0
0.235	1	1	24	6	1	0	85	1
0.236	1	1	24	7	1	0	85	0
0.236	1	1	24	7	1	0	85	1
0.237	1	1	24	8	1	0	85	0
0.237	1	1	24	8	1	0	85	1
0.238	1	1	24	9	1	0	85	0
0.238	1	1	24	9	1	0	85	1
0.239	1	1	24	10	1	0	85	0
0.239	1	1	24	10	1	0	85	1
0.25	1	1	26	1	1	2	137	0
0.25	1	1	26	1	1	2	137	1
0.251	1	1	26	2	1	2	137	0
0.251	1	1	26	2	1	2	137	1
0.252	1	1	26	3	1	2	137	0
0.252	1	1	26	3	1	2	137	1
0.253	1	1	26	4	1	2	137	0
0.253	1	1	26	4	1	2	137	1
0.254	1	1	26	5	1	2	137	0
0.254	1	1	26	5	1	2	137	1
0.266	1	1	27	7	1	2	137	0
0.266	1	1	27	7	1	2	137	1
0.267	1	1	27	8	1	2	137	0
0.267	1	1	27	8	1	2	137	1
0.268	1	1	27	9	1	2	137	0
0.268	1	1	27	9	1	2	137	1
0.269	1	1	27	10	1	2	137	0
0.269	1	1	27	10	1	2	137	1
0.27	1	1	28	1	1	2	137	0
0.27	1	1	28	1	1	2	137	1
0.283	1	1	29	4	1	2	137	0
0.283	1	1	29	4	1	2	137	1
0.284	1	1	29	5	1	2	137	0
0.284	1	1	29	5	1	2	137	1
0.285	1	1	29	6	1	2	137	0
0.285	1	1	29	6	1	2	137	1
0.286	1	1	29	7	1	2	137	0
0.286	1	1	29	7	1	2	137	1
0.299	1	1	30	10	1	2	137	0
0.299	1	1	30	10	1	2	137	1
0.3	1	1	31	1	1	2	137	0
0.3	1	1	31	1	1	2	137	1
0.301	1	1	31	2	1	2	137	0
0.301	1	1	31	2	1	2	137	1
0.302	1	1	31	3	1	2	137	0
0.302	1	1	31	3	1	2	137	1
0.314	1	1	32	5	1	2	137	0
0.314	1	1	32	5	1	2	137	1
0.315	1	1	32	6	1	2	137	0
0.315	1	1	32	6	1	2	137	1
0.316	1	1	32	7	1	2	137	0
0.316	1	1	32	7	1	2	137	1
0.317	1	1	32	8	1	2	137	0
0.317	1	1	32	8	1	2	137	1
0.318	1	1	32	9	1	2	137	0
0.318	1	1	32	9	1	2	137	1
0.33	1	1	34	1	1	8	437	0
0.33	1	1	34	1	1	8	437	1
0.331	1	1	34	2	1	8	437	0
0.331	1	1	34	2	1	8	437	1
0.332	1	1	34	3	1	8	437	0
0.332	1	1	34	3	1	8	437	1
0.346	1	1	35	7	1	8	437	0
0.346	1	1	35	7	1	8	437	1
0.347	1	1	35	8	1	8	437	0
0.347	1	1	35	8	1	8	437	1
0.348	1	1	35	9	1	8	437	0
0.348	1	1	35	9	1	8	437	1
0.362	1	1	37	3	1	4	225	0
0.362	1	1	37	3	1	4	225	1
0.363	1	1	37	4	1	4	225	0
0.363	1	1	37	4	1	4	225	1
0.364	1	1	37	5	1	4	225	0
0.364	1	1	37	5	1	4	225	1
0.365	1	1	37	6	1	4	225	0
0.365	1	1	37	6	1	4	225	1
0.378	1	1	38	9	1	4	225	0
0.378	1	1	38	9	1	4	225	1
0.379	1	1	38	10	1	4	225	0
0.379	1	1	38	10	1	4	225	1
0.38	1	1	39	1	1	4	225	0
0.38	1	1	39	1	1	4	225	1
0.381	1	1	39	2	1	4	225	0
0.381	1	1	39	2	1	4	225	1
0.394	1	1	40	5	1	4	225	0
0.394	1	1	40	5	1	4	225	1
0.395	1	1	40	6	1	4	225	0
0.395	1	1	40	6	1	4	225	1
0.396	1	1	40	7	1	4	225	0
0.396	1	1	40	7	1	4	225	1
0.41	1	1	42	1	1	12	621	0
0.41	1	1	42	1	1	12	621	1
0.411	1	1	42	2	1	12	621	0
0.411	1	1	42	2	1	12	621	1
0.412	1	1	42	3	1	12	621	0
0.412	1	1	42	3	1	12	621	1
0.425	1	1	43	6	1	12	621	0
0.425	1	1	43	6	1	12	621	1
0.426	1	1	43	7	1	12	621	0
0.426	1	1	43	7	1	12	621	1
0.427	1	1	43	8	1	12	621	0
0.427	1	1	43	8	1	12	621	1
0.441	1	1	45	2	1	12	621	0
0.441	1	1	45	2	1	12	621	1
0.442	1	1	45	3	1	12	621	0
0.442	1	1	45	3	1	12	621	1
0.443	1	1	45	4	1	12	621	0
0.443	1	1	45	4	1	12	621	1
0.457	1	1	46	8	1	12	621	0
0.457	1	1	46	8	1	12	621	1
1.171	1	1	118	2	1	10	549	0
1.171	1	1	118	2	1	10	549	1
1.186	1	1	119	7	1	10	549	0
1.186	1	1	119	7	1	10	549	1
1.202	1	1	121	3	1	0	85	0
1.202	1	1	121	3	1	0	85	1
1.218	1	1	122	9	1	0	85	0
1.218	1	1	122	9	1	0	85	1
1.219	1	1	122	10	1	0	85	0
1.219	1	1	122	10	1	0	85	1
1.234	1	1	124	5	1	0	85	0
1.234	1	1	124	5	1	0	85	1
1.235	1	1	124	6	1	0	85	0
1.235	1	1	124	6	1	0	85	1
