% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	6	325	0	1	0
115	2	1	1	0	6	325	0	1	1
130	1	1	1	0	14	807	0	1	0
130	2	1	1	0	14	807	0	1	1
131	1	1	1	0	14	807	0	1	0
131	2	1	1	0	14	807	0	1	1
132	1	1	1	0	14	807	0	1	0
132	2	1	1	0	14	807	0	1	1
145	1	1	1	0	14	807	0	1	0
145	2	1	1	0	14	807	0	1	1
146	1	1	1	0	14	807	0	1	0
146	2	1	1	0	14	807	0	1	1
147	1	1	1	0	14	807	0	1	0
147	2	1	1	0	14	807	0	1	1
161	1	1	1	0	14	807	0	1	0
161	2	1	1	0	14	807	0	1	1
162	1	1	1	0	14	807	0	1	0
162	2	1	1	0	14	807	0	1	1
163	1	1	1	0	14	807	0	1	0
163	2	1	1	0	14	807	0	1	1
177	1	1	1	0	4	225	0	1	0
177	2	1	1	0	4	225	0	1	1
178	1	1	1	0	4	225	0	1	0
178	2	1	1	0	4	225	0	1	1
179	1	1	1	0	4	225	0	1	0
179	2	1	1	0	4	225	0	1	1
193	1	1	1	0	4	225	0	1	0
193	2	1	1	0	4	225	0	1	1
194	1	1	1	0	4	225	0	1	0
194	2	1	1	0	4	225	0	1	1
195	1	1	1	0	4	225	0	1	0
195	2	1	1	0	4	225	0	1	1
196	1	1	1	0	4	225	0	1	0
196	2	1	1	0	4	225	0	1	1
208	1	1	1	0	0	85	0	1	0
208	2	1	1	0	0	85	0	1	1
209	1	1	1	0	0	85	0	1	0
209	2	1	1	0	0	85	0	1	1
210	1	1	1	0	0	85	0	1	0
210	2	1	1	0	0	85	0	1	1
211	1	1	1	0	0	85	0	1	0
211	2	1	1	0	0	85	0	1	1
212	1	1	1	0	0	85	0	1	0
212	2	1	1	0	0	85	0	1	1
213	1	1	1	0	0	85	0	1	0
213	2	1	1	0	0	85	0	1	1
224	1	1	1	0	0	85	0	1	0
224	2	1	1	0	0	85	0	1	1
225	1	1	1	0	0	85	0	1	0
225	2	1	1	0	0	85	0	1	1
226	1	1	1	0	0	85	0	1	0
226	2	1	1	0	0	85	0	1	1
227	1	1	1	0	0	85	0	1	0
227	2	1	1	0	0	85	0	1	1
228	1	1	1	0	0	85	0	1	0
