% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	28	2292	0
0.109	1	1	11	10	1	28	2292	1
0.116	1	1	12	7	1	28	2292	0
0.161	1	1	17	2	1	28	2292	0
0.161	1	1	17	2	1	28	2292	1
0.176	1	1	18	7	1	28	2292	0
0.176	1	1	18	7	1	28	2292	1
0.177	1	1	18	8	1	28	2292	0
0.177	1	1	18	8	1	28	2292	1
0.178	1	1	18	9	1	28	2292	0
0.178	1	1	18	9	1	28	2292	1
0.191	1	1	20	2	1	28	2292	0
0.191	1	1	20	2	1	28	2292	1
0.192	1	1	20	3	1	28	2292	0
0.192	1	1	20	3	1	28	2292	1
0.193	1	1	20	4	1	28	2292	0
0.193	1	1	20	4	1	28	2292	1
0.206	1	1	21	7	1	26	1908	0
0.206	1	1	21	7	1	26	1908	1
0.207	1	1	21	8	1	26	1908	0
0.207	1	1	21	8	1	26	1908	1
0.208	1	1	21	9	1	26	1908	0
0.208	1	1	21	9	1	26	1908	1
0.221	1	1	23	2	1	26	1908	0
0.221	1	1	23	2	1	26	1908	1
0.222	1	1	23	3	1	26	1908	0
0.222	1	1	23	3	1	26	1908	1
0.223	1	1	23	4	1	26	1908	0
0.223	1	1	23	4	1	26	1908	1
0.236	1	1	24	7	1	26	1908	0
0.236	1	1	24	7	1	26	1908	1
0.237	1	1	24	8	1	26	1908	0
0.237	1	1	24	8	1	26	1908	1
0.238	1	1	24	9	1	26	1908	0
0.238	1	1	24	9	1	26	1908	1
0.251	1	1	26	2	1	24	1692	0
0.251	1	1	26	2	1	24	1692	1
0.252	1	1	26	3	1	24	1692	0
0.252	1	1	26	3	1	24	1692	1
0.253	1	1	26	4	1	24	1692	0
0.253	1	1	26	4	1	24	1692	1
0.266	1	1	27	7	1	24	1692	0
0.266	1	1	27	7	1	24	1692	1
0.267	1	1	27	8	1	24	1692	0
0.267	1	1	27	8	1	24	1692	1
0.268	1	1	27	9	1	24	1692	0
0.268	1	1	27	9	1	24	1692	1
0.281	1	1	29	2	1	28	2292	0
0.281	1	1	29	2	1	28	2292	1
0.282	1	1	29	3	1	28	2292	0
0.282	1	1	29	3	1	28	2292	1
0.283	1	1	29	4	1	28	2292	0
0.283	1	1	29	4	1	28	2292	1
0.296	1	1	30	7	1	28	2292	0
0.296	1	1	30	7	1	28	2292	1
0.297	1	1	30	8	1	28	2292	0
0.297	1	1	30	8	1	28	2292	1
0.298	1	1	30	9	1	28	2292	0
0.298	1	1	30	9	1	28	2292	1
0.311	1	1	32	2	1	28	2292	0
0.311	1	1	32	2	1	28	2292	1
0.312	1	1	32	3	1	28	2292	0
0.312	1	1	32	3	1	28	2292	1
0.313	1	1	32	4	1	28	2292	0
0.313	1	1	32	4	1	28	2292	1
0.326	1	1	33	7	1	22	1431	0
0.326	1	1	33	7	1	22	1431	1
0.327	1	1	33	8	1	22	1431	0
0.327	1	1	33	8	1	22	1431	1
0.328	1	1	33	9	1	22	1431	0
0.328	1	1	33	9	1	22	1431	1
0.341	1	1	35	2	1	22	1431	0
0.341	1	1	35	2	1	22	1431	1
0.342	1	1	35	3	1	22	1431	0
0.342	1	1	35	3	1	22	1431	1
0.343	1	1	35	4	1	22	1431	0
0.343	1	1	35	4	1	22	1431	1
0.344	1	1	35	5	1	22	1431	0
0.344	1	1	35	5	1	22	1431	1
0.356	1	1	36	7	1	22	1431	0
0.356	1	1	36	7	1	22	1431	1
0.357	1	1	36	8	1	22	1431	0
0.357	1	1	36	8	1	22	1431	1
0.358	1	1	36	9	1	22	1431	0
0.358	1	1	36	9	1	22	1431	1
0.371	1	1	38	2	1	12	621	0
0.371	1	1	38	2	1	12	621	1
0.372	1	1	38	3	1	12	621	0
0.372	1	1	38	3	1	12	621	1
0.373	1	1	38	4	1	12	621	0
0.373	1	1	38	4	1	12	621	1
0.386	1	1	39	7	1	12	621	0
0.386	1	1	39	7	1	12	621	1
0.387	1	1	39	8	1	12	621	0
0.387	1	1	39	8	1	12	621	1
0.388	1	1	39	9	1	12	621	0
0.388	1	1	39	9	1	12	621	1
0.401	1	1	41	2	1	12	621	0
0.401	1	1	41	2	1	12	621	1
0.402	1	1	41	3	1	12	621	0
0.402	1	1	41	3	1	12	621	1
0.403	1	1	41	4	1	12	621	0
0.403	1	1	41	4	1	12	621	1
0.416	1	1	42	7	1	12	621	0
0.416	1	1	42	7	1	12	621	1
0.417	1	1	42	8	1	12	621	0
0.417	1	1	42	8	1	12	621	1
0.431	1	1	44	2	1	12	621	0
0.431	1	1	44	2	1	12	621	1
0.432	1	1	44	3	1	12	621	0
0.432	1	1	44	3	1	12	621	1
0.433	1	1	44	4	1	12	621	0
0.433	1	1	44	4	1	12	621	1
0.448	1	1	45	9	1	28	2292	0
0.448	1	1	45	9	1	28	2292	1
0.449	1	1	45	10	1	28	2292	0
0.449	1	1	45	10	1	28	2292	1
0.45	1	1	46	1	1	28	2292	0
0.45	1	1	46	1	1	28	2292	1
0.463	1	1	47	4	1	28	2292	0
0.463	1	1	47	4	1	28	2292	1
0.464	1	1	47	5	1	28	2292	0
0.464	1	1	47	5	1	28	2292	1
0.47	1	1	48	1	1	28	2292	0
0.485	1	1	49	6	1	24	1692	0
0.485	1	1	49	6	1	24	1692	1
0.486	1	1	49	7	1	24	1692	0
0.486	1	1	49	7	1	24	1692	1
0.5	1	1	51	1	1	24	1692	0
0.5	1	1	51	1	1	24	1692	1
0.501	1	1	51	2	1	24	1692	0
0.501	1	1	51	2	1	24	1692	1
1.206	1	1	121	7	1	28	2292	0
1.206	1	1	121	7	1	28	2292	1
1.221	1	1	123	2	1	28	2292	0
1.221	1	1	123	2	1	28	2292	1
1.236	1	1	124	7	1	28	2292	0
1.236	1	1	124	7	1	28	2292	1
1.252	1	1	126	3	1	26	1908	0
1.252	1	1	126	3	1	26	1908	1
1.268	1	1	127	9	1	26	1908	0
1.268	1	1	127	9	1	26	1908	1
1.283	1	1	129	4	1	24	1692	0
1.283	1	1	129	4	1	24	1692	1
1.284	1	1	129	5	1	24	1692	0
1.284	1	1	129	5	1	24	1692	1
1.285	1	1	129	6	1	24	1692	0
1.285	1	1	129	6	1	24	1692	1
1.298	1	1	130	9	1	24	1692	0
1.298	1	1	130	9	1	24	1692	1
1.299	1	1	130	10	1	24	1692	0
1.299	1	1	130	10	1	24	1692	1
1.3	1	1	131	1	1	24	1692	0
1.3	1	1	131	1	1	24	1692	1
1.314	1	1	132	5	1	24	1692	0
1.314	1	1	132	5	1	24	1692	1
1.315	1	1	132	6	1	24	1692	0
1.315	1	1	132	6	1	24	1692	1
1.316	1	1	132	7	1	24	1692	0
1.316	1	1	132	7	1	24	1692	1
1.341	1	1	135	2	1	28	2292	0
1.341	1	1	135	2	1	28	2292	1
1.346	1	1	135	7	1	28	2292	0
1.346	1	1	135	7	1	28	2292	1
1.547	1	1	155	8	1	26	1908	0
1.547	1	1	155	8	1	26	1908	1
1.563	1	1	157	4	1	28	2292	0
1.563	1	1	157	4	1	28	2292	1
1.578	1	1	158	9	1	28	2292	0
1.578	1	1	158	9	1	28	2292	1
1.579	1	1	158	10	1	28	2292	0
1.579	1	1	158	10	1	28	2292	1
1.593	1	1	160	4	1	28	2292	0
1.593	1	1	160	4	1	28	2292	1
1.594	1	1	160	5	1	28	2292	0
1.594	1	1	160	5	1	28	2292	1
1.608	1	1	161	9	1	28	2292	0
1.608	1	1	161	9	1	28	2292	1
1.609	1	1	161	10	1	28	2292	0
1.609	1	1	161	10	1	28	2292	1
1.624	1	1	163	5	1	28	2292	0
1.624	1	1	163	5	1	28	2292	1
1.639	1	1	164	10	1	28	2292	0
1.639	1	1	164	10	1	28	2292	1
1.641	1	1	165	2	1	28	2292	0
1.641	1	1	165	2	1	28	2292	1
1.661	1	1	167	2	1	28	2292	0
1.661	1	1	167	2	1	28	2292	1
1.663	1	1	167	4	1	28	2292	0
1.663	1	1	167	4	1	28	2292	1
1.676	1	1	168	7	1	28	2292	0
1.676	1	1	168	7	1	28	2292	1
1.677	1	1	168	8	1	28	2292	0
1.677	1	1	168	8	1	28	2292	1
1.678	1	1	168	9	1	28	2292	0
1.678	1	1	168	9	1	28	2292	1
1.692	1	1	170	3	1	16	967	0
1.692	1	1	170	3	1	16	967	1
1.707	1	1	171	8	1	16	967	0
1.707	1	1	171	8	1	16	967	1
1.708	1	1	171	9	1	16	967	0
1.708	1	1	171	9	1	16	967	1
1.722	1	1	173	3	1	28	2292	0
1.722	1	1	173	3	1	28	2292	1
1.723	1	1	173	4	1	28	2292	0
1.723	1	1	173	4	1	28	2292	1
1.724	1	1	173	5	1	28	2292	0
1.724	1	1	173	5	1	28	2292	1
1.738	1	1	174	9	1	28	2292	0
1.738	1	1	174	9	1	28	2292	1
1.753	1	1	176	4	1	28	2292	0
1.753	1	1	176	4	1	28	2292	1
1.754	1	1	176	5	1	28	2292	0
1.754	1	1	176	5	1	28	2292	1
