% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	16	967	0	1	0
115	2	1	1	0	16	967	0	1	1
131	1	1	1	0	10	549	0	1	0
131	2	1	1	0	10	549	0	1	1
132	1	1	1	0	10	549	0	1	0
132	2	1	1	0	10	549	0	1	1
133	1	1	1	0	10	549	0	1	0
133	2	1	1	0	10	549	0	1	1
148	1	1	1	0	10	549	0	1	0
148	2	1	1	0	10	549	0	1	1
150	1	1	1	0	10	549	0	1	0
150	2	1	1	0	10	549	0	1	1
152	1	1	1	0	10	549	0	1	0
152	2	1	1	0	10	549	0	1	1
153	1	1	1	0	10	549	0	1	0
153	2	1	1	0	10	549	0	1	1
155	1	1	1	0	10	549	0	1	0
155	2	1	1	0	10	549	0	1	1
1147	1	1	1	0	4	225	0	1	0
1147	2	1	1	0	4	225	0	1	1
1163	1	1	1	0	4	225	0	1	0
1163	2	1	1	0	4	225	0	1	1
1164	1	1	1	0	4	225	0	1	0
1164	2	1	1	0	4	225	0	1	1
1180	1	1	1	0	4	225	0	1	0
1180	2	1	1	0	4	225	0	1	1
1181	1	1	1	0	4	225	0	1	0
1181	2	1	1	0	4	225	0	1	1
1182	1	1	1	0	4	225	0	1	0
1182	2	1	1	0	4	225	0	1	1
1196	1	1	1	0	4	225	0	1	0
1196	2	1	1	0	4	225	0	1	1
1197	1	1	1	0	4	225	0	1	0
1197	2	1	1	0	4	225	0	1	1
1198	1	1	1	0	4	225	0	1	0
1198	2	1	1	0	4	225	0	1	1
1199	1	1	1	0	4	225	0	1	0
1199	2	1	1	0	4	225	0	1	1
1212	1	1	1	0	4	225	0	1	0
1212	2	1	1	0	4	225	0	1	1
1213	1	1	1	0	4	225	0	1	0
1213	2	1	1	0	4	225	0	1	1
1214	1	1	1	0	4	225	0	1	0
1214	2	1	1	0	4	225	0	1	1
1215	1	1	1	0	4	225	0	1	0
1215	2	1	1	0	4	225	0	1	1
1228	1	1	1	0	4	225	0	1	0
1228	2	1	1	0	4	225	0	1	1
1229	1	1	1	0	4	225	0	1	0
1229	2	1	1	0	4	225	0	1	1
1243	1	1	1	0	4	225	0	1	0
1243	2	1	1	0	4	225	0	1	1
1244	1	1	1	0	4	225	0	1	0
1244	2	1	1	0	4	225	0	1	1
1260	1	1	1	0	12	621	0	1	0
1260	2	1	1	0	12	621	0	1	1
1263	1	1	1	0	12	621	0	1	0
1263	2	1	1	0	12	621	0	1	1
1265	1	1	1	0	12	621	0	1	0
1265	2	1	1	0	12	621	0	1	1
2215	1	1	1	0	14	807	0	1	0
2215	2	1	1	0	14	807	0	1	1
2240	1	1	1	0	14	807	0	1	0
2240	2	1	1	0	14	807	0	1	1
3456	1	1	1	0	14	807	0	1	0
