% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	4	225	0	1	1	0
130	1	1	1	0	12	621	0	1	1	0
145	1	1	1	0	12	621	0	1	1	0
161	1	1	1	0	12	621	0	1	1	0
176	1	1	1	0	16	967	0	1	1	0
191	1	1	1	0	16	967	0	1	1	0
207	1	1	1	0	8	437	0	1	1	0
223	1	1	1	0	8	437	0	1	1	0
239	1	1	1	0	8	437	0	1	1	0
259	1	1	1	0	18	1143	0	1	1	0
274	1	1	1	0	18	1143	0	1	1	0
290	1	1	1	0	24	1692	0	1	1	0
305	1	1	1	0	24	1692	0	1	1	0
320	1	1	1	0	24	1692	0	1	1	0
335	1	1	1	0	22	1431	0	1	1	0
351	1	1	1	0	22	1431	0	1	1	0
368	1	1	1	0	28	2292	0	1	1	0
383	1	1	1	0	28	2292	0	1	1	0
398	1	1	1	0	28	2292	0	1	1	0
413	1	1	1	0	18	1143	0	1	1	0
428	1	1	1	0	18	1143	0	1	1	0
443	1	1	1	0	18	1143	0	1	1	0
458	1	1	1	0	22	1431	0	1	1	0
1176	1	1	1	0	14	807	0	1	1	0
1192	1	1	1	0	14	807	0	1	1	0
1207	1	1	1	0	22	1431	0	1	1	0
1223	1	1	1	0	22	1431	0	1	1	0
1239	1	1	1	0	22	1431	0	1	1	0
1254	1	1	1	0	14	807	0	1	1	0
1270	1	1	1	0	14	807	0	1	1	0
1285	1	1	1	0	14	807	0	1	1	0
1300	1	1	1	0	14	807	0	1	1	0
1316	1	1	1	0	14	807	0	1	1	0
1331	1	1	1	0	12	621	0	1	1	0
1348	1	1	1	0	12	621	0	1	1	0
1365	1	1	1	0	12	621	0	1	1	0
1381	1	1	1	0	28	2292	0	1	1	0
1397	1	1	1	0	28	2292	0	1	1	0
1412	1	1	1	0	18	1143	0	1	1	0
1434	1	1	1	0	18	1143	0	1	1	0
1449	1	1	1	0	22	1431	0	1	1	0
1465	1	1	1	0	22	1431	0	1	1	0
1481	1	1	1	0	22	1431	0	1	1	0
1496	1	1	1	0	24	1692	0	1	1	0
1511	1	1	1	0	24	1692	0	1	1	0
1527	1	1	1	0	22	1431	0	1	1	0
1543	1	1	1	0	22	1431	0	1	1	0
1559	1	1	1	0	22	1431	0	1	1	0
1574	1	1	1	0	24	1692	0	1	1	0
1589	1	1	1	0	24	1692	0	1	1	0
1605	1	1	1	0	24	1692	0	1	1	0
1627	1	1	1	0	24	1692	0	1	1	0
1642	1	1	1	0	24	1692	0	1	1	0
1657	1	1	1	0	22	1431	0	1	1	0
1673	1	1	1	0	22	1431	0	1	1	0
1690	1	1	1	0	20	1335	0	1	1	0
1706	1	1	1	0	20	1335	0	1	1	0
1723	1	1	1	0	20	1335	0	1	1	0
1739	1	1	1	0	8	437	0	1	1	0
1754	1	1	1	0	8	437	0	1	1	0
1769	1	1	1	0	12	621	0	1	1	0
1787	1	1	1	0	12	621	0	1	1	0
1802	1	1	1	0	12	621	0	1	1	0
1817	1	1	1	0	4	225	0	1	1	0
1817	2	1	1	0	4	225	0	1	1	1
1833	1	1	1	0	4	225	0	1	1	0
1848	1	1	1	0	18	1143	0	1	1	0
1863	1	1	1	0	18	1143	0	1	1	0
1878	1	1	1	0	18	1143	0	1	1	0
1894	1	1	1	0	20	1335	0	1	1	0
1911	1	1	1	0	20	1335	0	1	1	0
1926	1	1	1	0	20	1335	0	1	1	0
1942	1	1	1	0	14	807	0	1	1	0
1958	1	1	1	0	14	807	0	1	1	0
1974	1	1	1	0	18	1143	0	1	1	0
1990	1	1	1	0	18	1143	0	1	1	0
2005	1	1	1	0	18	1143	0	1	1	0
2020	1	1	1	0	6	325	0	1	1	0
2035	1	1	1	0	6	325	0	1	1	0
2051	1	1	1	0	14	807	0	1	1	0
2067	1	1	1	0	14	807	0	1	1	0
2085	1	1	1	0	14	807	0	1	1	0
2100	1	1	1	0	8	437	0	1	1	0
2116	1	1	1	0	8	437	0	1	1	0
2132	1	1	1	0	24	1692	0	1	1	0
2148	1	1	1	0	24	1692	0	1	1	0
2163	1	1	1	0	24	1692	0	1	1	0
2180	1	1	1	0	12	621	0	1	1	0
2196	1	1	1	0	12	621	0	1	1	0
2212	1	1	1	0	10	549	0	1	1	0
2229	1	1	1	0	10	549	0	1	1	0
2248	1	1	1	0	22	1431	0	1	1	0
2264	1	1	1	0	22	1431	0	1	1	0
2280	1	1	1	0	22	1431	0	1	1	0
2296	1	1	1	0	24	1692	0	1	1	0
2312	1	1	1	0	24	1692	0	1	1	0
2328	1	1	1	0	20	1335	0	1	1	0
2345	1	1	1	0	20	1335	0	1	1	0
2360	1	1	1	0	20	1335	0	1	1	0
2376	1	1	1	0	8	437	0	1	1	0
2392	1	1	1	0	8	437	0	1	1	0
2409	1	1	1	0	10	549	0	1	1	0
2425	1	1	1	0	10	549	0	1	1	0
2442	1	1	1	0	10	549	0	1	1	0
2457	1	1	1	0	18	1143	0	1	1	0
2473	1	1	1	0	18	1143	0	1	1	0
2490	1	1	1	0	8	437	0	1	1	0
2505	1	1	1	0	8	437	0	1	1	0
2521	1	1	1	0	8	437	0	1	1	0
2541	1	1	1	0	18	1143	0	1	1	0
2556	1	1	1	0	18	1143	0	1	1	0
2572	1	1	1	0	22	1431	0	1	1	0
2587	1	1	1	0	22	1431	0	1	1	0
2603	1	1	1	0	22	1431	0	1	1	0
2620	1	1	1	0	20	1335	0	1	1	0
2636	1	1	1	0	20	1335	0	1	1	0
2653	1	1	1	0	14	807	0	1	1	0
2670	1	1	1	0	14	807	0	1	1	0
2685	1	1	1	0	14	807	0	1	1	0
2700	1	1	1	0	18	1143	0	1	1	0
2716	1	1	1	0	18	1143	0	1	1	0
2732	1	1	1	0	26	1908	0	1	1	0
2749	1	1	1	0	26	1908	0	1	1	0
2765	1	1	1	0	26	1908	0	1	1	0
2781	1	1	1	0	14	807	0	1	1	0
2797	1	1	1	0	14	807	0	1	1	0
2813	1	1	1	0	18	1143	0	1	1	0
2829	1	1	1	0	18	1143	0	1	1	0
2845	1	1	1	0	18	1143	0	1	1	0
2861	1	1	1	0	20	1335	0	1	1	0
2878	1	1	1	0	20	1335	0	1	1	0
2893	1	1	1	0	16	967	0	1	1	0
2909	1	1	1	0	16	967	0	1	1	0
2925	1	1	1	0	16	967	0	1	1	0
2941	1	1	1	0	16	967	0	1	1	0
2957	1	1	1	0	16	967	0	1	1	0
2973	1	1	1	0	28	2292	0	1	1	0
2990	1	1	1	0	28	2292	0	1	1	0
3006	1	1	1	0	28	2292	0	1	1	0
3022	1	1	1	0	4	225	0	1	1	0
3022	2	1	1	0	4	225	0	1	1	1
3037	1	1	1	0	4	225	0	1	1	0
3037	2	1	1	0	4	225	0	1	1	1
3053	1	1	1	0	24	1692	0	1	1	0
3068	1	1	1	0	24	1692	0	1	1	0
3076	1	1	1	0	24	1692	0	1	1	0
3092	1	1	1	0	22	1431	0	1	1	0
3108	1	1	1	0	22	1431	0	1	1	0
3124	1	1	1	0	22	1431	0	1	1	0
3140	1	1	1	0	16	967	0	1	1	0
3157	1	1	1	0	16	967	0	1	1	0
3174	1	1	1	0	14	807	0	1	1	0
3190	1	1	1	0	14	807	0	1	1	0
3207	1	1	1	0	20	1335	0	1	1	0
3222	1	1	1	0	20	1335	0	1	1	0
3237	1	1	1	0	20	1335	0	1	1	0
3253	1	1	1	0	26	1908	0	1	1	0
3269	1	1	1	0	26	1908	0	1	1	0
3285	1	1	1	0	26	1908	0	1	1	0
3300	1	1	1	0	18	1143	0	1	1	0
3315	1	1	1	0	18	1143	0	1	1	0
3331	1	1	1	0	8	437	0	1	1	0
3347	1	1	1	0	8	437	0	1	1	0
3363	1	1	1	0	8	437	0	1	1	0
3380	1	1	1	0	18	1143	0	1	1	0
3396	1	1	1	0	18	1143	0	1	1	0
3412	1	1	1	0	28	2292	0	1	1	0
3427	1	1	1	0	28	2292	0	1	1	0
3445	1	1	1	0	28	2292	0	1	1	0
3462	1	1	1	0	28	2292	0	1	1	0
3477	1	1	1	0	28	2292	0	1	1	0
3493	1	1	1	0	22	1431	0	1	1	0
3512	1	1	1	0	22	1431	0	1	1	0
3528	1	1	1	0	24	1692	0	1	1	0
3545	1	1	1	0	24	1692	0	1	1	0
3561	1	1	1	0	24	1692	0	1	1	0
3577	1	1	1	0	22	1431	0	1	1	0
3593	1	1	1	0	22	1431	0	1	1	0
3609	1	1	1	0	28	2292	0	1	1	0
3625	1	1	1	0	28	2292	0	1	0	0
3632	1	1	1	0	28	2292	1	0	1	0
3650	1	1	1	0	16	967	0	1	1	0
3666	1	1	1	0	16	967	0	1	1	0
3681	1	1	1	0	16	967	0	1	1	0
3696	1	1	1	0	22	1431	0	1	1	0
3712	1	1	1	0	22	1431	0	1	1	0
3727	1	1	1	0	24	1692	0	1	1	0
3743	1	1	1	0	24	1692	0	1	1	0
3760	1	1	1	0	24	1692	0	1	1	0
3775	1	1	1	0	20	1335	0	1	1	0
3791	1	1	1	0	20	1335	0	1	1	0
3807	1	1	1	0	18	1143	0	1	1	0
3822	1	1	1	0	18	1143	0	1	1	0
3837	1	1	1	0	18	1143	0	1	1	0
3853	1	1	1	0	28	2292	0	1	1	0
3869	1	1	1	0	28	2292	0	1	1	0
3885	1	1	1	0	28	2292	0	1	1	0
3901	1	1	1	0	12	621	0	1	1	0
3917	1	1	1	0	12	621	0	1	1	0
3939	1	1	1	0	24	1692	0	1	1	0
3955	1	1	1	0	24	1692	0	1	1	0
3970	1	1	1	0	28	2292	0	1	1	0
3985	1	1	1	0	28	2292	0	1	1	0
4002	1	1	1	0	28	2292	0	1	1	0
4017	1	1	1	0	24	1692	0	1	1	0
4033	1	1	1	0	24	1692	0	1	1	0
4048	1	1	1	0	18	1143	0	1	1	0
4066	1	1	1	0	18	1143	0	1	1	0
4081	1	1	1	0	18	1143	0	1	1	0
4098	1	1	1	0	18	1143	0	1	1	0
