% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	28	2292	0	1	0
115	2	1	1	0	28	2292	0	1	1
1130	1	1	1	0	28	2292	0	1	0
1130	2	1	1	0	28	2292	0	1	1
1146	1	1	1	0	28	2292	0	1	0
1146	2	1	1	0	28	2292	0	1	1
1162	1	1	1	0	28	2292	0	1	0
1162	2	1	1	0	28	2292	0	1	1
1178	1	1	1	0	26	1908	0	1	0
1178	2	1	1	0	26	1908	0	1	1
1179	1	1	1	0	26	1908	0	1	0
1179	2	1	1	0	26	1908	0	1	1
1194	1	1	1	0	26	1908	0	1	0
1194	2	1	1	0	26	1908	0	1	1
1195	1	1	1	0	26	1908	0	1	0
1195	2	1	1	0	26	1908	0	1	1
1210	1	1	1	0	12	621	0	1	0
1210	2	1	1	0	12	621	0	1	1
1211	1	1	1	0	12	621	0	1	0
1211	2	1	1	0	12	621	0	1	1
1225	1	1	1	0	12	621	0	1	0
1225	2	1	1	0	12	621	0	1	1
1226	1	1	1	0	12	621	0	1	0
1226	2	1	1	0	12	621	0	1	1
1241	1	1	1	0	12	621	0	1	0
1241	2	1	1	0	12	621	0	1	1
1242	1	1	1	0	12	621	0	1	0
1242	2	1	1	0	12	621	0	1	1
1257	1	1	1	0	28	2292	0	1	0
1257	2	1	1	0	28	2292	0	1	1
1258	1	1	1	0	28	2292	0	1	0
1258	2	1	1	0	28	2292	0	1	1
1272	1	1	1	0	28	2292	0	1	0
1272	2	1	1	0	28	2292	0	1	1
1273	1	1	1	0	28	2292	0	1	0
1273	2	1	1	0	28	2292	0	1	1
1291	1	1	1	0	24	1692	0	1	0
1291	2	1	1	0	24	1692	0	1	1
1307	1	1	1	0	24	1692	0	1	0
1307	2	1	1	0	24	1692	0	1	1
1322	1	1	1	0	24	1692	0	1	0
1322	2	1	1	0	24	1692	0	1	1
1323	1	1	1	0	24	1692	0	1	0
1323	2	1	1	0	24	1692	0	1	1
1337	1	1	1	0	24	1692	0	1	0
1337	2	1	1	0	24	1692	0	1	1
1353	1	1	1	0	24	1692	0	1	0
1353	2	1	1	0	24	1692	0	1	1
1369	1	1	1	0	28	2292	0	1	0
1369	2	1	1	0	28	2292	0	1	1
1370	1	1	1	0	28	2292	0	1	0
1370	2	1	1	0	28	2292	0	1	1
1384	1	1	1	0	28	2292	0	1	0
1384	2	1	1	0	28	2292	0	1	1
1385	1	1	1	0	28	2292	0	1	0
1385	2	1	1	0	28	2292	0	1	1
1399	1	1	1	0	28	2292	0	1	0
1399	2	1	1	0	28	2292	0	1	1
1400	1	1	1	0	28	2292	0	1	0
1400	2	1	1	0	28	2292	0	1	1
1415	1	1	1	0	20	1335	0	1	0
1415	2	1	1	0	20	1335	0	1	1
1416	1	1	1	0	20	1335	0	1	0
1416	2	1	1	0	20	1335	0	1	1
1430	1	1	1	0	20	1335	0	1	0
1430	2	1	1	0	20	1335	0	1	1
1431	1	1	1	0	20	1335	0	1	0
1431	2	1	1	0	20	1335	0	1	1
1432	1	1	1	0	20	1335	0	1	0
1432	2	1	1	0	20	1335	0	1	1
1447	1	1	1	0	2	137	0	1	0
1447	2	1	1	0	2	137	0	1	1
1448	1	1	1	0	2	137	0	1	0
1448	2	1	1	0	2	137	0	1	1
1463	1	1	1	0	2	137	0	1	0
1463	2	1	1	0	2	137	0	1	1
1464	1	1	1	0	2	137	0	1	0
1464	2	1	1	0	2	137	0	1	1
1465	1	1	1	0	2	137	0	1	0
1465	2	1	1	0	2	137	0	1	1
1478	1	1	1	0	2	137	0	1	0
1478	2	1	1	0	2	137	0	1	1
1479	1	1	1	0	2	137	0	1	0
1479	2	1	1	0	2	137	0	1	1
1480	1	1	1	0	2	137	0	1	0
1480	2	1	1	0	2	137	0	1	1
1493	1	1	1	0	14	807	0	1	0
1493	2	1	1	0	14	807	0	1	1
1494	1	1	1	0	14	807	0	1	0
1494	2	1	1	0	14	807	0	1	1
1509	1	1	1	0	14	807	0	1	0
1509	2	1	1	0	14	807	0	1	1
1524	1	1	1	0	14	807	0	1	0
1524	2	1	1	0	14	807	0	1	1
1525	1	1	1	0	14	807	0	1	0
1525	2	1	1	0	14	807	0	1	1
1539	1	1	1	0	18	1143	0	1	0
1539	2	1	1	0	18	1143	0	1	1
1540	1	1	1	0	18	1143	0	1	0
1540	2	1	1	0	18	1143	0	1	1
1541	1	1	1	0	18	1143	0	1	0
1541	2	1	1	0	18	1143	0	1	1
1555	1	1	1	0	18	1143	0	1	0
1555	2	1	1	0	18	1143	0	1	1
1556	1	1	1	0	18	1143	0	1	0
1556	2	1	1	0	18	1143	0	1	1
1570	1	1	1	0	18	1143	0	1	0
1570	2	1	1	0	18	1143	0	1	1
1571	1	1	1	0	18	1143	0	1	0
1571	2	1	1	0	18	1143	0	1	1
1586	1	1	1	0	18	1143	0	1	0
1586	2	1	1	0	18	1143	0	1	1
1587	1	1	1	0	18	1143	0	1	0
1587	2	1	1	0	18	1143	0	1	1
1602	1	1	1	0	18	1143	0	1	0
1602	2	1	1	0	18	1143	0	1	1
1617	1	1	1	0	20	1335	0	1	0
1617	2	1	1	0	20	1335	0	1	1
1618	1	1	1	0	20	1335	0	1	0
1618	2	1	1	0	20	1335	0	1	1
1633	1	1	1	0	20	1335	0	1	0
1633	2	1	1	0	20	1335	0	1	1
1634	1	1	1	0	20	1335	0	1	0
1634	2	1	1	0	20	1335	0	1	1
1650	1	1	1	0	26	1908	0	1	0
1650	2	1	1	0	26	1908	0	1	1
1651	1	1	1	0	26	1908	0	1	0
1651	2	1	1	0	26	1908	0	1	1
1666	1	1	1	0	26	1908	0	1	0
1666	2	1	1	0	26	1908	0	1	1
1667	1	1	1	0	26	1908	0	1	0
1667	2	1	1	0	26	1908	0	1	1
1682	1	1	1	0	26	1908	0	1	0
1682	2	1	1	0	26	1908	0	1	1
1698	1	1	1	0	28	2292	0	1	0
1698	2	1	1	0	28	2292	0	1	1
1714	1	1	1	0	28	2292	0	1	0
1714	2	1	1	0	28	2292	0	1	1
1715	1	1	1	0	28	2292	0	1	0
1715	2	1	1	0	28	2292	0	1	1
1729	1	1	1	0	28	2292	0	1	0
1729	2	1	1	0	28	2292	0	1	1
1730	1	1	1	0	28	2292	0	1	0
1730	2	1	1	0	28	2292	0	1	1
1731	1	1	1	0	28	2292	0	1	0
1731	2	1	1	0	28	2292	0	1	1
1746	1	1	1	0	28	2292	0	1	0
1746	2	1	1	0	28	2292	0	1	1
1747	1	1	1	0	28	2292	0	1	0
1747	2	1	1	0	28	2292	0	1	1
1761	1	1	1	0	28	2292	0	1	0
1761	2	1	1	0	28	2292	0	1	1
1762	1	1	1	0	28	2292	0	1	0
1762	2	1	1	0	28	2292	0	1	1
1763	1	1	1	0	28	2292	0	1	0
1763	2	1	1	0	28	2292	0	1	1
1776	1	1	1	0	28	2292	0	1	0
1776	2	1	1	0	28	2292	0	1	1
1777	1	1	1	0	28	2292	0	1	0
1777	2	1	1	0	28	2292	0	1	1
1791	1	1	1	0	28	2292	0	1	0
1791	2	1	1	0	28	2292	0	1	1
1792	1	1	1	0	28	2292	0	1	0
1792	2	1	1	0	28	2292	0	1	1
1798	1	1	1	0	28	2292	0	0	0
1813	1	1	1	0	4	225	0	1	0
1813	2	1	1	0	4	225	0	1	1
1814	1	1	1	0	4	225	0	1	0
1814	2	1	1	0	4	225	0	1	1
1829	1	1	1	0	4	225	0	1	0
1829	2	1	1	0	4	225	0	1	1
1845	1	1	1	0	4	225	0	1	0
1845	2	1	1	0	4	225	0	1	1
1846	1	1	1	0	4	225	0	1	0
1846	2	1	1	0	4	225	0	1	1
1860	1	1	1	0	28	2292	0	1	0
1860	2	1	1	0	28	2292	0	1	1
1861	1	1	1	0	28	2292	0	1	0
1861	2	1	1	0	28	2292	0	1	1
1862	1	1	1	0	28	2292	0	1	0
1862	2	1	1	0	28	2292	0	1	1
1876	1	1	1	0	28	2292	0	1	0
1876	2	1	1	0	28	2292	0	1	1
1877	1	1	1	0	28	2292	0	1	0
1877	2	1	1	0	28	2292	0	1	1
1891	1	1	1	0	28	2292	0	1	0
1891	2	1	1	0	28	2292	0	1	1
1892	1	1	1	0	28	2292	0	1	0
1892	2	1	1	0	28	2292	0	1	1
1906	1	1	1	0	28	2292	0	1	0
1906	2	1	1	0	28	2292	0	1	1
1907	1	1	1	0	28	2292	0	1	0
1907	2	1	1	0	28	2292	0	1	1
1922	1	1	1	0	28	2292	0	1	0
1922	2	1	1	0	28	2292	0	1	1
1923	1	1	1	0	28	2292	0	1	0
1923	2	1	1	0	28	2292	0	1	1
1938	1	1	1	0	28	2292	0	1	0
1938	2	1	1	0	28	2292	0	1	1
1953	1	1	1	0	28	2292	0	1	0
1953	2	1	1	0	28	2292	0	1	1
1954	1	1	1	0	28	2292	0	1	0
