% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	0	85	0	1	1	0
130	1	1	1	0	10	549	0	1	1	0
146	1	1	1	0	10	549	0	1	1	0
161	1	1	1	0	10	549	0	1	1	0
177	1	1	1	0	18	1143	0	1	1	0
193	1	1	1	0	18	1143	0	1	1	0
208	1	1	1	0	8	437	0	1	1	0
224	1	1	1	0	8	437	0	1	1	0
240	1	1	1	0	8	437	0	1	1	0
256	1	1	1	0	14	807	0	1	1	0
273	1	1	1	0	14	807	0	1	1	0
289	1	1	1	0	12	621	0	1	1	0
305	1	1	1	0	12	621	0	1	1	0
320	1	1	1	0	12	621	0	1	1	0
335	1	1	1	0	6	325	0	1	1	0
351	1	1	1	0	6	325	0	1	1	0
366	1	1	1	0	6	325	0	1	1	0
382	1	1	1	0	14	807	0	1	1	0
398	1	1	1	0	14	807	0	1	1	0
413	1	1	1	0	12	621	0	1	1	0
428	1	1	1	0	12	621	0	1	1	0
443	1	1	1	0	12	621	0	1	1	0
459	1	1	1	0	10	549	0	1	1	0
1177	1	1	1	0	8	437	0	1	1	0
1193	1	1	1	0	8	437	0	1	1	0
1209	1	1	1	0	2	137	0	1	1	0
1226	1	1	1	0	2	137	0	1	1	0
1243	1	1	1	0	2	137	0	1	1	0
1259	1	1	1	0	18	1143	0	1	1	0
1274	1	1	1	0	18	1143	0	1	1	0
1290	1	1	1	0	12	621	0	1	1	0
1307	1	1	1	0	12	621	0	1	1	0
1323	1	1	1	0	12	621	0	1	1	0
1339	1	1	1	0	12	621	0	1	1	0
1355	1	1	1	0	12	621	0	1	1	0
1371	1	1	1	0	10	549	0	1	1	0
1387	1	1	1	0	10	549	0	1	1	0
1402	1	1	1	0	10	549	0	1	1	0
1419	1	1	1	0	18	1143	0	1	1	0
1435	1	1	1	0	18	1143	0	1	1	0
1451	1	1	1	0	6	325	0	1	1	0
1469	1	1	1	0	6	325	0	1	1	0
1487	1	1	1	0	18	1143	0	1	1	0
1504	1	1	1	0	18	1143	0	1	1	0
1520	1	1	1	0	18	1143	0	1	1	0
1536	1	1	1	0	2	137	0	1	1	0
1551	1	1	1	0	2	137	0	1	1	0
1568	1	1	1	0	10	549	0	1	1	0
1584	1	1	1	0	10	549	0	1	1	0
1600	1	1	1	0	10	549	0	1	1	0
1616	1	1	1	0	12	621	0	1	1	0
1631	1	1	1	0	12	621	0	1	1	0
1647	1	1	1	0	12	621	0	1	1	0
1663	1	1	1	0	12	621	0	1	1	0
1679	1	1	1	0	12	621	0	1	1	0
1727	1	1	1	0	0	85	0	1	1	0
1727	2	1	1	0	0	85	0	1	1	1
1743	1	1	1	0	0	85	0	1	1	0
1743	2	1	1	0	0	85	0	1	1	1
1759	1	1	1	0	0	85	0	1	1	0
1759	2	1	1	0	0	85	0	1	1	1
1775	1	1	1	0	14	807	0	1	1	0
1791	1	1	1	0	14	807	0	1	1	0
1807	1	1	1	0	12	621	0	1	1	0
1822	1	1	1	0	12	621	0	1	1	0
1838	1	1	1	0	12	621	0	1	1	0
1854	1	1	1	0	10	549	0	1	1	0
1869	1	1	1	0	10	549	0	1	1	0
1885	1	1	1	0	10	549	0	1	1	0
1902	1	1	1	0	6	325	0	1	1	0
1918	1	1	1	0	6	325	0	1	1	0
1967	1	1	1	0	18	1143	0	1	1	0
1982	1	1	1	0	18	1143	0	1	1	0
1999	1	1	1	0	18	1143	0	1	1	0
2016	1	1	1	0	18	1143	0	1	1	0
2031	1	1	1	0	18	1143	0	1	1	0
2047	1	1	1	0	2	137	0	1	1	0
2047	2	1	1	0	2	137	0	1	1	1
2048	1	1	1	0	2	137	0	1	1	0
2063	1	1	1	0	2	137	0	1	1	0
2063	2	1	1	0	2	137	0	1	1	1
2079	1	1	1	0	2	137	0	1	1	0
2079	2	1	1	0	2	137	0	1	1	1
2167	1	1	1	0	8	437	0	1	1	0
2183	1	1	1	0	8	437	0	1	1	0
2199	1	1	1	0	8	437	0	1	1	0
2214	1	1	1	0	12	621	0	1	1	0
2229	1	1	1	0	12	621	0	1	1	0
2246	1	1	1	0	12	621	0	1	1	0
2262	1	1	1	0	4	225	0	1	1	0
2262	2	1	1	0	4	225	0	1	1	1
2278	1	1	1	0	4	225	0	1	1	0
2278	2	1	1	0	4	225	0	1	1	1
2294	1	1	1	0	6	325	0	1	1	0
2310	1	1	1	0	6	325	0	1	1	0
2326	1	1	1	0	6	325	0	1	1	0
2342	1	1	1	0	2	137	0	1	1	0
2358	1	1	1	0	2	137	0	1	1	0
2374	1	1	1	0	4	225	0	1	1	0
2390	1	1	1	0	4	225	0	1	1	0
2406	1	1	1	0	4	225	0	1	1	0
2422	1	1	1	0	10	549	0	1	1	0
2438	1	1	1	0	10	549	0	1	1	0
2454	1	1	1	0	12	621	0	1	1	0
2470	1	1	1	0	12	621	0	1	1	0
2485	1	1	1	0	12	621	0	1	1	0
2501	1	1	1	0	6	325	0	1	1	0
2517	1	1	1	0	6	325	0	1	1	0
2533	1	1	1	0	6	325	0	1	1	0
2549	1	1	1	0	6	325	0	1	1	0
2564	1	1	1	0	6	325	0	1	1	0
2580	1	1	1	0	14	807	0	1	1	0
2597	1	1	1	0	14	807	0	1	1	0
2613	1	1	1	0	12	621	0	1	1	0
2629	1	1	1	0	12	621	0	1	1	0
2644	1	1	1	0	12	621	0	1	1	0
2660	1	1	1	0	12	621	0	1	1	0
2676	1	1	1	0	12	621	0	1	1	0
2692	1	1	1	0	4	225	0	1	1	0
2708	1	1	1	0	4	225	0	1	1	0
2724	1	1	1	0	4	225	0	1	1	0
2767	1	1	1	0	0	85	0	1	1	0
2767	2	1	1	0	0	85	0	1	1	1
2783	1	1	1	0	0	85	0	1	1	0
2783	2	1	1	0	0	85	0	1	1	1
2799	1	1	1	0	0	85	0	1	1	0
2799	2	1	1	0	0	85	0	1	1	1
2815	1	1	1	0	12	621	0	1	1	0
2830	1	1	1	0	12	621	0	1	1	0
2846	1	1	1	0	12	621	0	1	1	0
2862	1	1	1	0	14	807	0	1	1	0
2878	1	1	1	0	14	807	0	1	1	0
2895	1	1	1	0	4	225	0	1	1	0
2911	1	1	1	0	4	225	0	1	1	0
2926	1	1	1	0	4	225	0	1	1	0
2942	1	1	1	0	4	225	0	1	1	0
2959	1	1	1	0	4	225	0	1	1	0
2975	1	1	1	0	12	621	0	1	1	0
2991	1	1	1	0	12	621	0	1	1	0
3007	1	1	1	0	2	137	0	1	1	0
3007	2	1	1	0	2	137	0	1	1	1
3023	1	1	1	0	2	137	0	1	1	0
3023	2	1	1	0	2	137	0	1	1	1
3039	1	1	1	0	2	137	0	1	1	0
3055	1	1	1	0	18	1143	0	1	1	0
3072	1	1	1	0	18	1143	0	1	1	0
3089	1	1	1	0	14	807	0	1	1	0
3105	1	1	1	0	14	807	0	1	1	0
3120	1	1	1	0	14	807	0	1	1	0
3136	1	1	1	0	4	225	0	1	1	0
3152	1	1	1	0	4	225	0	1	1	0
3152	2	1	1	0	4	225	0	1	1	1
3168	1	1	1	0	6	325	0	1	1	0
3184	1	1	1	0	6	325	0	1	1	0
3200	1	1	1	0	6	325	0	1	1	0
3216	1	1	1	0	6	325	0	1	1	0
3232	1	1	1	0	6	325	0	1	1	0
3248	1	1	1	0	2	137	0	1	1	0
3265	1	1	1	0	2	137	0	1	1	0
3281	1	1	1	0	2	137	0	1	1	0
3297	1	1	1	0	16	967	0	1	1	0
