% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	28	2292	0	1	1	0
116	1	2	2	0	26	1908	0	1	1	0
131	1	1	1	0	28	2292	0	1	1	0
132	1	2	2	0	28	2292	0	1	1	0
147	1	1	1	0	28	2292	0	1	0	0
148	1	2	2	0	28	2292	0	1	1	0
154	1	1	1	0	28	2292	1	0	1	0
164	1	2	2	0	28	2292	0	1	1	0
176	1	1	1	0	22	1431	0	1	1	0
185	1	2	2	0	28	2292	0	1	1	0
192	1	1	1	0	22	1431	0	1	1	0
200	1	2	2	0	28	2292	0	1	1	0
216	1	2	2	0	28	2292	0	1	1	0
232	1	2	2	0	28	2292	0	1	1	0
248	1	2	2	0	26	1908	0	1	1	0
264	1	2	2	0	26	1908	0	1	1	0
280	1	2	2	0	26	1908	0	1	1	0
301	1	2	2	0	28	2292	0	1	1	0
318	1	2	2	0	28	2292	0	1	1	0
334	1	2	2	0	28	2292	0	1	1	0
350	1	2	2	0	28	2292	0	1	1	0
366	1	2	2	0	28	2292	0	1	1	0
382	1	2	2	0	26	1908	0	1	1	0
398	1	2	2	0	26	1908	0	1	1	0
413	1	2	2	0	28	2292	0	1	1	0
429	1	2	2	0	28	2292	0	1	1	0
445	1	2	2	0	28	2292	0	1	1	0
461	1	2	2	0	28	2292	0	1	1	0
477	1	2	2	0	28	2292	0	1	1	0
493	1	2	2	0	22	1431	0	1	1	0
509	1	2	2	0	22	1431	0	1	1	0
526	1	2	2	0	22	1431	0	1	1	0
542	1	2	2	0	28	2292	0	1	1	0
558	1	2	2	0	28	2292	0	1	1	0
574	1	2	2	0	22	1431	0	1	1	0
590	1	2	2	0	22	1431	0	1	1	0
610	1	2	2	0	18	1143	0	1	1	0
629	1	2	2	0	18	1143	0	1	1	0
644	1	2	2	0	18	1143	0	1	1	0
660	1	2	2	0	18	1143	0	1	1	0
676	1	2	2	0	18	1143	0	1	1	0
692	1	2	2	0	28	2292	0	1	1	0
708	1	2	2	0	28	2292	0	1	1	0
724	1	2	2	0	28	2292	0	1	1	0
740	1	2	2	0	28	2292	0	1	1	0
756	1	2	2	0	28	2292	0	1	1	0
773	1	2	2	0	28	2292	0	1	1	0
789	1	2	2	0	28	2292	0	1	0	0
796	1	2	2	0	28	2292	1	0	1	0
812	1	2	2	0	12	621	0	1	1	0
829	1	2	2	0	12	621	0	1	1	0
845	1	2	2	0	12	621	0	1	1	0
861	1	2	2	0	24	1692	0	1	1	0
877	1	2	2	0	24	1692	0	1	1	0
893	1	2	2	0	22	1431	0	1	1	0
