% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	14	389	0	1	1	0
115	1	2	2	0	8	209	0	1	1	0
132	1	2	2	0	12	621	0	1	1	0
137	1	1	1	0	0	85	0	1	1	0
137	2	1	1	0	0	85	0	1	1	1
151	1	2	2	0	12	621	0	1	1	0
161	1	1	1	0	0	85	0	1	1	0
181	1	1	1	0	14	807	0	1	1	0
197	1	1	1	0	14	807	0	1	1	0
213	1	1	1	0	6	325	0	1	1	0
229	1	1	1	0	6	325	0	1	1	0
245	1	1	1	0	6	325	0	1	1	0
266	1	1	1	0	8	437	0	1	1	0
285	1	1	1	0	8	437	0	1	1	0
301	1	1	1	0	6	325	0	1	1	0
317	1	1	1	0	6	325	0	1	1	0
333	1	1	1	0	2	137	0	1	1	0
348	1	1	1	0	2	137	0	1	1	0
364	1	1	1	0	2	137	0	1	1	0
380	1	1	1	0	14	807	0	1	1	0
397	1	1	1	0	14	807	0	1	1	0
414	1	1	1	0	6	325	0	1	1	0
435	1	1	1	0	6	325	0	1	1	0
452	1	1	1	0	4	225	0	1	1	0
468	1	1	1	0	4	225	0	1	1	0
484	1	1	1	0	4	225	0	1	1	0
500	1	1	1	0	14	807	0	1	1	0
517	1	1	1	0	14	807	0	1	1	0
540	1	1	1	0	18	1143	0	1	1	0
566	1	1	1	0	18	1143	0	1	1	0
582	1	1	1	0	14	807	0	1	1	0
598	1	1	1	0	14	807	0	1	1	0
615	1	1	1	0	4	225	0	1	1	0
633	1	1	1	0	4	225	0	1	1	0
654	1	1	1	0	18	1143	0	1	1	0
1230	1	1	1	0	8	437	0	1	1	0
1249	1	1	1	0	18	1143	0	1	1	0
1476	1	1	1	0	6	325	0	1	1	0
1492	1	1	1	0	4	225	0	1	1	0
1508	1	1	1	0	4	225	0	1	1	0
1524	1	1	1	0	4	225	0	1	1	0
1540	1	1	1	0	8	437	0	1	1	0
1558	1	1	1	0	8	437	0	1	1	0
1580	1	1	1	0	6	325	0	1	1	0
2796	1	1	1	0	4	225	0	1	1	0
2818	1	1	1	0	14	807	0	1	1	0
3155	1	2	2	0	0	85	0	1	1	0
4037	1	1	1	0	12	621	0	1	1	0
4054	1	1	1	0	8	437	0	1	1	0
4074	1	1	1	0	8	437	0	1	1	0
4175	1	2	2	0	2	137	0	1	1	0
4191	1	2	2	0	2	137	0	1	1	0
4207	1	2	2	0	2	137	0	1	1	0
4225	1	2	2	0	6	325	0	1	1	0
4252	1	2	2	0	20	1335	0	1	1	0
4274	1	2	2	0	20	1335	0	1	1	0
5269	1	2	2	0	14	807	0	1	1	0
5285	1	2	2	0	14	807	0	1	1	0
5296	1	1	1	0	2	137	0	1	1	0
5302	1	2	2	0	8	437	0	1	1	0
5315	1	1	1	0	2	137	0	1	1	0
5324	1	2	2	0	8	437	0	1	1	0
5345	1	2	2	0	2	137	0	1	1	0
5360	1	2	2	0	2	137	0	1	1	0
5376	1	2	2	0	4	225	0	1	1	0
5392	1	2	2	0	4	225	0	1	1	0
5408	1	2	2	0	6	325	0	1	1	0
5424	1	2	2	0	6	325	0	1	1	0
5446	1	2	2	0	6	325	0	1	1	0
5567	1	1	1	0	10	549	0	1	1	0
5647	1	2	2	0	18	1143	0	1	1	0
5667	1	2	2	0	14	807	0	1	1	0
6782	1	1	1	0	14	807	0	1	1	0
7008	1	1	1	0	12	621	0	1	1	0
7032	1	1	1	0	12	621	0	1	1	0
8026	1	1	1	0	10	549	0	1	1	0
8050	1	1	1	0	12	621	0	1	1	0
8069	1	1	1	0	12	621	0	1	1	0
8087	1	1	1	0	2	137	0	1	1	0
8104	1	1	1	0	2	137	0	1	1	0
8120	1	1	1	0	2	137	0	1	1	0
8136	1	1	1	0	10	549	0	1	1	0
8154	1	1	1	0	10	549	0	1	1	0
8176	1	1	1	0	4	225	0	1	1	0
8377	1	1	1	0	8	437	0	1	1	0
8688	1	2	2	0	8	437	0	1	1	0
9595	1	1	1	0	12	621	0	1	1	0
9628	1	1	1	0	10	549	0	1	1	0
