% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	2	1	0	28	2292	0	1	1	0
123	1	1	2	0	28	2292	0	1	1	0
130	1	2	1	0	28	2292	0	1	1	0
146	1	2	1	0	28	2292	0	1	1	0
161	1	2	1	0	28	2292	0	1	0	0
168	1	2	1	0	28	2292	1	0	1	0
183	1	2	1	0	14	807	0	1	1	0
198	1	2	1	0	14	807	0	1	1	0
214	1	2	1	0	28	2292	0	1	1	0
230	1	2	1	0	28	2292	0	1	1	0
246	1	2	1	0	28	2292	0	1	1	0
254	1	2	1	0	28	2292	0	1	1	0
263	1	2	1	0	28	2292	0	1	1	0
278	1	2	1	0	28	2292	0	1	1	0
294	1	2	1	0	28	2292	0	1	1	0
310	1	2	1	0	28	2292	0	1	1	0
326	1	2	1	0	28	2292	0	1	1	0
342	1	2	1	0	28	2292	0	1	1	0
357	1	2	1	0	28	2292	0	1	1	0
373	1	2	1	0	28	2292	0	1	1	0
389	1	2	1	0	28	2292	0	1	1	0
404	1	2	1	0	28	2292	0	1	1	0
419	1	2	1	0	8	437	0	1	1	0
435	1	2	1	0	8	437	0	1	1	0
450	1	2	1	0	28	2292	0	1	1	0
474	1	2	1	0	28	2292	0	1	1	0
489	1	2	1	0	28	2292	0	1	1	0
505	1	2	1	0	28	2292	0	1	0	0
512	1	2	1	0	28	2292	1	0	1	0
527	1	2	1	0	24	1692	0	1	1	0
543	1	2	1	0	24	1692	0	1	1	0
1183	1	2	1	0	8	437	0	1	1	0
1199	1	2	1	0	8	437	0	1	1	0
1214	1	2	1	0	28	2292	0	1	1	0
1230	1	2	1	0	28	2292	0	1	1	0
1247	1	2	1	0	28	2292	0	1	1	0
1263	1	2	1	0	28	2292	0	1	1	0
1279	1	2	1	0	28	2292	0	1	1	0
1295	1	2	1	0	16	967	0	1	1	0
1310	1	2	1	0	16	967	0	1	1	0
1326	1	2	1	0	16	967	0	1	1	0
1342	1	2	1	0	28	2292	0	1	1	0
1358	1	2	1	0	28	2292	0	1	1	0
1374	1	2	1	0	28	2292	0	1	1	0
1390	1	2	1	0	28	2292	0	1	1	0
1406	1	2	1	0	28	2292	0	1	1	0
1421	1	2	1	0	28	2292	0	1	1	0
1437	1	2	1	0	28	2292	0	1	1	0
1453	1	2	1	0	28	2292	0	1	1	0
1468	1	2	1	0	28	2292	0	1	1	0
1483	1	2	1	0	28	2292	0	1	1	0
1499	1	2	1	0	28	2292	0	1	1	0
1514	1	2	1	0	28	2292	0	1	1	0
1530	1	2	1	0	26	1908	0	1	1	0
1546	1	2	1	0	26	1908	0	1	1	0
