% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	18	225	0
0.109	1	5	11	10	2	20	269	0
0.109	1	4	11	10	3	24	333	0
0.109	1	3	11	10	4	26	373	0
0.109	1	2	11	10	6	20	269	0
0.109	1	1	11	10	1	18	225	1
0.109	1	5	11	10	2	20	269	1
0.109	1	4	11	10	3	24	333	1
0.109	1	3	11	10	4	26	373	1
0.109	1	2	11	10	6	20	269	1
0.125	1	1	13	6	1	2	137	0
0.125	1	1	13	6	1	2	137	1
0.127	1	1	13	8	1	2	137	0
0.127	1	1	13	8	1	2	137	1
0.128	1	1	13	9	1	2	137	0
0.128	1	1	13	9	1	2	137	1
0.132	1	4	14	3	3	8	437	0
0.132	1	4	14	3	3	8	437	1
0.141	1	1	15	2	1	2	137	0
0.141	1	1	15	2	1	2	137	1
0.142	1	1	15	3	1	2	137	0
0.142	1	1	15	3	1	2	137	1
0.143	1	1	15	4	1	2	137	0
0.143	1	1	15	4	1	2	137	1
0.144	1	1	15	5	1	2	137	0
0.144	1	1	15	5	1	2	137	1
0.157	1	1	16	8	1	2	137	0
0.157	1	1	16	8	1	2	137	1
0.158	1	1	16	9	1	2	137	0
0.158	1	1	16	9	1	2	137	1
0.159	1	1	16	10	1	2	137	0
0.159	1	1	16	10	1	2	137	1
0.16	1	1	17	1	1	2	137	0
0.16	1	1	17	1	1	2	137	1
0.241	1	1	25	2	1	6	325	0
0.241	1	1	25	2	1	6	325	1
0.257	1	1	26	8	1	6	325	0
0.257	1	1	26	8	1	6	325	1
0.258	1	1	26	9	1	6	325	0
0.258	1	1	26	9	1	6	325	1
0.259	1	1	26	10	1	6	325	0
0.259	1	1	26	10	1	6	325	1
0.261	1	1	27	2	1	6	325	0
0.261	1	1	27	2	1	6	325	1
0.262	1	1	27	3	1	6	325	0
0.262	1	1	27	3	1	6	325	1
0.334	1	4	34	5	3	2	137	0
0.334	1	4	34	5	3	2	137	1
0.349	1	4	35	10	3	2	137	0
0.349	1	4	35	10	3	2	137	1
0.35	1	4	36	1	3	2	137	0
0.35	1	4	36	1	3	2	137	1
0.364	1	4	37	5	3	6	325	0
0.364	1	4	37	5	3	6	325	1
0.365	1	4	37	6	3	6	325	0
0.365	1	4	37	6	3	6	325	1
0.379	1	4	38	10	3	6	325	0
0.379	1	4	38	10	3	6	325	1
0.38	1	4	39	1	3	6	325	0
0.38	1	4	39	1	3	6	325	1
0.381	1	4	39	2	3	6	325	0
0.381	1	4	39	2	3	6	325	1
0.396	1	4	40	7	3	6	325	0
0.396	1	4	40	7	3	6	325	1
