% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	20	1335	0	1	1	0
130	1	1	1	0	12	621	0	1	1	0
146	1	1	1	0	12	621	0	1	1	0
161	1	1	1	0	12	621	0	1	1	0
177	1	1	1	0	12	621	0	1	1	0
194	1	1	1	0	12	621	0	1	1	0
214	1	1	1	0	28	2292	0	1	1	0
230	1	1	1	0	28	2292	0	1	1	0
245	1	1	1	0	28	2292	0	1	1	0
260	1	1	1	0	28	2292	0	1	1	0
275	1	1	1	0	28	2292	0	1	1	0
291	1	1	1	0	20	1335	0	1	1	0
307	1	1	1	0	20	1335	0	1	1	0
323	1	1	1	0	20	1335	0	1	1	0
338	1	1	1	0	26	1908	0	1	1	0
355	1	1	1	0	26	1908	0	1	1	0
371	1	1	1	0	20	1335	0	1	1	0
387	1	1	1	0	20	1335	0	1	1	0
404	1	1	1	0	20	1335	0	1	1	0
420	1	1	1	0	22	1431	0	1	1	0
435	1	1	1	0	22	1431	0	1	1	0
451	1	1	1	0	16	967	0	1	1	0
466	1	1	1	0	16	967	0	1	1	0
1177	1	1	1	0	18	1143	0	1	1	0
1192	1	1	1	0	18	1143	0	1	1	0
1208	1	1	1	0	14	807	0	1	1	0
1224	1	1	1	0	14	807	0	1	1	0
1241	1	1	1	0	14	807	0	1	1	0
1256	1	1	1	0	16	967	0	1	1	0
1271	1	1	1	0	16	967	0	1	1	0
1287	1	1	1	0	22	1431	0	1	1	0
1304	1	1	1	0	22	1431	0	1	1	0
1320	1	1	1	0	22	1431	0	1	1	0
1336	1	1	1	0	8	437	0	1	1	0
1352	1	1	1	0	8	437	0	1	1	0
1369	1	1	1	0	24	1692	0	1	1	0
1391	1	1	1	0	24	1692	0	1	1	0
1407	1	1	1	0	20	1335	0	1	1	0
1423	1	1	1	0	20	1335	0	1	1	0
1438	1	1	1	0	20	1335	0	1	1	0
1454	1	1	1	0	22	1431	0	1	1	0
1469	1	1	1	0	22	1431	0	1	1	0
