% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	28	2292	0	1	1	0
130	1	1	1	0	28	2292	0	1	1	0
146	1	1	1	0	28	2292	0	1	1	0
161	1	1	1	0	28	2292	0	1	1	0
177	1	1	1	0	28	2292	0	1	1	0
192	1	1	1	0	28	2292	0	1	1	0
207	1	1	1	0	14	807	0	1	1	0
223	1	1	1	0	14	807	0	1	1	0
238	1	1	1	0	14	807	0	1	1	0
254	1	1	1	0	28	2292	0	1	1	0
270	1	1	1	0	28	2292	0	1	1	0
286	1	1	1	0	28	2292	0	1	1	0
301	1	1	1	0	28	2292	0	1	1	0
317	1	1	1	0	28	2292	0	1	1	0
333	1	1	1	0	24	1692	0	1	1	0
348	1	1	1	0	24	1692	0	1	1	0
365	1	1	1	0	24	1692	0	1	1	0
381	1	1	1	0	28	2292	0	1	1	0
397	1	1	1	0	28	2292	0	1	1	0
413	1	1	1	0	28	2292	0	1	1	0
429	1	1	1	0	28	2292	0	1	1	0
444	1	1	1	0	28	2292	0	1	1	0
459	1	1	1	0	28	2292	0	1	1	0
1176	1	1	1	0	16	967	0	1	1	0
1191	1	1	1	0	16	967	0	1	1	0
1206	1	1	1	0	16	967	0	1	1	0
1222	1	1	1	0	16	967	0	1	1	0
1238	1	1	1	0	16	967	0	1	1	0
1253	1	1	1	0	28	2292	0	1	1	0
1269	1	1	1	0	28	2292	0	1	1	0
1286	1	1	1	0	28	2292	0	1	1	0
1302	1	1	1	0	28	2292	0	1	1	0
1318	1	1	1	0	28	2292	0	1	1	0
1333	1	1	1	0	26	1908	0	1	1	0
1349	1	1	1	0	26	1908	0	1	1	0
1365	1	1	1	0	26	1908	0	1	1	0
1381	1	1	1	0	28	2292	0	1	1	0
1396	1	1	1	0	28	2292	0	1	1	0
1412	1	1	1	0	28	2292	0	1	1	0
1428	1	1	1	0	28	2292	0	1	1	0
1444	1	1	1	0	28	2292	0	1	1	0
1459	1	1	1	0	28	2292	0	1	1	0
1475	1	1	1	0	28	2292	0	1	1	0
1490	1	1	1	0	28	2292	0	1	1	0
1505	1	1	1	0	28	2292	0	1	1	0
1521	1	1	1	0	28	2292	0	1	1	0
1537	1	1	1	0	28	2292	0	1	1	0
1552	1	1	1	0	28	2292	0	1	1	0
1567	1	1	1	0	28	2292	0	1	1	0
1583	1	1	1	0	28	2292	0	1	1	0
1598	1	1	1	0	28	2292	0	1	1	0
1614	1	1	1	0	26	1908	0	1	1	0
1630	1	1	1	0	26	1908	0	1	1	0
1646	1	1	1	0	26	1908	0	1	1	0
1662	1	1	1	0	20	1335	0	1	1	0
1677	1	1	1	0	20	1335	0	1	1	0
1692	1	1	1	0	26	1908	0	1	1	0
1708	1	1	1	0	26	1908	0	1	1	0
1730	1	1	1	0	18	1143	0	1	1	0
1746	1	1	1	0	18	1143	0	1	1	0
1762	1	1	1	0	18	1143	0	1	1	0
1778	1	1	1	0	18	1143	0	1	1	0
1794	1	1	1	0	18	1143	0	1	1	0
1810	1	1	1	0	28	2292	0	1	1	0
1826	1	1	1	0	28	2292	0	1	1	0
1842	1	1	1	0	28	2292	0	1	1	0
1857	1	1	1	0	24	1692	0	1	1	0
1873	1	1	1	0	24	1692	0	1	1	0
1889	1	1	1	0	28	2292	0	1	1	0
1905	1	1	1	0	28	2292	0	1	1	0
1921	1	1	1	0	28	2292	0	1	1	0
1936	1	1	1	0	24	1692	0	1	1	0
1951	1	1	1	0	24	1692	0	1	1	0
1966	1	1	1	0	24	1692	0	1	1	0
1981	1	1	1	0	28	2292	0	1	1	0
1997	1	1	1	0	28	2292	0	1	1	0
2013	1	1	1	0	28	2292	0	1	1	0
2028	1	1	1	0	28	2292	0	1	0	0
2035	1	1	1	0	28	2292	1	0	1	0
2050	1	1	1	0	14	807	0	1	1	0
2065	1	1	1	0	14	807	0	1	1	0
2081	1	1	1	0	14	807	0	1	1	0
2097	1	1	1	0	22	1431	0	1	1	0
2112	1	1	1	0	22	1431	0	1	1	0
2128	1	1	1	0	20	1335	0	1	1	0
2144	1	1	1	0	20	1335	0	1	1	0
2159	1	1	1	0	20	1335	0	1	1	0
2175	1	1	1	0	20	1335	0	1	1	0
2191	1	1	1	0	20	1335	0	1	1	0
2207	1	1	1	0	24	1692	0	1	1	0
2222	1	1	1	0	24	1692	0	1	1	0
2238	1	1	1	0	24	1692	0	1	1	0
2253	1	1	1	0	28	2292	0	1	1	0
2268	1	1	1	0	28	2292	0	1	1	0
2284	1	1	1	0	28	2292	0	1	1	0
2300	1	1	1	0	28	2292	0	1	1	0
2316	1	1	1	0	28	2292	0	1	1	0
2331	1	1	1	0	28	2292	0	1	1	0
2346	1	1	1	0	28	2292	0	1	1	0
2362	1	1	1	0	28	2292	0	1	1	0
2377	1	1	1	0	28	2292	0	1	1	0
2392	1	1	1	0	28	2292	0	1	1	0
2408	1	1	1	0	28	2292	0	1	1	0
2430	1	1	1	0	28	2292	0	1	1	0
2446	1	1	1	0	28	2292	0	1	0	0
2453	1	1	1	0	28	2292	1	0	1	0
2469	1	1	1	0	20	1335	0	1	1	0
2485	1	1	1	0	20	1335	0	1	1	0
2501	1	1	1	0	24	1692	0	1	1	0
2517	1	1	1	0	24	1692	0	1	1	0
2532	1	1	1	0	20	1335	0	1	1	0
2548	1	1	1	0	20	1335	0	1	1	0
2563	1	1	1	0	20	1335	0	1	1	0
2578	1	1	1	0	22	1431	0	1	1	0
2594	1	1	1	0	22	1431	0	1	1	0
2610	1	1	1	0	28	2292	0	1	1	0
2625	1	1	1	0	28	2292	0	1	1	0
2641	1	1	1	0	28	2292	0	1	1	0
2657	1	1	1	0	24	1692	0	1	1	0
2672	1	1	1	0	24	1692	0	1	1	0
2687	1	1	1	0	28	2292	0	1	1	0
2703	1	1	1	0	28	2292	0	1	1	0
2718	1	1	1	0	28	2292	0	1	1	0
2734	1	1	1	0	18	1143	0	1	1	0
2750	1	1	1	0	18	1143	0	1	1	0
2765	1	1	1	0	18	1143	0	1	1	0
2781	1	1	1	0	28	2292	0	1	1	0
2796	1	1	1	0	28	2292	0	1	1	0
2811	1	1	1	0	28	2292	0	1	1	0
2827	1	1	1	0	28	2292	0	1	1	0
2843	1	1	1	0	28	2292	0	1	1	0
2858	1	1	1	0	20	1335	0	1	1	0
2874	1	1	1	0	20	1335	0	1	1	0
2890	1	1	1	0	28	2292	0	1	1	0
2905	1	1	1	0	28	2292	0	1	1	0
2921	1	1	1	0	28	2292	0	1	1	0
2937	1	1	1	0	24	1692	0	1	1	0
2952	1	1	1	0	24	1692	0	1	1	0
2967	1	1	1	0	18	1143	0	1	1	0
2983	1	1	1	0	18	1143	0	1	1	0
2998	1	1	1	0	18	1143	0	1	1	0
3013	1	1	1	0	18	1143	0	1	1	0
3029	1	1	1	0	18	1143	0	1	1	0
3044	1	1	1	0	18	1143	0	1	1	0
3059	1	1	1	0	14	807	0	1	1	0
