% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	24	1692	0
0.109	1	1	11	10	1	24	1692	1
0.124	1	1	13	5	1	16	967	0
0.124	1	1	13	5	1	16	967	1
0.125	1	1	13	6	1	16	967	0
0.125	1	1	13	6	1	16	967	1
0.126	1	1	13	7	1	16	967	0
0.126	1	1	13	7	1	16	967	1
0.14	1	1	15	1	1	16	967	0
0.14	1	1	15	1	1	16	967	1
0.141	1	1	15	2	1	16	967	0
0.141	1	1	15	2	1	16	967	1
0.142	1	1	15	3	1	16	967	0
0.142	1	1	15	3	1	16	967	1
0.155	1	1	16	6	1	16	967	0
0.155	1	1	16	6	1	16	967	1
0.156	1	1	16	7	1	16	967	0
0.156	1	1	16	7	1	16	967	1
0.157	1	1	16	8	1	16	967	0
0.157	1	1	16	8	1	16	967	1
0.158	1	1	16	9	1	16	967	0
0.158	1	1	16	9	1	16	967	1
0.171	1	1	18	2	1	14	807	0
0.171	1	1	18	2	1	14	807	1
0.172	1	1	18	3	1	14	807	0
0.172	1	1	18	3	1	14	807	1
0.173	1	1	18	4	1	14	807	0
0.173	1	1	18	4	1	14	807	1
0.186	1	1	19	7	1	14	807	0
0.186	1	1	19	7	1	14	807	1
0.187	1	1	19	8	1	14	807	0
0.187	1	1	19	8	1	14	807	1
0.188	1	1	19	9	1	14	807	0
0.188	1	1	19	9	1	14	807	1
0.201	1	1	21	2	1	24	1692	0
0.201	1	1	21	2	1	24	1692	1
0.202	1	1	21	3	1	24	1692	0
0.202	1	1	21	3	1	24	1692	1
0.203	1	1	21	4	1	24	1692	0
0.203	1	1	21	4	1	24	1692	1
0.217	1	1	22	8	1	24	1692	0
0.217	1	1	22	8	1	24	1692	1
0.218	1	1	22	9	1	24	1692	0
0.218	1	1	22	9	1	24	1692	1
0.219	1	1	22	10	1	24	1692	0
0.219	1	1	22	10	1	24	1692	1
0.232	1	1	24	3	1	24	1692	0
0.232	1	1	24	3	1	24	1692	1
0.233	1	1	24	4	1	24	1692	0
0.233	1	1	24	4	1	24	1692	1
0.234	1	1	24	5	1	24	1692	0
0.234	1	1	24	5	1	24	1692	1
0.248	1	1	25	9	1	20	1335	0
0.248	1	1	25	9	1	20	1335	1
0.249	1	1	25	10	1	20	1335	0
0.249	1	1	25	10	1	20	1335	1
0.25	1	1	26	1	1	20	1335	0
0.25	1	1	26	1	1	20	1335	1
0.264	1	1	27	5	1	20	1335	0
0.264	1	1	27	5	1	20	1335	1
0.265	1	1	27	6	1	20	1335	0
0.265	1	1	27	6	1	20	1335	1
0.266	1	1	27	7	1	20	1335	0
0.266	1	1	27	7	1	20	1335	1
0.279	1	1	28	10	1	20	1335	0
0.279	1	1	28	10	1	20	1335	1
0.28	1	1	29	1	1	20	1335	0
0.28	1	1	29	1	1	20	1335	1
0.281	1	1	29	2	1	20	1335	0
0.281	1	1	29	2	1	20	1335	1
0.295	1	1	30	6	1	20	1335	0
0.295	1	1	30	6	1	20	1335	1
0.296	1	1	30	7	1	20	1335	0
0.296	1	1	30	7	1	20	1335	1
0.31	1	1	32	1	1	20	1335	0
0.31	1	1	32	1	1	20	1335	1
0.311	1	1	32	2	1	20	1335	0
0.311	1	1	32	2	1	20	1335	1
0.312	1	1	32	3	1	20	1335	0
0.312	1	1	32	3	1	20	1335	1
0.326	1	1	33	7	1	20	1335	0
0.326	1	1	33	7	1	20	1335	1
0.327	1	1	33	8	1	20	1335	0
0.327	1	1	33	8	1	20	1335	1
0.328	1	1	33	9	1	20	1335	0
0.328	1	1	33	9	1	20	1335	1
0.341	1	1	35	2	1	20	1335	0
0.341	1	1	35	2	1	20	1335	1
0.342	1	1	35	3	1	20	1335	0
0.342	1	1	35	3	1	20	1335	1
0.343	1	1	35	4	1	20	1335	0
0.343	1	1	35	4	1	20	1335	1
0.357	1	1	36	8	1	20	1335	0
0.357	1	1	36	8	1	20	1335	1
0.358	1	1	36	9	1	20	1335	0
0.358	1	1	36	9	1	20	1335	1
0.372	1	1	38	3	1	28	2292	0
0.372	1	1	38	3	1	28	2292	1
0.373	1	1	38	4	1	28	2292	0
0.373	1	1	38	4	1	28	2292	1
0.374	1	1	38	5	1	28	2292	0
0.374	1	1	38	5	1	28	2292	1
0.388	1	1	39	9	1	28	2292	0
0.388	1	1	39	9	1	28	2292	1
0.389	1	1	39	10	1	28	2292	0
0.389	1	1	39	10	1	28	2292	1
0.39	1	1	40	1	1	28	2292	0
0.39	1	1	40	1	1	28	2292	1
0.404	1	1	41	5	1	22	1431	0
0.404	1	1	41	5	1	22	1431	1
0.405	1	1	41	6	1	22	1431	0
0.405	1	1	41	6	1	22	1431	1
0.42	1	1	43	1	1	22	1431	0
0.42	1	1	43	1	1	22	1431	1
0.421	1	1	43	2	1	22	1431	0
0.421	1	1	43	2	1	22	1431	1
0.435	1	1	44	6	1	22	1431	0
0.435	1	1	44	6	1	22	1431	1
0.436	1	1	44	7	1	22	1431	0
0.436	1	1	44	7	1	22	1431	1
0.451	1	1	46	2	1	16	967	0
0.451	1	1	46	2	1	16	967	1
1.17	1	1	118	1	1	20	1335	0
1.17	1	1	118	1	1	20	1335	1
1.186	1	1	119	7	1	20	1335	0
1.186	1	1	119	7	1	20	1335	1
1.201	1	1	121	2	1	22	1431	0
1.201	1	1	121	2	1	22	1431	1
1.217	1	1	122	8	1	22	1431	0
1.217	1	1	122	8	1	22	1431	1
