% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	28	2292	0
0.109	1	1	11	10	1	28	2292	1
0.126	1	1	13	7	1	26	1908	0
0.126	1	1	13	7	1	26	1908	1
0.129	1	1	13	10	1	26	1908	0
0.129	1	1	13	10	1	26	1908	1
0.133	1	1	14	4	1	26	1908	0
0.133	1	1	14	4	1	26	1908	1
1.341	1	1	135	2	1	28	2292	0
1.341	1	1	135	2	1	28	2292	1
1.357	1	1	136	8	1	28	2292	0
1.357	1	1	136	8	1	28	2292	1
1.373	1	1	138	4	1	28	2292	0
1.373	1	1	138	4	1	28	2292	1
1.389	1	1	139	10	1	28	2292	0
1.389	1	1	139	10	1	28	2292	1
1.404	1	1	141	5	1	10	549	0
1.404	1	1	141	5	1	10	549	1
1.405	1	1	141	6	1	10	549	0
1.405	1	1	141	6	1	10	549	1
1.406	1	1	141	7	1	10	549	0
1.406	1	1	141	7	1	10	549	1
1.419	1	1	142	10	1	10	549	0
1.419	1	1	142	10	1	10	549	1
1.42	1	1	143	1	1	10	549	0
1.42	1	1	143	1	1	10	549	1
1.421	1	1	143	2	1	10	549	0
1.421	1	1	143	2	1	10	549	1
1.434	1	1	144	5	1	10	549	0
1.434	1	1	144	5	1	10	549	1
1.435	1	1	144	6	1	10	549	0
1.435	1	1	144	6	1	10	549	1
1.436	1	1	144	7	1	10	549	0
1.436	1	1	144	7	1	10	549	1
1.437	1	1	144	8	1	10	549	0
1.437	1	1	144	8	1	10	549	1
1.45	1	1	146	1	1	22	1431	0
1.45	1	1	146	1	1	22	1431	1
1.451	1	1	146	2	1	22	1431	0
1.451	1	1	146	2	1	22	1431	1
1.466	1	1	147	7	1	22	1431	0
1.466	1	1	147	7	1	22	1431	1
1.467	1	1	147	8	1	22	1431	0
1.467	1	1	147	8	1	22	1431	1
1.468	1	1	147	9	1	22	1431	0
1.468	1	1	147	9	1	22	1431	1
1.483	1	1	149	4	1	22	1431	0
1.483	1	1	149	4	1	22	1431	1
1.484	1	1	149	5	1	22	1431	0
1.484	1	1	149	5	1	22	1431	1
1.499	1	1	150	10	1	22	1431	0
1.499	1	1	150	10	1	22	1431	1
1.515	1	1	152	6	1	22	1431	0
1.515	1	1	152	6	1	22	1431	1
1.516	1	1	152	7	1	22	1431	0
1.516	1	1	152	7	1	22	1431	1
1.531	1	1	154	2	1	28	2292	0
1.531	1	1	154	2	1	28	2292	1
1.546	1	1	155	7	1	28	2292	0
1.546	1	1	155	7	1	28	2292	1
1.547	1	1	155	8	1	28	2292	0
1.547	1	1	155	8	1	28	2292	1
1.553	1	1	156	4	1	28	2292	0
1.569	1	1	157	10	1	6	325	0
1.569	1	1	157	10	1	6	325	1
1.585	1	1	159	6	1	6	325	0
1.585	1	1	159	6	1	6	325	1
1.601	1	1	161	2	1	2	137	0
1.601	1	1	161	2	1	2	137	1
1.602	1	1	161	3	1	2	137	0
1.602	1	1	161	3	1	2	137	1
1.621	1	1	163	2	1	2	137	0
1.621	1	1	163	2	1	2	137	1
1.622	1	1	163	3	1	2	137	0
1.622	1	1	163	3	1	2	137	1
1.636	1	1	164	7	1	2	137	0
1.636	1	1	164	7	1	2	137	1
1.637	1	1	164	8	1	2	137	0
1.637	1	1	164	8	1	2	137	1
1.652	1	1	166	3	1	26	1908	0
1.652	1	1	166	3	1	26	1908	1
1.653	1	1	166	4	1	26	1908	0
1.653	1	1	166	4	1	26	1908	1
1.667	1	1	167	8	1	26	1908	0
1.667	1	1	167	8	1	26	1908	1
1.668	1	1	167	9	1	26	1908	0
1.668	1	1	167	9	1	26	1908	1
1.683	1	1	169	4	1	22	1431	0
1.683	1	1	169	4	1	22	1431	1
1.698	1	1	170	9	1	22	1431	0
1.698	1	1	170	9	1	22	1431	1
1.699	1	1	170	10	1	22	1431	0
1.699	1	1	170	10	1	22	1431	1
1.713	1	1	172	4	1	22	1431	0
1.713	1	1	172	4	1	22	1431	1
1.714	1	1	172	5	1	22	1431	0
1.714	1	1	172	5	1	22	1431	1
1.728	1	1	173	9	1	14	807	0
1.728	1	1	173	9	1	14	807	1
1.729	1	1	173	10	1	14	807	0
1.729	1	1	173	10	1	14	807	1
1.743	1	1	175	4	1	14	807	0
1.743	1	1	175	4	1	14	807	1
1.744	1	1	175	5	1	14	807	0
1.744	1	1	175	5	1	14	807	1
1.758	1	1	176	9	1	14	807	0
1.758	1	1	176	9	1	14	807	1
1.759	1	1	176	10	1	14	807	0
1.759	1	1	176	10	1	14	807	1
1.773	1	1	178	4	1	24	1692	0
1.773	1	1	178	4	1	24	1692	1
1.774	1	1	178	5	1	24	1692	0
1.774	1	1	178	5	1	24	1692	1
1.788	1	1	179	9	1	24	1692	0
1.788	1	1	179	9	1	24	1692	1
1.804	1	1	181	5	1	28	2292	0
1.804	1	1	181	5	1	28	2292	1
1.82	1	1	183	1	1	28	2292	0
1.82	1	1	183	1	1	28	2292	1
1.835	1	1	184	6	1	28	2292	0
1.835	1	1	184	6	1	28	2292	1
1.851	1	1	186	2	1	22	1431	0
1.851	1	1	186	2	1	22	1431	1
1.867	1	1	187	8	1	22	1431	0
1.867	1	1	187	8	1	22	1431	1
1.882	1	1	189	3	1	28	2292	0
1.882	1	1	189	3	1	28	2292	1
2.422	1	1	243	3	1	28	2292	0
2.422	1	1	243	3	1	28	2292	1
2.446	1	1	245	7	1	28	2292	0
2.446	1	1	245	7	1	28	2292	1
2.462	1	1	247	3	1	28	2292	0
2.462	1	1	247	3	1	28	2292	1
2.477	1	1	248	8	1	28	2292	0
2.477	1	1	248	8	1	28	2292	1
2.478	1	1	248	9	1	28	2292	0
2.478	1	1	248	9	1	28	2292	1
2.484	1	1	249	5	1	28	2292	0
2.499	1	1	250	10	1	16	967	0
2.499	1	1	250	10	1	16	967	1
2.5	1	1	251	1	1	16	967	0
2.5	1	1	251	1	1	16	967	1
2.501	1	1	251	2	1	16	967	0
2.501	1	1	251	2	1	16	967	1
2.515	1	1	252	6	1	16	967	0
2.515	1	1	252	6	1	16	967	1
2.516	1	1	252	7	1	16	967	0
2.516	1	1	252	7	1	16	967	1
2.53	1	1	254	1	1	26	1908	0
2.53	1	1	254	1	1	26	1908	1
2.531	1	1	254	2	1	26	1908	0
2.531	1	1	254	2	1	26	1908	1
2.532	1	1	254	3	1	26	1908	0
2.532	1	1	254	3	1	26	1908	1
2.545	1	1	255	6	1	26	1908	0
2.545	1	1	255	6	1	26	1908	1
2.546	1	1	255	7	1	26	1908	0
2.546	1	1	255	7	1	26	1908	1
2.56	1	1	257	1	1	26	1908	0
2.56	1	1	257	1	1	26	1908	1
2.561	1	1	257	2	1	24	1692	0
2.561	1	1	257	2	1	24	1692	1
2.576	1	1	258	7	1	24	1692	0
2.576	1	1	258	7	1	24	1692	1
2.577	1	1	258	8	1	24	1692	0
2.577	1	1	258	8	1	24	1692	1
2.593	1	1	260	4	1	24	1692	0
2.593	1	1	260	4	1	24	1692	1
2.596	1	1	260	7	1	24	1692	0
2.596	1	1	260	7	1	24	1692	1
2.608	1	1	261	9	1	18	1143	0
2.608	1	1	261	9	1	18	1143	1
2.609	1	1	261	10	1	18	1143	0
2.609	1	1	261	10	1	18	1143	1
2.624	1	1	263	5	1	18	1143	0
2.624	1	1	263	5	1	18	1143	1
2.625	1	1	263	6	1	18	1143	0
2.625	1	1	263	6	1	18	1143	1
2.64	1	1	265	1	1	18	1143	0
2.64	1	1	265	1	1	18	1143	1
2.641	1	1	265	2	1	28	2292	0
2.641	1	1	265	2	1	28	2292	1
2.642	1	1	265	3	1	28	2292	0
2.642	1	1	265	3	1	28	2292	1
2.656	1	1	266	7	1	28	2292	0
2.656	1	1	266	7	1	28	2292	1
2.672	1	1	268	3	1	28	2292	0
2.672	1	1	268	3	1	28	2292	1
2.673	1	1	268	4	1	28	2292	0
2.673	1	1	268	4	1	28	2292	1
2.688	1	1	269	9	1	26	1908	0
2.688	1	1	269	9	1	26	1908	1
2.689	1	1	269	10	1	26	1908	0
2.689	1	1	269	10	1	26	1908	1
2.703	1	1	271	4	1	26	1908	0
2.703	1	1	271	4	1	26	1908	1
2.704	1	1	271	5	1	26	1908	0
2.704	1	1	271	5	1	26	1908	1
2.719	1	1	272	10	1	26	1908	0
2.719	1	1	272	10	1	26	1908	1
2.735	1	1	274	6	1	28	2292	0
2.735	1	1	274	6	1	28	2292	1
2.75	1	1	276	1	1	28	2292	0
2.75	1	1	276	1	1	28	2292	1
2.751	1	1	276	2	1	28	2292	0
2.751	1	1	276	2	1	28	2292	1
2.766	1	1	277	7	1	20	1335	0
2.766	1	1	277	7	1	20	1335	1
2.781	1	1	279	2	1	20	1335	0
2.781	1	1	279	2	1	20	1335	1
2.782	1	1	279	3	1	20	1335	0
2.782	1	1	279	3	1	20	1335	1
2.783	1	1	279	4	1	20	1335	0
2.783	1	1	279	4	1	20	1335	1
2.797	1	1	280	8	1	20	1335	0
