% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	14	807	0	1	0
115	2	1	1	0	14	807	0	1	1
130	1	1	1	0	26	1908	0	1	0
130	2	1	1	0	26	1908	0	1	1
131	1	1	1	0	26	1908	0	1	0
131	2	1	1	0	26	1908	0	1	1
132	1	1	1	0	26	1908	0	1	0
132	2	1	1	0	26	1908	0	1	1
145	1	1	1	0	26	1908	0	1	0
145	2	1	1	0	26	1908	0	1	1
146	1	1	1	0	26	1908	0	1	0
146	2	1	1	0	26	1908	0	1	1
147	1	1	1	0	26	1908	0	1	0
147	2	1	1	0	26	1908	0	1	1
161	1	1	1	0	26	1908	0	1	0
161	2	1	1	0	26	1908	0	1	1
162	1	1	1	0	26	1908	0	1	0
162	2	1	1	0	26	1908	0	1	1
163	1	1	1	0	26	1908	0	1	0
163	2	1	1	0	26	1908	0	1	1
177	1	1	1	0	14	807	0	1	0
177	2	1	1	0	14	807	0	1	1
178	1	1	1	0	14	807	0	1	0
178	2	1	1	0	14	807	0	1	1
179	1	1	1	0	14	807	0	1	0
179	2	1	1	0	14	807	0	1	1
193	1	1	1	0	14	807	0	1	0
193	2	1	1	0	14	807	0	1	1
194	1	1	1	0	14	807	0	1	0
194	2	1	1	0	14	807	0	1	1
195	1	1	1	0	14	807	0	1	0
195	2	1	1	0	14	807	0	1	1
208	1	1	1	0	16	967	0	1	0
208	2	1	1	0	16	967	0	1	1
209	1	1	1	0	16	967	0	1	0
209	2	1	1	0	16	967	0	1	1
210	1	1	1	0	16	967	0	1	0
210	2	1	1	0	16	967	0	1	1
224	1	1	1	0	16	967	0	1	0
224	2	1	1	0	16	967	0	1	1
225	1	1	1	0	16	967	0	1	0
225	2	1	1	0	16	967	0	1	1
239	1	1	1	0	16	967	0	1	0
239	2	1	1	0	16	967	0	1	1
240	1	1	1	0	16	967	0	1	0
240	2	1	1	0	16	967	0	1	1
241	1	1	1	0	16	967	0	1	0
241	2	1	1	0	16	967	0	1	1
254	1	1	1	0	8	437	0	1	0
254	2	1	1	0	8	437	0	1	1
255	1	1	1	0	8	437	0	1	0
255	2	1	1	0	8	437	0	1	1
256	1	1	1	0	8	437	0	1	0
256	2	1	1	0	8	437	0	1	1
270	1	1	1	0	8	437	0	1	0
270	2	1	1	0	8	437	0	1	1
271	1	1	1	0	8	437	0	1	0
271	2	1	1	0	8	437	0	1	1
272	1	1	1	0	8	437	0	1	0
272	2	1	1	0	8	437	0	1	1
291	1	1	1	0	20	1335	0	1	0
291	2	1	1	0	20	1335	0	1	1
312	1	1	1	0	20	1335	0	1	0
312	2	1	1	0	20	1335	0	1	1
327	1	1	1	0	12	621	0	1	0
327	2	1	1	0	12	621	0	1	1
328	1	1	1	0	12	621	0	1	0
328	2	1	1	0	12	621	0	1	1
329	1	1	1	0	12	621	0	1	0
329	2	1	1	0	12	621	0	1	1
