% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	1	11	10	1	10	549	0
0.109	1	1	11	10	1	10	549	1
0.125	1	1	13	6	1	6	325	0
0.125	1	1	13	6	1	6	325	1
0.126	1	1	13	7	1	6	325	0
0.126	1	1	13	7	1	6	325	1
0.127	1	1	13	8	1	6	325	0
0.127	1	1	13	8	1	6	325	1
0.141	1	1	15	2	1	6	325	0
0.141	1	1	15	2	1	6	325	1
0.142	1	1	15	3	1	6	325	0
0.142	1	1	15	3	1	6	325	1
0.143	1	1	15	4	1	6	325	0
0.143	1	1	15	4	1	6	325	1
0.156	1	1	16	7	1	6	325	0
0.156	1	1	16	7	1	6	325	1
0.157	1	1	16	8	1	6	325	0
0.157	1	1	16	8	1	6	325	1
0.158	1	1	16	9	1	6	325	0
0.158	1	1	16	9	1	6	325	1
0.201	1	1	21	2	1	12	621	0
0.201	1	1	21	2	1	12	621	1
0.219	1	1	22	10	1	12	621	0
0.219	1	1	22	10	1	12	621	1
0.22	1	1	23	1	1	12	621	0
0.22	1	1	23	1	1	12	621	1
0.221	1	1	23	2	1	12	621	0
0.221	1	1	23	2	1	12	621	1
0.235	1	1	24	6	1	12	621	0
0.235	1	1	24	6	1	12	621	1
0.236	1	1	24	7	1	12	621	0
0.236	1	1	24	7	1	12	621	1
0.251	1	1	26	2	1	14	807	0
0.251	1	1	26	2	1	14	807	1
0.252	1	1	26	3	1	14	807	0
0.252	1	1	26	3	1	14	807	1
0.267	1	1	27	8	1	14	807	0
0.267	1	1	27	8	1	14	807	1
0.268	1	1	27	9	1	14	807	0
0.268	1	1	27	9	1	14	807	1
0.283	1	1	29	4	1	8	437	0
0.283	1	1	29	4	1	8	437	1
0.284	1	1	29	5	1	8	437	0
0.284	1	1	29	5	1	8	437	1
0.3	1	1	31	1	1	8	437	0
0.3	1	1	31	1	1	8	437	1
0.301	1	1	31	2	1	8	437	0
0.301	1	1	31	2	1	8	437	1
0.302	1	1	31	3	1	8	437	0
0.302	1	1	31	3	1	8	437	1
3.172	1	1	318	3	1	10	549	0
3.172	1	1	318	3	1	10	549	1
3.191	1	1	320	2	1	10	549	0
3.191	1	1	320	2	1	10	549	1
3.193	1	1	320	4	1	10	549	0
3.193	1	1	320	4	1	10	549	1
3.207	1	1	321	8	1	14	807	0
3.207	1	1	321	8	1	14	807	1
3.208	1	1	321	9	1	14	807	0
3.208	1	1	321	9	1	14	807	1
3.223	1	1	323	4	1	14	807	0
3.223	1	1	323	4	1	14	807	1
3.239	1	1	324	10	1	14	807	0
3.239	1	1	324	10	1	14	807	1
3.24	1	1	325	1	1	14	807	0
3.24	1	1	325	1	1	14	807	1
3.255	1	1	326	6	1	12	621	0
3.255	1	1	326	6	1	12	621	1
3.271	1	1	328	2	1	12	621	0
3.271	1	1	328	2	1	12	621	1
3.274	1	1	328	5	1	12	621	0
3.274	1	1	328	5	1	12	621	1
3.29	1	1	330	1	1	18	1143	0
