% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	20	1335	0	1	0
115	2	1	1	0	20	1335	0	1	1
135	1	1	1	0	22	1431	0	1	0
135	2	1	1	0	22	1431	0	1	1
152	1	1	1	0	22	1431	0	1	0
152	2	1	1	0	22	1431	0	1	1
153	1	1	1	0	22	1431	0	1	0
153	2	1	1	0	22	1431	0	1	1
155	1	1	1	0	22	1431	0	1	0
155	2	1	1	0	22	1431	0	1	1
167	1	1	1	0	20	1335	0	1	0
167	2	1	1	0	20	1335	0	1	1
168	1	1	1	0	20	1335	0	1	0
168	2	1	1	0	20	1335	0	1	1
169	1	1	1	0	20	1335	0	1	0
169	2	1	1	0	20	1335	0	1	1
183	1	1	1	0	20	1335	0	1	0
183	2	1	1	0	20	1335	0	1	1
184	1	1	1	0	20	1335	0	1	0
184	2	1	1	0	20	1335	0	1	1
198	1	1	1	0	20	1335	0	1	0
198	2	1	1	0	20	1335	0	1	1
199	1	1	1	0	20	1335	0	1	0
199	2	1	1	0	20	1335	0	1	1
200	1	1	1	0	20	1335	0	1	0
200	2	1	1	0	20	1335	0	1	1
213	1	1	1	0	26	1908	0	1	0
213	2	1	1	0	26	1908	0	1	1
214	1	1	1	0	26	1908	0	1	0
214	2	1	1	0	26	1908	0	1	1
215	1	1	1	0	26	1908	0	1	0
215	2	1	1	0	26	1908	0	1	1
216	1	1	1	0	26	1908	0	1	0
216	2	1	1	0	26	1908	0	1	1
228	1	1	1	0	26	1908	0	1	0
228	2	1	1	0	26	1908	0	1	1
229	1	1	1	0	26	1908	0	1	0
229	2	1	1	0	26	1908	0	1	1
230	1	1	1	0	26	1908	0	1	0
230	2	1	1	0	26	1908	0	1	1
244	1	1	1	0	26	1908	0	1	0
244	2	1	1	0	26	1908	0	1	1
245	1	1	1	0	26	1908	0	1	0
245	2	1	1	0	26	1908	0	1	1
259	1	1	1	0	12	621	0	1	0
259	2	1	1	0	12	621	0	1	1
260	1	1	1	0	12	621	0	1	0
260	2	1	1	0	12	621	0	1	1
261	1	1	1	0	12	621	0	1	0
261	2	1	1	0	12	621	0	1	1
262	1	1	1	0	12	621	0	1	0
262	2	1	1	0	12	621	0	1	1
276	1	1	1	0	12	621	0	1	0
276	2	1	1	0	12	621	0	1	1
277	1	1	1	0	12	621	0	1	0
277	2	1	1	0	12	621	0	1	1
278	1	1	1	0	12	621	0	1	0
278	2	1	1	0	12	621	0	1	1
279	1	1	1	0	12	621	0	1	0
279	2	1	1	0	12	621	0	1	1
291	1	1	1	0	26	1908	0	1	0
291	2	1	1	0	26	1908	0	1	1
294	1	1	1	0	26	1908	0	1	0
294	2	1	1	0	26	1908	0	1	1
302	1	1	1	0	26	1908	0	1	0
302	2	1	1	0	26	1908	0	1	1
306	1	1	1	0	26	1908	0	1	0
306	2	1	1	0	26	1908	0	1	1
307	1	1	1	0	26	1908	0	1	0
307	2	1	1	0	26	1908	0	1	1
318	1	1	1	0	26	1908	0	1	0
318	2	1	1	0	26	1908	0	1	1
319	1	1	1	0	26	1908	0	1	0
319	2	1	1	0	26	1908	0	1	1
333	1	1	1	0	20	1335	0	1	0
333	2	1	1	0	20	1335	0	1	1
334	1	1	1	0	20	1335	0	1	0
334	2	1	1	0	20	1335	0	1	1
335	1	1	1	0	20	1335	0	1	0
335	2	1	1	0	20	1335	0	1	1
336	1	1	1	0	20	1335	0	1	0
336	2	1	1	0	20	1335	0	1	1
349	1	1	1	0	20	1335	0	1	0
349	2	1	1	0	20	1335	0	1	1
350	1	1	1	0	20	1335	0	1	0
350	2	1	1	0	20	1335	0	1	1
351	1	1	1	0	20	1335	0	1	0
351	2	1	1	0	20	1335	0	1	1
364	1	1	1	0	20	1335	0	1	0
364	2	1	1	0	20	1335	0	1	1
365	1	1	1	0	20	1335	0	1	0
365	2	1	1	0	20	1335	0	1	1
366	1	1	1	0	20	1335	0	1	0
366	2	1	1	0	20	1335	0	1	1
380	1	1	1	0	28	2292	0	1	0
380	2	1	1	0	28	2292	0	1	1
381	1	1	1	0	28	2292	0	1	0
381	2	1	1	0	28	2292	0	1	1
396	1	1	1	0	28	2292	0	1	0
396	2	1	1	0	28	2292	0	1	1
404	1	1	1	0	28	2292	0	1	0
404	2	1	1	0	28	2292	0	1	1
412	1	1	1	0	20	1335	0	1	0
412	2	1	1	0	20	1335	0	1	1
413	1	1	1	0	20	1335	0	1	0
413	2	1	1	0	20	1335	0	1	1
420	1	1	1	0	20	1335	0	1	0
420	2	1	1	0	20	1335	0	1	1
421	1	1	1	0	20	1335	0	1	0
421	2	1	1	0	20	1335	0	1	1
428	1	1	1	0	20	1335	0	1	0
428	2	1	1	0	20	1335	0	1	1
429	1	1	1	0	20	1335	0	1	0
429	2	1	1	0	20	1335	0	1	1
435	1	1	1	0	20	1335	0	1	0
435	2	1	1	0	20	1335	0	1	1
437	1	1	1	0	20	1335	0	1	0
437	2	1	1	0	20	1335	0	1	1
444	1	1	1	0	20	1335	0	1	0
444	2	1	1	0	20	1335	0	1	1
450	1	1	1	0	24	1692	0	1	0
450	2	1	1	0	24	1692	0	1	1
453	1	1	1	0	24	1692	0	1	0
453	2	1	1	0	24	1692	0	1	1
1207	1	1	1	0	26	1908	0	1	0
1207	2	1	1	0	26	1908	0	1	1
1223	1	1	1	0	26	1908	0	1	0
1223	2	1	1	0	26	1908	0	1	1
1238	1	1	1	0	26	1908	0	1	0
1238	2	1	1	0	26	1908	0	1	1
1254	1	1	1	0	20	1335	0	1	0
1254	2	1	1	0	20	1335	0	1	1
1255	1	1	1	0	20	1335	0	1	0
1255	2	1	1	0	20	1335	0	1	1
1270	1	1	1	0	20	1335	0	1	0
1270	2	1	1	0	20	1335	0	1	1
1271	1	1	1	0	20	1335	0	1	0
1271	2	1	1	0	20	1335	0	1	1
1286	1	1	1	0	20	1335	0	1	0
1286	2	1	1	0	20	1335	0	1	1
1287	1	1	1	0	16	967	0	1	0
1287	2	1	1	0	16	967	0	1	1
1288	1	1	1	0	16	967	0	1	0
1288	2	1	1	0	16	967	0	1	1
1289	1	1	1	0	16	967	0	1	0
1289	2	1	1	0	16	967	0	1	1
1301	1	1	1	0	16	967	0	1	0
1301	2	1	1	0	16	967	0	1	1
1302	1	1	1	0	16	967	0	1	0
1302	2	1	1	0	16	967	0	1	1
1303	1	1	1	0	16	967	0	1	0
1303	2	1	1	0	16	967	0	1	1
1318	1	1	1	0	16	967	0	1	0
1318	2	1	1	0	16	967	0	1	1
1319	1	1	1	0	16	967	0	1	0
1319	2	1	1	0	16	967	0	1	1
1320	1	1	1	0	16	967	0	1	0
1320	2	1	1	0	16	967	0	1	1
1334	1	1	1	0	16	967	0	1	0
1334	2	1	1	0	16	967	0	1	1
1335	1	1	1	0	16	967	0	1	0
1335	2	1	1	0	16	967	0	1	1
1350	1	1	1	0	16	967	0	1	0
1350	2	1	1	0	16	967	0	1	1
1351	1	1	1	0	16	967	0	1	0
1351	2	1	1	0	16	967	0	1	1
1367	1	1	1	0	14	807	0	1	0
1367	2	1	1	0	14	807	0	1	1
1368	1	1	1	0	14	807	0	1	0
1368	2	1	1	0	14	807	0	1	1
1384	1	1	1	0	14	807	0	1	0
1384	2	1	1	0	14	807	0	1	1
1385	1	1	1	0	14	807	0	1	0
1385	2	1	1	0	14	807	0	1	1
1400	1	1	1	0	14	807	0	1	0
1400	2	1	1	0	14	807	0	1	1
1401	1	1	1	0	14	807	0	1	0
1401	2	1	1	0	14	807	0	1	1
1415	1	1	1	0	26	1908	0	1	0
1415	2	1	1	0	26	1908	0	1	1
1417	1	1	1	0	26	1908	0	1	0
1417	2	1	1	0	26	1908	0	1	1
1430	1	1	1	0	26	1908	0	1	0
1430	2	1	1	0	26	1908	0	1	1
1431	1	1	1	0	26	1908	0	1	0
1431	2	1	1	0	26	1908	0	1	1
1433	1	1	1	0	26	1908	0	1	0
1433	2	1	1	0	26	1908	0	1	1
1446	1	1	1	0	26	1908	0	1	0
1446	2	1	1	0	26	1908	0	1	1
1448	1	1	1	0	22	1431	0	1	0
1448	2	1	1	0	22	1431	0	1	1
1461	1	1	1	0	22	1431	0	1	0
1461	2	1	1	0	22	1431	0	1	1
1462	1	1	1	0	22	1431	0	1	0
1462	2	1	1	0	22	1431	0	1	1
1463	1	1	1	0	22	1431	0	1	0
1463	2	1	1	0	22	1431	0	1	1
1478	1	1	1	0	22	1431	0	1	0
1478	2	1	1	0	22	1431	0	1	1
1479	1	1	1	0	22	1431	0	1	0
1479	2	1	1	0	22	1431	0	1	1
1480	1	1	1	0	22	1431	0	1	0
1480	2	1	1	0	22	1431	0	1	1
1481	1	1	1	0	22	1431	0	1	0
1481	2	1	1	0	22	1431	0	1	1
1493	1	1	1	0	12	621	0	1	0
1493	2	1	1	0	12	621	0	1	1
1494	1	1	1	0	12	621	0	1	0
1494	2	1	1	0	12	621	0	1	1
1512	1	1	1	0	12	621	0	1	0
1512	2	1	1	0	12	621	0	1	1
1513	1	1	1	0	12	621	0	1	0
1513	2	1	1	0	12	621	0	1	1
1528	1	1	1	0	18	1143	0	1	0
1528	2	1	1	0	18	1143	0	1	1
1529	1	1	1	0	18	1143	0	1	0
1529	2	1	1	0	18	1143	0	1	1
1544	1	1	1	0	18	1143	0	1	0
1544	2	1	1	0	18	1143	0	1	1
1545	1	1	1	0	18	1143	0	1	0
1545	2	1	1	0	18	1143	0	1	1
1560	1	1	1	0	18	1143	0	1	0
1560	2	1	1	0	18	1143	0	1	1
1561	1	1	1	0	18	1143	0	1	0
1561	2	1	1	0	18	1143	0	1	1
1576	1	1	1	0	22	1431	0	1	0
1576	2	1	1	0	22	1431	0	1	1
1591	1	1	1	0	22	1431	0	1	0
1591	2	1	1	0	22	1431	0	1	1
1592	1	1	1	0	22	1431	0	1	0
1592	2	1	1	0	22	1431	0	1	1
1606	1	1	1	0	22	1431	0	1	0
1606	2	1	1	0	22	1431	0	1	1
1608	1	1	1	0	22	1431	0	1	0
1608	2	1	1	0	22	1431	0	1	1
1609	1	1	1	0	22	1431	0	1	0
1609	2	1	1	0	22	1431	0	1	1
1622	1	1	1	0	22	1431	0	1	0
1622	2	1	1	0	22	1431	0	1	1
1624	1	1	1	0	22	1431	0	1	0
1624	2	1	1	0	22	1431	0	1	1
1638	1	1	1	0	22	1431	0	1	0
1638	2	1	1	0	22	1431	0	1	1
1639	1	1	1	0	22	1431	0	1	0
1639	2	1	1	0	22	1431	0	1	1
1653	1	1	1	0	28	2292	0	1	0
1653	2	1	1	0	28	2292	0	1	1
1654	1	1	1	0	28	2292	0	1	0
1654	2	1	1	0	28	2292	0	1	1
1655	1	1	1	0	28	2292	0	1	0
1655	2	1	1	0	28	2292	0	1	1
1670	1	1	1	0	28	2292	0	1	0
1670	2	1	1	0	28	2292	0	1	1
1671	1	1	1	0	28	2292	0	1	0
1671	2	1	1	0	28	2292	0	1	1
1686	1	1	1	0	28	2292	0	1	0
1686	2	1	1	0	28	2292	0	1	1
1687	1	1	1	0	12	621	0	1	0
1687	2	1	1	0	12	621	0	1	1
1701	1	1	1	0	12	621	0	1	0
1701	2	1	1	0	12	621	0	1	1
1702	1	1	1	0	12	621	0	1	0
1702	2	1	1	0	12	621	0	1	1
1717	1	1	1	0	12	621	0	1	0
1717	2	1	1	0	12	621	0	1	1
1718	1	1	1	0	12	621	0	1	0
1718	2	1	1	0	12	621	0	1	1
1734	1	1	1	0	16	967	0	1	0
1734	2	1	1	0	16	967	0	1	1
1750	1	1	1	0	16	967	0	1	0
1750	2	1	1	0	16	967	0	1	1
1751	1	1	1	0	16	967	0	1	0
1751	2	1	1	0	16	967	0	1	1
1767	1	1	1	0	20	1335	0	1	0
1767	2	1	1	0	20	1335	0	1	1
1768	1	1	1	0	20	1335	0	1	0
1768	2	1	1	0	20	1335	0	1	1
1783	1	1	1	0	20	1335	0	1	0
1783	2	1	1	0	20	1335	0	1	1
1785	1	1	1	0	20	1335	0	1	0
1785	2	1	1	0	20	1335	0	1	1
1787	1	1	1	0	20	1335	0	1	0
1787	2	1	1	0	20	1335	0	1	1
1799	1	1	1	0	20	1335	0	1	0
1799	2	1	1	0	20	1335	0	1	1
1814	1	1	1	0	18	1143	0	1	0
1814	2	1	1	0	18	1143	0	1	1
1815	1	1	1	0	18	1143	0	1	0
1815	2	1	1	0	18	1143	0	1	1
1816	1	1	1	0	18	1143	0	1	0
1816	2	1	1	0	18	1143	0	1	1
1830	1	1	1	0	18	1143	0	1	0
1830	2	1	1	0	18	1143	0	1	1
1831	1	1	1	0	18	1143	0	1	0
1831	2	1	1	0	18	1143	0	1	1
1845	1	1	1	0	18	1143	0	1	0
1845	2	1	1	0	18	1143	0	1	1
1846	1	1	1	0	18	1143	0	1	0
1846	2	1	1	0	18	1143	0	1	1
1847	1	1	1	0	20	1335	0	1	0
1847	2	1	1	0	20	1335	0	1	1
1860	1	1	1	0	20	1335	0	1	0
1860	2	1	1	0	20	1335	0	1	1
1861	1	1	1	0	20	1335	0	1	0
1861	2	1	1	0	20	1335	0	1	1
1875	1	1	1	0	20	1335	0	1	0
1875	2	1	1	0	20	1335	0	1	1
1876	1	1	1	0	20	1335	0	1	0
1876	2	1	1	0	20	1335	0	1	1
1891	1	1	1	0	16	967	0	1	0
1891	2	1	1	0	16	967	0	1	1
1892	1	1	1	0	16	967	0	1	0
1892	2	1	1	0	16	967	0	1	1
1907	1	1	1	0	16	967	0	1	0
1907	2	1	1	0	16	967	0	1	1
1908	1	1	1	0	16	967	0	1	0
1908	2	1	1	0	16	967	0	1	1
1925	1	1	1	0	16	967	0	1	0
1925	2	1	1	0	16	967	0	1	1
1926	1	1	1	0	16	967	0	1	0
1926	2	1	1	0	16	967	0	1	1
1940	1	1	1	0	6	325	0	1	0
1940	2	1	1	0	6	325	0	1	1
1941	1	1	1	0	6	325	0	1	0
1941	2	1	1	0	6	325	0	1	1
1956	1	1	1	0	6	325	0	1	0
1956	2	1	1	0	6	325	0	1	1
1957	1	1	1	0	6	325	0	1	0
1957	2	1	1	0	6	325	0	1	1
1971	1	1	1	0	22	1431	0	1	0
1971	2	1	1	0	22	1431	0	1	1
1972	1	1	1	0	22	1431	0	1	0
1972	2	1	1	0	22	1431	0	1	1
1973	1	1	1	0	22	1431	0	1	0
1973	2	1	1	0	22	1431	0	1	1
1988	1	1	1	0	22	1431	0	1	0
1988	2	1	1	0	22	1431	0	1	1
1989	1	1	1	0	22	1431	0	1	0
1989	2	1	1	0	22	1431	0	1	1
2003	1	1	1	0	22	1431	0	1	0
2003	2	1	1	0	22	1431	0	1	1
2004	1	1	1	0	22	1431	0	1	0
2004	2	1	1	0	22	1431	0	1	1
