% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	2	137	0	1	0
115	2	1	1	0	2	137	0	1	1
130	1	1	1	0	8	437	0	1	0
130	2	1	1	0	8	437	0	1	1
131	1	1	1	0	8	437	0	1	0
131	2	1	1	0	8	437	0	1	1
132	1	1	1	0	8	437	0	1	0
132	2	1	1	0	8	437	0	1	1
146	1	1	1	0	8	437	0	1	0
146	2	1	1	0	8	437	0	1	1
147	1	1	1	0	8	437	0	1	0
147	2	1	1	0	8	437	0	1	1
148	1	1	1	0	8	437	0	1	0
148	2	1	1	0	8	437	0	1	1
149	1	1	1	0	8	437	0	1	0
149	2	1	1	0	8	437	0	1	1
161	1	1	1	0	8	437	0	1	0
161	2	1	1	0	8	437	0	1	1
162	1	1	1	0	8	437	0	1	0
162	2	1	1	0	8	437	0	1	1
163	1	1	1	0	8	437	0	1	0
163	2	1	1	0	8	437	0	1	1
177	1	1	1	0	12	621	0	1	0
177	2	1	1	0	12	621	0	1	1
178	1	1	1	0	12	621	0	1	0
178	2	1	1	0	12	621	0	1	1
179	1	1	1	0	12	621	0	1	0
179	2	1	1	0	12	621	0	1	1
192	1	1	1	0	12	621	0	1	0
192	2	1	1	0	12	621	0	1	1
193	1	1	1	0	12	621	0	1	0
193	2	1	1	0	12	621	0	1	1
194	1	1	1	0	12	621	0	1	0
194	2	1	1	0	12	621	0	1	1
207	1	1	1	0	6	325	0	1	0
207	2	1	1	0	6	325	0	1	1
208	1	1	1	0	6	325	0	1	0
208	2	1	1	0	6	325	0	1	1
209	1	1	1	0	6	325	0	1	0
209	2	1	1	0	6	325	0	1	1
223	1	1	1	0	6	325	0	1	0
223	2	1	1	0	6	325	0	1	1
224	1	1	1	0	6	325	0	1	0
224	2	1	1	0	6	325	0	1	1
225	1	1	1	0	6	325	0	1	0
225	2	1	1	0	6	325	0	1	1
239	1	1	1	0	6	325	0	1	0
239	2	1	1	0	6	325	0	1	1
240	1	1	1	0	6	325	0	1	0
240	2	1	1	0	6	325	0	1	1
287	1	1	1	0	2	137	0	1	0
287	2	1	1	0	2	137	0	1	1
288	1	1	1	0	2	137	0	1	0
288	2	1	1	0	2	137	0	1	1
302	1	1	1	0	2	137	0	1	0
302	2	1	1	0	2	137	0	1	1
303	1	1	1	0	2	137	0	1	0
