% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	12	621	0	1	1	0
130	1	1	1	0	2	137	0	1	1	0
130	2	1	1	0	2	137	0	1	1	1
145	1	1	1	0	2	137	0	1	1	0
145	2	1	1	0	2	137	0	1	1	1
146	1	1	1	0	2	137	0	1	1	0
161	1	1	1	0	2	137	0	1	1	0
161	2	1	1	0	2	137	0	1	1	1
162	1	1	1	0	2	137	0	1	1	0
176	1	1	1	0	28	2292	0	1	1	0
192	1	1	1	0	28	2292	0	1	1	0
207	1	1	1	0	12	621	0	1	1	0
223	1	1	1	0	12	621	0	1	1	0
239	1	1	1	0	12	621	0	1	1	0
254	1	1	1	0	12	621	0	1	1	0
270	1	1	1	0	12	621	0	1	1	0
286	1	1	1	0	12	621	0	1	1	0
301	1	1	1	0	24	1692	0	1	1	0
317	1	1	1	0	24	1692	0	1	1	0
333	1	1	1	0	0	85	0	1	1	0
333	2	1	1	0	0	85	0	1	1	1
334	1	1	1	0	0	85	0	1	1	0
334	2	1	1	0	0	85	0	1	1	1
348	1	1	1	0	0	85	0	1	1	0
348	2	1	1	0	0	85	0	1	1	1
349	1	1	1	0	0	85	0	1	1	0
349	2	1	1	0	0	85	0	1	1	1
364	1	1	1	0	0	85	0	1	1	0
364	2	1	1	0	0	85	0	1	1	1
365	1	1	1	0	0	85	0	1	1	0
365	2	1	1	0	0	85	0	1	1	1
379	1	1	1	0	24	1692	0	1	1	0
394	1	1	1	0	24	1692	0	1	1	0
410	1	1	1	0	22	1431	0	1	1	0
426	1	1	1	0	22	1431	0	1	1	0
441	1	1	1	0	22	1431	0	1	1	0
457	1	1	1	0	2	137	0	1	1	0
1177	1	1	1	0	10	549	0	1	1	0
1193	1	1	1	0	10	549	0	1	1	0
1208	1	1	1	0	20	1335	0	1	1	0
1224	1	1	1	0	20	1335	0	1	1	0
1240	1	1	1	0	20	1335	0	1	1	0
1255	1	1	1	0	28	2292	0	1	1	0
1271	1	1	1	0	28	2292	0	1	1	0
1287	1	1	1	0	20	1335	0	1	1	0
1303	1	1	1	0	20	1335	0	1	1	0
1318	1	1	1	0	20	1335	0	1	1	0
1334	1	1	1	0	14	807	0	1	1	0
1350	1	1	1	0	14	807	0	1	1	0
1365	1	1	1	0	14	807	0	1	1	0
1381	1	1	1	0	14	807	0	1	1	0
1397	1	1	1	0	14	807	0	1	1	0
1447	1	1	1	0	10	549	0	1	1	0
1463	1	1	1	0	10	549	0	1	1	0
1479	1	1	1	0	10	549	0	1	1	0
1495	1	1	1	0	22	1431	0	1	1	0
1511	1	1	1	0	22	1431	0	1	1	0
1527	1	1	1	0	20	1335	0	1	1	0
1542	1	1	1	0	20	1335	0	1	1	0
1558	1	1	1	0	20	1335	0	1	1	0
1574	1	1	1	0	20	1335	0	1	1	0
1589	1	1	1	0	20	1335	0	1	1	0
1605	1	1	1	0	20	1335	0	1	1	0
1621	1	1	1	0	18	1143	0	1	1	0
1636	1	1	1	0	18	1143	0	1	1	0
1651	1	1	1	0	24	1692	0	1	1	0
1667	1	1	1	0	24	1692	0	1	1	0
1682	1	1	1	0	24	1692	0	1	1	0
1698	1	1	1	0	28	2292	0	1	1	0
1713	1	1	1	0	28	2292	0	1	1	0
1729	1	1	1	0	20	1335	0	1	1	0
1745	1	1	1	0	20	1335	0	1	1	0
1760	1	1	1	0	20	1335	0	1	1	0
1775	1	1	1	0	18	1143	0	1	1	0
1791	1	1	1	0	18	1143	0	1	1	0
1807	1	1	1	0	18	1143	0	1	1	0
1824	1	1	1	0	18	1143	0	1	1	0
1840	1	1	1	0	18	1143	0	1	1	0
1856	1	1	1	0	28	2292	0	1	1	0
1872	1	1	1	0	28	2292	0	1	1	0
1887	1	1	1	0	14	807	0	1	1	0
1903	1	1	1	0	14	807	0	1	1	0
1918	1	1	1	0	14	807	0	1	1	0
1934	1	1	1	0	10	549	0	1	1	0
1950	1	1	1	0	10	549	0	1	1	0
1966	1	1	1	0	10	549	0	1	1	0
1981	1	1	1	0	18	1143	0	1	1	0
1997	1	1	1	0	18	1143	0	1	1	0
2013	1	1	1	0	24	1692	0	1	1	0
2028	1	1	1	0	24	1692	0	1	1	0
2044	1	1	1	0	24	1692	0	1	1	0
2059	1	1	1	0	22	1431	0	1	1	0
2075	1	1	1	0	22	1431	0	1	1	0
2092	1	1	1	0	14	807	0	1	1	0
2107	1	1	1	0	14	807	0	1	1	0
2122	1	1	1	0	14	807	0	1	1	0
2167	1	1	1	0	22	1431	0	1	1	0
2183	1	1	1	0	22	1431	0	1	1	0
2199	1	1	1	0	22	1431	0	1	1	0
2247	1	1	1	0	22	1431	0	1	1	0
2263	1	1	1	0	22	1431	0	1	1	0
2279	1	1	1	0	22	1431	0	1	1	0
2295	1	1	1	0	26	1908	0	1	1	0
2310	1	1	1	0	26	1908	0	1	1	0
2326	1	1	1	0	26	1908	0	1	1	0
2342	1	1	1	0	12	621	0	1	1	0
2358	1	1	1	0	12	621	0	1	1	0
2373	1	1	1	0	28	2292	0	1	1	0
2389	1	1	1	0	28	2292	0	1	1	0
2404	1	1	1	0	28	2292	0	1	1	0
2419	1	1	1	0	10	549	0	1	1	0
2436	1	1	1	0	10	549	0	1	1	0
2451	1	1	1	0	18	1143	0	1	1	0
2466	1	1	1	0	18	1143	0	1	1	0
2482	1	1	1	0	18	1143	0	1	1	0
2497	1	1	1	0	20	1335	0	1	1	0
2513	1	1	1	0	20	1335	0	1	1	0
2529	1	1	1	0	20	1335	0	1	1	0
2545	1	1	1	0	20	1335	0	1	1	0
2560	1	1	1	0	20	1335	0	1	1	0
2575	1	1	1	0	24	1692	0	1	1	0
2591	1	1	1	0	24	1692	0	1	1	0
2606	1	1	1	0	24	1692	0	1	1	0
2622	1	1	1	0	12	621	0	1	1	0
2638	1	1	1	0	12	621	0	1	1	0
2653	1	1	1	0	4	225	0	1	1	0
2669	1	1	1	0	4	225	0	1	1	0
2685	1	1	1	0	4	225	0	1	1	0
2701	1	1	1	0	22	1431	0	1	1	0
2717	1	1	1	0	22	1431	0	1	1	0
2732	1	1	1	0	14	807	0	1	1	0
2748	1	1	1	0	14	807	0	1	1	0
2764	1	1	1	0	14	807	0	1	1	0
2779	1	1	1	0	24	1692	0	1	1	0
2795	1	1	1	0	24	1692	0	1	1	0
2810	1	1	1	0	20	1335	0	1	1	0
2825	1	1	1	0	20	1335	0	1	1	0
2840	1	1	1	0	20	1335	0	1	1	0
2856	1	1	1	0	20	1335	0	1	1	0
2872	1	1	1	0	20	1335	0	1	1	0
2888	1	1	1	0	22	1431	0	1	1	0
2903	1	1	1	0	22	1431	0	1	1	0
2918	1	1	1	0	22	1431	0	1	1	0
2934	1	1	1	0	24	1692	0	1	1	0
2951	1	1	1	0	24	1692	0	1	1	0
2967	1	1	1	0	18	1143	0	1	1	0
