% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	28	1095	0	1	1	0
115	1	2	2	0	14	389	0	1	1	0
131	1	2	2	0	8	437	0	1	1	0
132	1	1	1	0	20	1335	0	1	1	0
146	1	2	2	0	8	437	0	1	1	0
148	1	1	1	0	20	1335	0	1	1	0
161	1	2	2	0	8	437	0	1	1	0
166	1	1	1	0	20	1335	0	1	1	0
180	1	2	2	0	24	1692	0	1	1	0
182	1	1	1	0	22	1431	0	1	1	0
196	1	2	2	0	24	1692	0	1	1	0
197	1	1	1	0	22	1431	0	1	1	0
212	1	2	2	0	24	1692	0	1	1	0
213	1	1	1	0	24	807	0	1	1	0
213	1	2	2	0	28	1095	0	1	0	0
229	1	1	1	0	22	1431	0	1	1	0
234	1	2	2	0	24	1692	0	1	1	0
245	1	1	1	0	22	1431	0	1	1	0
252	1	2	2	0	16	967	0	1	1	0
263	1	1	1	0	18	1143	0	1	1	0
272	1	2	2	0	16	967	0	1	1	0
278	1	1	1	0	18	1143	0	1	1	0
288	1	2	2	0	12	621	0	1	1	0
297	1	1	1	0	12	621	0	1	1	0
309	1	2	2	0	12	621	0	1	1	0
313	1	1	1	0	12	621	0	1	1	0
325	1	2	2	0	12	621	0	1	1	0
332	1	1	1	0	24	1692	0	1	1	0
343	1	2	2	0	4	225	0	1	1	0
348	1	1	1	0	24	1692	0	1	1	0
360	1	2	2	0	4	225	0	1	1	0
365	1	1	1	0	24	1692	0	1	1	0
378	1	2	2	0	20	1335	0	1	1	0
384	1	1	1	0	26	1908	0	1	1	0
396	1	2	2	0	20	1335	0	1	1	0
402	1	1	1	0	26	1908	0	1	1	0
418	1	1	1	0	26	1908	0	1	1	0
419	1	1	1	0	26	903	0	1	0	0
419	1	2	2	0	18	549	0	1	1	0
434	1	1	1	0	26	1908	0	1	1	0
436	1	1	1	0	26	903	0	1	0	0
436	1	2	2	0	18	549	0	1	1	0
450	1	1	1	0	14	807	0	1	1	0
453	1	2	2	0	22	1431	0	1	1	0
465	1	1	1	0	14	807	0	1	1	0
473	1	2	2	0	22	1431	0	1	1	0
481	1	1	1	0	14	807	0	1	1	0
488	1	2	2	0	14	807	0	1	1	0
497	1	1	1	0	4	225	0	1	1	0
497	2	1	1	0	4	225	0	1	1	1
504	1	2	2	0	14	807	0	1	1	0
512	1	1	1	0	4	225	0	1	1	0
512	2	1	1	0	4	225	0	1	1	1
519	1	2	2	0	14	807	0	1	1	0
528	1	1	1	0	14	807	0	1	1	0
536	1	2	2	0	28	2292	0	1	1	0
544	1	2	2	0	28	2292	0	1	1	0
550	1	1	1	0	14	807	0	1	1	0
