% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	2	1	0	28	2292	0	1	0
115	2	2	1	0	28	2292	0	1	1
123	1	1	2	0	28	2292	0	1	0
123	2	1	2	0	28	2292	0	1	1
130	1	2	1	0	28	2292	0	1	0
130	2	2	1	0	28	2292	0	1	1
131	1	2	1	0	28	2292	0	1	0
131	2	2	1	0	28	2292	0	1	1
132	1	2	1	0	28	2292	0	1	0
132	2	2	1	0	28	2292	0	1	1
146	1	2	1	0	28	2292	0	1	0
146	2	2	1	0	28	2292	0	1	1
147	1	2	1	0	28	2292	0	1	0
147	2	2	1	0	28	2292	0	1	1
161	1	2	1	0	28	2292	0	1	0
161	2	2	1	0	28	2292	0	1	1
162	1	2	1	0	28	2292	0	1	0
162	2	2	1	0	28	2292	0	1	1
163	1	2	1	0	28	2292	0	1	0
163	2	2	1	0	28	2292	0	1	1
178	1	2	1	0	24	1692	0	1	0
178	2	2	1	0	24	1692	0	1	1
179	1	2	1	0	24	1692	0	1	0
179	2	2	1	0	24	1692	0	1	1
180	1	2	1	0	24	1692	0	1	0
180	2	2	1	0	24	1692	0	1	1
194	1	2	1	0	24	1692	0	1	0
194	2	2	1	0	24	1692	0	1	1
195	1	2	1	0	24	1692	0	1	0
195	2	2	1	0	24	1692	0	1	1
196	1	2	1	0	24	1692	0	1	0
196	2	2	1	0	24	1692	0	1	1
197	1	2	1	0	24	1692	0	1	0
197	2	2	1	0	24	1692	0	1	1
199	1	2	1	0	24	1692	0	1	0
199	2	2	1	0	24	1692	0	1	1
211	1	2	1	0	20	1335	0	1	0
211	2	2	1	0	20	1335	0	1	1
212	1	2	1	0	20	1335	0	1	0
212	2	2	1	0	20	1335	0	1	1
213	1	2	1	0	20	1335	0	1	0
213	2	2	1	0	20	1335	0	1	1
226	1	2	1	0	20	1335	0	1	0
226	2	2	1	0	20	1335	0	1	1
227	1	2	1	0	20	1335	0	1	0
227	2	2	1	0	20	1335	0	1	1
228	1	2	1	0	20	1335	0	1	0
228	2	2	1	0	20	1335	0	1	1
229	1	2	1	0	20	1335	0	1	0
229	2	2	1	0	20	1335	0	1	1
242	1	2	1	0	20	1335	0	1	0
242	2	2	1	0	20	1335	0	1	1
243	1	2	1	0	20	1335	0	1	0
243	2	2	1	0	20	1335	0	1	1
244	1	2	1	0	20	1335	0	1	0
244	2	2	1	0	20	1335	0	1	1
258	1	2	1	0	28	2292	0	1	0
258	2	2	1	0	28	2292	0	1	1
259	1	2	1	0	28	2292	0	1	0
259	2	2	1	0	28	2292	0	1	1
260	1	2	1	0	28	2292	0	1	0
260	2	2	1	0	28	2292	0	1	1
273	1	2	1	0	28	2292	0	1	0
273	2	2	1	0	28	2292	0	1	1
274	1	2	1	0	28	2292	0	1	0
274	2	2	1	0	28	2292	0	1	1
289	1	2	1	0	20	1335	0	1	0
289	2	2	1	0	20	1335	0	1	1
290	1	2	1	0	20	1335	0	1	0
290	2	2	1	0	20	1335	0	1	1
305	1	2	1	0	20	1335	0	1	0
305	2	2	1	0	20	1335	0	1	1
306	1	2	1	0	20	1335	0	1	0
306	2	2	1	0	20	1335	0	1	1
307	1	2	1	0	20	1335	0	1	0
307	2	2	1	0	20	1335	0	1	1
320	1	2	1	0	20	1335	0	1	0
320	2	2	1	0	20	1335	0	1	1
321	1	2	1	0	20	1335	0	1	0
321	2	2	1	0	20	1335	0	1	1
335	1	2	1	0	28	2292	0	1	0
335	2	2	1	0	28	2292	0	1	1
336	1	2	1	0	28	2292	0	1	0
336	2	2	1	0	28	2292	0	1	1
351	1	2	1	0	28	2292	0	1	0
351	2	2	1	0	28	2292	0	1	1
352	1	2	1	0	28	2292	0	1	0
352	2	2	1	0	28	2292	0	1	1
366	1	2	1	0	28	2292	0	1	0
366	2	2	1	0	28	2292	0	1	1
