% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	2	65	0	1	0
115	1	2	2	0	14	389	0	1	0
115	2	1	1	0	2	65	0	1	1
115	2	2	2	0	14	389	0	1	1
131	1	2	2	0	12	621	0	1	0
131	2	2	2	0	12	621	0	1	1
133	1	2	2	0	12	621	0	1	0
133	2	2	2	0	12	621	0	1	1
135	1	2	2	0	12	621	0	1	0
135	2	2	2	0	12	621	0	1	1
154	1	2	2	0	12	621	0	1	0
154	2	2	2	0	12	621	0	1	1
1133	1	1	1	0	6	325	0	1	0
1133	2	1	1	0	6	325	0	1	1
1149	1	1	1	0	6	325	0	1	0
1149	2	1	1	0	6	325	0	1	1
1166	1	1	1	0	6	325	0	1	0
1166	2	1	1	0	6	325	0	1	1
1287	1	1	1	0	8	437	0	1	0
1287	2	1	1	0	8	437	0	1	1
1385	1	1	1	0	12	621	0	1	0
1385	2	1	1	0	12	621	0	1	1
1403	1	1	1	0	12	621	0	1	0
1403	2	1	1	0	12	621	0	1	1
2401	1	1	1	0	8	437	0	1	0
2401	2	1	1	0	8	437	0	1	1
2418	1	1	1	0	10	549	0	1	0
2418	2	1	1	0	10	549	0	1	1
2419	1	1	1	0	10	549	0	1	0
2419	2	1	1	0	10	549	0	1	1
2439	1	1	1	0	10	549	0	1	0
2439	2	1	1	0	10	549	0	1	1
2441	1	1	1	0	10	549	0	1	0
2441	2	1	1	0	10	549	0	1	1
3147	1	2	2	0	14	807	0	1	0
3147	2	2	2	0	14	807	0	1	1
3163	1	2	2	0	14	807	0	1	0
3163	2	2	2	0	14	807	0	1	1
3164	1	2	2	0	14	807	0	1	0
3164	2	2	2	0	14	807	0	1	1
3179	1	2	2	0	4	225	0	1	0
3179	2	2	2	0	4	225	0	1	1
3180	1	2	2	0	4	225	0	1	0
3180	2	2	2	0	4	225	0	1	1
3195	1	2	2	0	4	225	0	1	0
3195	2	2	2	0	4	225	0	1	1
3196	1	2	2	0	4	225	0	1	0
3196	2	2	2	0	4	225	0	1	1
3197	1	2	2	0	4	225	0	1	0
3197	2	2	2	0	4	225	0	1	1
3215	1	2	2	0	4	225	0	1	0
3215	2	2	2	0	4	225	0	1	1
3216	1	2	2	0	4	225	0	1	0
3216	2	2	2	0	4	225	0	1	1
3232	1	2	2	0	4	225	0	1	0
3232	2	2	2	0	4	225	0	1	1
3233	1	2	2	0	4	225	0	1	0
3233	2	2	2	0	4	225	0	1	1
6239	1	2	2	0	8	437	0	1	0
6239	2	2	2	0	8	437	0	1	1
7254	1	2	2	0	0	85	0	1	0
7254	2	2	2	0	0	85	0	1	1
7270	1	2	2	0	0	85	0	1	0
7270	2	2	2	0	0	85	0	1	1
7271	1	2	2	0	0	85	0	1	0
7271	2	2	2	0	0	85	0	1	1
7287	1	2	2	0	0	85	0	1	0
7287	2	2	2	0	0	85	0	1	1
7304	1	2	2	0	12	621	0	1	0
7304	2	2	2	0	12	621	0	1	1
7325	1	2	2	0	12	621	0	1	0
7325	2	2	2	0	12	621	0	1	1
7526	1	2	2	0	18	1143	0	1	0
7526	2	2	2	0	18	1143	0	1	1
7542	1	2	2	0	4	225	0	1	0
7542	2	2	2	0	4	225	0	1	1
7560	1	2	2	0	4	225	0	1	0
7560	2	2	2	0	4	225	0	1	1
7581	1	2	2	0	6	325	0	1	0
7581	2	2	2	0	6	325	0	1	1
8542	1	2	2	0	14	807	0	1	0
8542	2	2	2	0	14	807	0	1	1
8559	1	2	2	0	14	807	0	1	0
8559	2	2	2	0	14	807	0	1	1
8575	1	2	2	0	18	1143	0	1	0
8575	2	2	2	0	18	1143	0	1	1
8591	1	2	2	0	18	1143	0	1	0
8591	2	2	2	0	18	1143	0	1	1
8608	1	2	2	0	10	549	0	1	0
8608	2	2	2	0	10	549	0	1	1
8625	1	2	2	0	10	549	0	1	0
8625	2	2	2	0	10	549	0	1	1
8655	1	2	2	0	4	225	0	1	0
8655	2	2	2	0	4	225	0	1	1
8672	1	2	2	0	4	225	0	1	0
8672	2	2	2	0	4	225	0	1	1
8728	1	2	2	0	8	437	0	1	0
8728	2	2	2	0	8	437	0	1	1
8744	1	2	2	0	8	437	0	1	0
8744	2	2	2	0	8	437	0	1	1
8745	1	2	2	0	8	437	0	1	0
8745	2	2	2	0	8	437	0	1	1
8760	1	2	2	0	8	437	0	1	0
8760	2	2	2	0	8	437	0	1	1
8775	1	2	2	0	4	225	0	1	0
8775	2	2	2	0	4	225	0	1	1
8791	1	2	2	0	4	225	0	1	0
8791	2	2	2	0	4	225	0	1	1
8808	1	2	2	0	8	437	0	1	0
8808	2	2	2	0	8	437	0	1	1
8810	1	2	2	0	8	437	0	1	0
8810	2	2	2	0	8	437	0	1	1
9031	1	2	2	0	12	621	0	1	0
9031	2	2	2	0	12	621	0	1	1
9455	1	1	1	0	10	549	0	1	0
9455	2	1	1	0	10	549	0	1	1
9471	1	1	1	0	10	549	0	1	0
9471	2	1	1	0	10	549	0	1	1
9488	1	1	1	0	10	549	0	1	0
9488	2	1	1	0	10	549	0	1	1
9489	1	1	1	0	10	549	0	1	0
9489	2	1	1	0	10	549	0	1	1
9503	1	1	1	0	10	549	0	1	0
9503	2	1	1	0	10	549	0	1	1
9504	1	1	1	0	10	549	0	1	0
9504	2	1	1	0	10	549	0	1	1
9519	1	1	1	0	10	549	0	1	0
9519	2	1	1	0	10	549	0	1	1
9521	1	1	1	0	10	549	0	1	0
9521	2	1	1	0	10	549	0	1	1
9535	1	1	1	0	4	225	0	1	0
9535	2	1	1	0	4	225	0	1	1
9550	1	1	1	0	4	225	0	1	0
9550	2	1	1	0	4	225	0	1	1
9551	1	1	1	0	4	225	0	1	0
9551	2	1	1	0	4	225	0	1	1
9566	1	1	1	0	4	225	0	1	0
9566	2	1	1	0	4	225	0	1	1
9607	1	1	1	0	8	437	0	1	0
9607	2	1	1	0	8	437	0	1	1
9623	1	1	1	0	8	437	0	1	0
9623	2	1	1	0	8	437	0	1	1
9624	1	1	1	0	8	437	0	1	0
9624	2	1	1	0	8	437	0	1	1
9639	1	1	1	0	8	437	0	1	0
9639	2	1	1	0	8	437	0	1	1
9640	1	1	1	0	8	437	0	1	0
9640	2	1	1	0	8	437	0	1	1
9642	1	1	1	0	8	437	0	1	0
9642	2	1	1	0	8	437	0	1	1
9656	1	1	1	0	6	325	0	1	0
9656	2	1	1	0	6	325	0	1	1
9658	1	1	1	0	6	325	0	1	0
9658	2	1	1	0	6	325	0	1	1
9671	1	1	1	0	6	325	0	1	0
9671	2	1	1	0	6	325	0	1	1
9672	1	1	1	0	6	325	0	1	0
9672	2	1	1	0	6	325	0	1	1
9673	1	1	1	0	6	325	0	1	0
9673	2	1	1	0	6	325	0	1	1
9687	1	1	1	0	4	225	0	1	0
9687	2	1	1	0	4	225	0	1	1
9688	1	1	1	0	4	225	0	1	0
9688	2	1	1	0	4	225	0	1	1
9703	1	1	1	0	4	225	0	1	0
9703	2	1	1	0	4	225	0	1	1
9704	1	1	1	0	4	225	0	1	0
9704	2	1	1	0	4	225	0	1	1
9719	1	1	1	0	4	225	0	1	0
9719	2	1	1	0	4	225	0	1	1
9720	1	1	1	0	4	225	0	1	0
9720	2	1	1	0	4	225	0	1	1
9721	1	1	1	0	4	225	0	1	0
9721	2	1	1	0	4	225	0	1	1
9760	1	1	1	0	8	437	0	1	0
9760	2	1	1	0	8	437	0	1	1
9777	1	1	1	0	10	549	0	1	0
9777	2	1	1	0	10	549	0	1	1
9793	1	1	1	0	10	549	0	1	0
9793	2	1	1	0	10	549	0	1	1
9794	1	1	1	0	10	549	0	1	0
9794	2	1	1	0	10	549	0	1	1
9795	1	1	1	0	10	549	0	1	0
9795	2	1	1	0	10	549	0	1	1
9887	1	1	1	0	2	137	0	1	0
9887	2	1	1	0	2	137	0	1	1
9903	1	1	1	0	2	137	0	1	0
9903	2	1	1	0	2	137	0	1	1
9919	1	1	1	0	2	137	0	1	0
9919	2	1	1	0	2	137	0	1	1
9935	1	1	1	0	12	621	0	1	0
9935	2	1	1	0	12	621	0	1	1
9936	1	1	1	0	12	621	0	1	0
9936	2	1	1	0	12	621	0	1	1
9951	1	1	1	0	12	621	0	1	0
9951	2	1	1	0	12	621	0	1	1
9953	1	1	1	0	12	621	0	1	0
9953	2	1	1	0	12	621	0	1	1
