% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	2	2	0	12	301	0	1	1	0
127	1	1	1	0	4	225	0	1	1	0
133	1	2	2	0	2	137	0	1	1	0
133	2	2	2	0	2	137	0	1	1	1
142	1	1	1	0	4	225	0	1	1	0
161	1	1	1	0	4	225	0	1	1	0
178	1	1	1	0	10	549	0	1	1	0
196	1	1	1	0	10	549	0	1	1	0
213	1	1	1	0	8	437	0	1	1	0
231	1	1	1	0	8	437	0	1	1	0
249	1	1	1	0	6	325	0	1	1	0
267	1	1	1	0	6	325	0	1	1	0
284	1	1	1	0	6	325	0	1	1	0
304	1	1	1	0	12	621	0	1	1	0
324	1	1	1	0	12	621	0	1	1	0
342	1	1	1	0	10	549	0	1	1	0
357	1	1	1	0	10	549	0	1	1	0
373	1	1	1	0	12	621	0	1	1	0
389	1	1	1	0	12	621	0	1	1	0
404	1	1	1	0	12	621	0	1	1	0
420	1	1	1	0	16	967	0	1	1	0
437	1	1	1	0	16	967	0	1	1	0
456	1	1	1	0	16	967	0	1	1	0
474	1	1	1	0	16	967	0	1	1	0
490	1	1	1	0	12	621	0	1	1	0
506	1	1	1	0	12	621	0	1	1	0
526	1	1	1	0	12	621	0	1	1	0
546	1	1	1	0	4	225	0	1	1	0
1196	1	1	1	0	18	1143	0	1	1	0
1214	1	1	1	0	10	549	0	1	1	0
1234	1	1	1	0	10	549	0	1	1	0
1256	1	1	1	0	2	137	0	1	1	0
1349	1	2	2	0	4	225	0	1	1	0
1366	1	2	2	0	4	225	0	1	1	0
1383	1	2	2	0	12	621	0	1	1	0
1400	1	2	2	0	12	621	0	1	1	0
1416	1	2	2	0	8	437	0	1	1	0
1432	1	2	2	0	8	437	0	1	1	0
1451	1	2	2	0	2	137	0	1	1	0
1451	2	2	2	0	2	137	0	1	1	1
2250	1	1	1	0	12	621	0	1	1	0
2267	1	1	1	0	12	621	0	1	1	0
2285	1	1	1	0	12	621	0	1	1	0
2302	1	1	1	0	10	549	0	1	1	0
2318	1	1	1	0	10	549	0	1	1	0
