% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	2	1	0	28	1095	0	1	1	0
115	1	1	2	0	24	807	0	1	1	0
131	1	2	1	0	28	1095	0	1	1	0
131	1	1	2	0	26	903	0	1	1	0
147	1	2	1	0	28	1095	0	1	1	0
147	1	1	2	0	28	1095	0	1	1	0
163	1	2	1	0	28	1095	0	1	1	0
163	1	1	2	0	28	1095	0	1	1	0
179	1	2	1	0	28	1095	0	1	1	0
179	1	1	2	0	28	1095	0	1	1	0
195	1	2	1	0	28	1095	0	1	1	0
195	1	1	2	0	28	1095	0	1	1	0
211	1	2	1	0	28	1095	0	1	1	0
211	1	1	2	0	28	1095	0	1	1	0
226	1	2	1	0	28	1095	0	1	1	0
226	1	1	2	0	28	1095	0	1	1	0
242	1	2	1	0	28	1095	0	1	1	0
242	1	1	2	0	18	549	0	1	1	0
258	1	2	1	0	28	1095	0	1	1	0
258	1	1	2	0	18	549	0	1	1	0
273	1	2	1	0	28	1095	0	1	1	0
273	1	1	2	0	18	549	0	1	1	0
289	1	2	1	0	26	903	0	1	1	0
289	1	1	2	0	14	389	0	1	1	0
305	1	2	1	0	26	903	0	1	1	0
305	1	1	2	0	14	389	0	1	1	0
320	1	2	1	0	26	903	0	1	1	0
320	1	1	2	0	14	389	0	1	1	0
336	1	2	1	0	28	1095	0	1	1	0
336	1	1	2	0	28	1095	0	1	1	0
352	1	2	1	0	28	1095	0	1	1	0
352	1	1	2	0	28	1095	0	1	1	0
368	1	2	1	0	28	1095	0	1	1	0
368	1	1	2	0	28	1095	0	1	1	0
384	1	2	1	0	28	1095	0	1	1	0
384	1	1	2	0	28	1095	0	1	1	0
400	1	2	1	0	28	1095	0	1	1	0
400	1	1	2	0	28	1095	0	1	1	0
416	1	2	1	0	28	1095	0	1	1	0
416	1	1	2	0	28	1095	0	1	1	0
431	1	2	1	0	28	1095	0	1	1	0
431	1	1	2	0	28	1095	0	1	1	0
447	1	2	1	0	28	2292	0	1	1	0
450	1	2	1	0	28	1095	0	1	0	0
450	1	1	2	0	28	1095	0	1	1	0
467	1	1	2	0	28	2292	0	1	1	0
470	1	2	1	0	28	2292	0	1	1	0
1178	1	2	1	0	28	1095	0	1	1	0
1178	1	1	2	0	28	1095	0	1	1	0
1194	1	2	1	0	28	1095	0	1	1	0
