% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	1	11	2	1	16	309	0	0	0
0.101	1	5	11	2	2	14	125	0	0	0
0.101	1	4	11	2	3	16	453	0	0	0
0.101	1	1	11	2	1	16	309	0	0	1
0.101	1	5	11	2	2	14	125	0	0	1
0.101	1	4	11	2	3	16	453	0	0	1
0.102	1	2	11	3	4	4	161	0	0	0
0.102	1	3	11	3	6	6	75	0	0	0
0.102	1	2	11	3	4	4	161	0	0	1
0.102	1	3	11	3	6	6	75	0	0	1
0.103	1	5	11	4	2	10	317	0	0	0
0.103	1	2	11	4	4	10	77	0	0	0
0.103	1	3	11	4	6	10	77	0	0	0
0.103	1	5	11	4	2	10	317	0	0	1
0.103	1	2	11	4	4	10	77	0	0	1
0.103	1	3	11	4	6	10	77	0	0	1
0.104	1	1	11	5	1	14	253	0	0	0
0.104	1	4	11	5	3	16	309	0	0	0
0.104	1	2	11	5	4	16	75	0	0	0
0.104	1	3	11	5	6	8	101	0	0	0
0.104	1	1	11	5	1	14	253	0	0	1
0.104	1	4	11	5	3	16	309	0	0	1
0.104	1	2	11	5	4	16	75	0	0	1
0.104	1	3	11	5	6	8	101	0	0	1
0.105	1	5	11	6	2	12	201	0	0	0
0.105	1	4	11	6	3	16	75	0	0	0
0.105	1	2	11	6	4	10	193	0	0	0
0.105	1	3	11	6	6	10	77	0	0	0
0.105	1	5	11	6	2	12	201	0	0	1
0.105	1	4	11	6	3	16	75	0	0	1
0.105	1	2	11	6	4	10	193	0	0	1
0.105	1	3	11	6	6	10	77	0	0	1
0.106	1	1	11	7	1	14	253	0	0	0
0.106	1	5	11	7	2	16	75	0	0	0
0.106	1	4	11	7	3	16	309	0	0	0
0.106	1	2	11	7	4	16	75	0	0	0
0.106	1	3	11	7	6	10	77	0	0	0
0.106	1	1	11	7	1	14	253	0	0	1
0.106	1	5	11	7	2	16	75	0	0	1
0.106	1	4	11	7	3	16	309	0	0	1
0.106	1	2	11	7	4	16	75	0	0	1
0.106	1	3	11	7	6	10	77	0	0	1
0.107	1	1	11	8	1	14	193	0	0	0
0.107	1	5	11	8	2	14	193	0	0	0
0.107	1	4	11	8	3	16	153	0	0	0
0.107	1	2	11	8	4	16	75	0	0	0
0.107	1	3	11	8	6	8	101	0	0	0
0.107	1	1	11	8	1	14	193	0	0	1
0.107	1	5	11	8	2	14	193	0	0	1
0.107	1	4	11	8	3	16	153	0	0	1
0.107	1	2	11	8	4	16	75	0	0	1
0.107	1	3	11	8	6	8	101	0	0	1
0.108	1	1	11	9	1	14	193	0	0	0
0.108	1	5	11	9	2	14	253	0	0	0
0.108	1	4	11	9	3	16	153	0	0	0
0.108	1	2	11	9	4	14	61	0	0	0
0.108	1	3	11	9	6	8	67	0	0	0
0.108	1	1	11	9	1	14	193	0	0	1
0.108	1	5	11	9	2	14	253	0	0	1
0.108	1	4	11	9	3	16	153	0	0	1
0.108	1	2	11	9	4	14	61	0	0	1
0.108	1	3	11	9	6	8	67	0	0	1
0.109	1	1	11	10	1	18	79	0	0	0
0.109	1	5	11	10	2	18	79	0	0	0
0.109	1	4	11	10	3	16	153	0	0	0
0.109	1	2	11	10	4	10	117	0	0	0
0.109	1	3	11	10	6	8	173	0	0	0
0.109	1	1	11	10	1	18	79	0	0	1
0.109	1	5	11	10	2	18	79	0	0	1
0.109	1	4	11	10	3	16	153	0	0	1
0.109	1	2	11	10	4	10	117	0	0	1
0.109	1	3	11	10	6	8	173	0	0	1
0.11	1	1	12	1	1	14	193	0	0	0
0.11	1	5	12	1	2	18	79	0	0	0
0.11	1	4	12	1	3	16	225	0	0	0
0.11	1	2	12	1	4	14	61	0	0	0
0.11	1	3	12	1	6	10	157	0	0	0
0.11	1	1	12	1	1	14	193	0	0	1
0.11	1	5	12	1	2	18	79	0	0	1
0.11	1	4	12	1	3	16	225	0	0	1
0.11	1	2	12	1	4	14	61	0	0	1
0.11	1	3	12	1	6	10	157	0	0	1
0.111	1	1	12	2	1	14	125	0	0	0
0.111	1	5	12	2	2	14	193	0	0	0
0.111	1	4	12	2	3	16	153	0	0	0
0.111	1	2	12	2	4	10	117	0	0	0
0.111	1	3	12	2	6	12	97	0	0	0
0.111	1	1	12	2	1	14	125	0	0	1
0.111	1	5	12	2	2	14	193	0	0	1
0.111	1	4	12	2	3	16	153	0	0	1
0.111	1	2	12	2	4	10	117	0	0	1
0.111	1	3	12	2	6	12	97	0	0	1
0.112	1	1	12	3	1	14	253	0	0	0
0.112	1	5	12	3	2	14	253	0	0	0
0.112	1	4	12	3	3	16	153	0	0	0
0.112	1	2	12	3	4	14	61	0	0	0
0.112	1	3	12	3	6	14	61	0	0	0
0.112	1	1	12	3	1	14	253	0	0	1
0.112	1	5	12	3	2	14	253	0	0	1
0.112	1	4	12	3	3	16	153	0	0	1
0.112	1	2	12	3	4	14	61	0	0	1
0.112	1	3	12	3	6	14	61	0	0	1
0.113	1	5	12	4	2	18	79	0	0	0
0.113	1	4	12	4	3	16	225	0	0	0
0.113	1	2	12	4	4	10	157	0	0	0
0.113	1	3	12	4	6	12	201	0	0	0
0.113	1	5	12	4	2	18	79	0	0	1
0.113	1	4	12	4	3	16	225	0	0	1
0.113	1	2	12	4	4	10	157	0	0	1
0.113	1	3	12	4	6	12	201	0	0	1
0.114	1	1	12	5	1	16	309	0	0	0
0.114	1	5	12	5	2	16	153	0	0	0
0.114	1	4	12	5	3	16	225	0	0	0
0.114	1	2	12	5	4	12	97	0	0	0
0.114	1	3	12	5	6	16	75	0	0	0
0.114	1	1	12	5	1	16	309	0	0	1
0.114	1	5	12	5	2	16	153	0	0	1
0.114	1	4	12	5	3	16	225	0	0	1
0.114	1	2	12	5	4	12	97	0	0	1
0.114	1	3	12	5	6	16	75	0	0	1
0.115	1	1	12	6	1	18	79	0	0	0
0.115	1	5	12	6	2	16	225	0	0	0
0.115	1	4	12	6	3	16	225	0	0	0
0.115	1	2	12	6	4	12	97	0	0	0
0.115	1	3	12	6	6	12	149	0	0	0
0.115	1	1	12	6	1	18	79	0	0	1
0.115	1	5	12	6	2	16	225	0	0	1
0.115	1	4	12	6	3	16	225	0	0	1
0.115	1	2	12	6	4	12	97	0	0	1
0.115	1	3	12	6	6	12	149	0	0	1
0.116	1	1	12	7	1	16	153	0	0	0
0.116	1	5	12	7	2	16	153	0	0	0
0.116	1	4	12	7	3	18	161	0	0	0
0.116	1	2	12	7	4	8	137	0	0	0
0.116	1	3	12	7	6	14	125	0	0	0
0.116	1	1	12	7	1	16	153	0	0	1
0.116	1	5	12	7	2	16	153	0	0	1
0.116	1	4	12	7	3	18	161	0	0	1
0.116	1	2	12	7	4	8	137	0	0	1
0.116	1	3	12	7	6	14	125	0	0	1
0.117	1	1	12	8	1	18	79	0	0	0
