% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	2	11	10	1	28	749	0
0.109	1	5	11	10	2	18	357	0
0.109	1	1	11	10	3	28	749	0
0.109	1	2	11	10	1	28	749	1
0.109	1	5	11	10	2	18	357	1
0.109	1	1	11	10	3	28	749	1
0.11	1	3	12	1	4	6	153	0
0.11	1	4	12	1	6	28	1095	0
0.11	1	3	12	1	4	6	153	1
0.11	1	4	12	1	6	28	1095	1
0.134	1	1	14	5	3	10	549	0
0.134	1	1	14	5	3	10	549	1
0.136	1	4	14	7	6	26	1908	0
0.136	1	4	14	7	6	26	1908	1
0.137	1	5	14	8	2	18	1143	0
0.137	1	5	14	8	2	18	1143	1
0.171	1	5	18	2	2	28	2292	0
0.171	1	5	18	2	2	28	2292	1
1.164	1	5	117	5	2	20	1335	0
1.164	1	5	117	5	2	20	1335	1
2.192	1	5	220	3	2	22	1431	0
2.192	1	5	220	3	2	22	1431	1
2.223	1	5	223	4	2	20	1335	0
2.223	1	5	223	4	2	20	1335	1
3.135	1	2	314	6	1	8	437	0
3.135	1	2	314	6	1	8	437	1
4.364	1	2	437	5	1	18	1143	0
4.364	1	2	437	5	1	18	1143	1
4.593	1	2	460	4	1	22	1431	0
4.593	1	2	460	4	1	22	1431	1
5.823	1	2	583	4	1	12	621	0
5.823	1	2	583	4	1	12	621	1
9.051	1	2	906	2	1	22	1431	0
9.051	1	2	906	2	1	22	1431	1
