% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	3	11	10	1	28	2292	0
0.109	1	3	11	10	1	28	2292	1
0.116	1	3	12	7	1	28	2292	0
0.117	1	2	12	8	2	26	1908	0
0.117	1	2	12	8	2	26	1908	1
0.133	1	3	14	4	1	8	437	0
0.133	1	3	14	4	1	8	437	1
0.134	1	2	14	5	2	28	1095	0
0.134	1	3	14	5	1	24	807	0
0.134	1	2	14	5	2	28	1095	1
0.134	1	3	14	5	1	24	807	1
0.136	1	2	14	7	2	28	2292	0
0.136	1	2	14	7	2	28	2292	1
0.149	1	3	15	10	1	8	437	0
0.149	1	3	15	10	1	8	437	1
0.15	1	2	16	1	2	28	1095	0
0.15	1	3	16	1	1	24	807	0
0.15	1	2	16	1	2	28	1095	1
0.15	1	3	16	1	1	24	807	1
0.151	1	2	16	2	2	28	1095	0
0.151	1	3	16	2	1	24	807	0
0.151	1	2	16	2	2	28	1095	1
0.151	1	3	16	2	1	24	807	1
0.152	1	2	16	3	2	28	1095	0
0.152	1	3	16	3	1	24	807	0
0.152	1	2	16	3	2	28	1095	1
0.152	1	3	16	3	1	24	807	1
0.153	1	2	16	4	2	28	2292	0
0.153	1	2	16	4	2	28	2292	1
0.162	1	1	17	3	3	28	2292	0
0.162	1	1	17	3	3	28	2292	1
0.164	1	3	17	5	1	28	2292	0
0.164	1	3	17	5	1	28	2292	1
0.165	1	3	17	6	1	28	2292	0
0.165	1	3	17	6	1	28	2292	1
0.166	1	3	17	7	1	28	2292	0
0.166	1	3	17	7	1	28	2292	1
0.167	1	3	17	8	1	28	2292	0
0.167	1	3	17	8	1	28	2292	1
0.179	1	3	18	10	1	28	2292	0
0.179	1	3	18	10	1	28	2292	1
0.18	1	3	19	1	1	28	2292	0
0.18	1	3	19	1	1	28	2292	1
0.181	1	3	19	2	1	28	2292	0
0.181	1	3	19	2	1	28	2292	1
0.182	1	3	19	3	1	28	2292	0
0.182	1	3	19	3	1	28	2292	1
0.192	1	2	20	3	2	28	2292	0
0.192	1	2	20	3	2	28	2292	1
0.193	1	2	20	4	2	28	2292	0
0.193	1	2	20	4	2	28	2292	1
0.194	1	2	20	5	2	28	2292	0
0.194	1	2	20	5	2	28	2292	1
0.195	1	3	20	6	1	28	2292	0
0.195	1	3	20	6	1	28	2292	1
0.196	1	3	20	7	1	28	2292	0
0.196	1	3	20	7	1	28	2292	1
0.199	1	2	20	10	2	28	2292	0
0.21	1	3	22	1	1	28	2292	0
0.21	1	3	22	1	1	28	2292	1
0.211	1	3	22	2	1	28	2292	0
0.211	1	3	22	2	1	28	2292	1
0.212	1	3	22	3	1	28	2292	0
0.212	1	3	22	3	1	28	2292	1
0.225	1	3	23	6	1	28	2292	0
0.225	1	3	23	6	1	28	2292	1
0.226	1	3	23	7	1	28	2292	0
0.226	1	3	23	7	1	28	2292	1
0.232	1	3	24	3	1	28	2292	0
0.247	1	3	25	8	1	10	549	0
0.247	1	3	25	8	1	10	549	1
0.248	1	3	25	9	1	10	549	0
0.248	1	3	25	9	1	10	549	1
0.263	1	3	27	4	1	10	549	0
0.263	1	3	27	4	1	10	549	1
0.264	1	3	27	5	1	10	549	0
0.264	1	3	27	5	1	10	549	1
0.267	1	1	27	8	3	26	1908	0
0.267	1	1	27	8	3	26	1908	1
0.278	1	3	28	9	1	10	549	0
0.278	1	3	28	9	1	10	549	1
0.279	1	3	28	10	1	10	549	0
0.279	1	3	28	10	1	10	549	1
0.293	1	3	30	4	1	8	437	0
0.293	1	3	30	4	1	8	437	1
0.294	1	3	30	5	1	8	437	0
0.294	1	3	30	5	1	8	437	1
0.308	1	3	31	9	1	8	437	0
0.308	1	3	31	9	1	8	437	1
0.309	1	3	31	10	1	8	437	0
0.309	1	3	31	10	1	8	437	1
0.323	1	3	33	4	1	4	225	0
0.323	1	3	33	4	1	4	225	1
0.324	1	3	33	5	1	4	225	0
0.324	1	3	33	5	1	4	225	1
0.339	1	3	34	10	1	4	225	0
0.339	1	3	34	10	1	4	225	1
0.355	1	3	36	6	1	4	225	0
0.355	1	3	36	6	1	4	225	1
0.37	1	3	38	1	1	18	1143	0
0.37	1	3	38	1	1	18	1143	1
0.371	1	3	38	2	1	18	1143	0
0.371	1	3	38	2	1	18	1143	1
0.385	1	3	39	6	1	18	1143	0
0.385	1	3	39	6	1	18	1143	1
0.386	1	3	39	7	1	18	1143	0
0.386	1	3	39	7	1	18	1143	1
0.401	1	3	41	2	1	22	1431	0
0.401	1	3	41	2	1	22	1431	1
0.402	1	3	41	3	1	22	1431	0
0.402	1	3	41	3	1	22	1431	1
0.416	1	3	42	7	1	22	1431	0
0.416	1	3	42	7	1	22	1431	1
0.417	1	3	42	8	1	22	1431	0
0.417	1	3	42	8	1	22	1431	1
0.431	1	3	44	2	1	22	1431	0
0.431	1	3	44	2	1	22	1431	1
0.432	1	3	44	3	1	22	1431	0
0.432	1	3	44	3	1	22	1431	1
0.446	1	3	45	7	1	26	1908	0
0.446	1	3	45	7	1	26	1908	1
0.447	1	3	45	8	1	26	1908	0
0.447	1	3	45	8	1	26	1908	1
0.461	1	3	47	2	1	26	1908	0
0.461	1	3	47	2	1	26	1908	1
0.462	1	3	47	3	1	26	1908	0
0.462	1	3	47	3	1	26	1908	1
0.475	1	1	48	6	3	28	2292	0
0.475	1	1	48	6	3	28	2292	1
0.476	1	3	48	7	1	26	1908	0
0.476	1	3	48	7	1	26	1908	1
0.477	1	3	48	8	1	26	1908	0
0.477	1	3	48	8	1	26	1908	1
0.483	1	3	49	4	1	26	1908	0
0.498	1	3	50	9	1	4	225	0
0.498	1	3	50	9	1	4	225	1
0.499	1	4	50	10	6	16	453	0
0.499	1	3	50	10	1	26	903	0
0.499	1	4	50	10	6	16	453	1
0.499	1	3	50	10	1	26	903	1
0.514	1	3	52	5	1	4	225	0
0.514	1	3	52	5	1	4	225	1
0.515	1	3	52	6	1	4	225	0
0.515	1	3	52	6	1	4	225	1
0.528	1	5	53	9	4	28	2292	0
0.528	1	5	53	9	4	28	2292	1
0.53	1	3	54	1	1	12	621	0
0.53	1	3	54	1	1	12	621	1
0.531	1	3	54	2	1	12	621	0
0.531	1	3	54	2	1	12	621	1
0.532	1	3	54	3	1	12	621	0
0.532	1	3	54	3	1	12	621	1
0.545	1	3	55	6	1	12	621	0
0.545	1	3	55	6	1	12	621	1
0.546	1	3	55	7	1	12	621	0
0.546	1	3	55	7	1	12	621	1
0.56	1	3	57	1	1	12	621	0
0.56	1	3	57	1	1	12	621	1
0.561	1	3	57	2	1	22	1431	0
0.561	1	3	57	2	1	22	1431	1
0.575	1	3	58	6	1	22	1431	0
0.575	1	3	58	6	1	22	1431	1
1.179	1	3	118	10	1	28	2292	0
1.179	1	3	118	10	1	28	2292	1
1.195	1	3	120	6	1	28	2292	0
1.195	1	3	120	6	1	28	2292	1
1.202	1	3	121	3	1	28	2292	0
1.217	1	3	122	8	1	10	549	0
1.217	1	3	122	8	1	10	549	1
1.221	1	2	123	2	2	20	1335	0
1.221	1	2	123	2	2	20	1335	1
1.237	1	2	124	8	2	20	1335	0
1.237	1	2	124	8	2	20	1335	1
1.238	1	3	124	9	1	28	1095	0
1.238	1	2	124	9	2	28	1095	0
1.238	1	3	124	9	1	28	1095	1
1.238	1	2	124	9	2	28	1095	1
1.254	1	3	126	5	1	22	1431	0
1.254	1	3	126	5	1	22	1431	1
1.256	1	2	126	7	2	8	437	0
1.256	1	2	126	7	2	8	437	1
1.259	1	2	126	10	2	8	437	0
1.259	1	2	126	10	2	8	437	1
1.269	1	3	127	10	1	22	1431	0
1.269	1	3	127	10	1	22	1431	1
1.27	1	3	128	1	1	22	1431	0
1.27	1	3	128	1	1	22	1431	1
1.271	1	3	128	2	1	22	1431	0
1.271	1	3	128	2	1	22	1431	1
1.283	1	2	129	4	2	20	1335	0
1.283	1	2	129	4	2	20	1335	1
1.284	1	3	129	5	1	28	2292	0
1.284	1	3	129	5	1	28	2292	1
1.285	1	3	129	6	1	28	2292	0
1.285	1	3	129	6	1	28	2292	1
1.286	1	3	129	7	1	28	2292	0
1.286	1	3	129	7	1	28	2292	1
1.3	1	3	131	1	1	28	2292	0
1.3	1	3	131	1	1	28	2292	1
1.301	1	3	131	2	1	28	2292	0
1.301	1	3	131	2	1	28	2292	1
1.311	1	2	132	2	2	20	1335	0
1.311	1	2	132	2	2	20	1335	1
1.316	1	3	132	7	1	28	2292	0
1.316	1	3	132	7	1	28	2292	1
1.331	1	3	134	2	1	28	2292	0
1.331	1	3	134	2	1	28	2292	1
1.332	1	3	134	3	1	28	2292	0
1.332	1	3	134	3	1	28	2292	1
1.347	1	3	135	8	1	28	2292	0
1.347	1	3	135	8	1	28	2292	1
1.348	1	3	135	9	1	28	2292	0
1.348	1	3	135	9	1	28	2292	1
1.363	1	3	137	4	1	28	2292	0
1.363	1	3	137	4	1	28	2292	1
1.364	1	3	137	5	1	28	2292	0
1.364	1	3	137	5	1	28	2292	1
1.378	1	3	138	9	1	28	2292	0
1.378	1	3	138	9	1	28	2292	1
1.379	1	3	138	10	1	28	2292	0
1.379	1	3	138	10	1	28	2292	1
1.393	1	3	140	4	1	28	2292	0
1.393	1	3	140	4	1	28	2292	1
1.394	1	3	140	5	1	28	2292	0
1.394	1	3	140	5	1	28	2292	1
1.395	1	3	140	6	1	28	2292	0
1.395	1	3	140	6	1	28	2292	1
1.409	1	3	141	10	1	28	2292	0
1.409	1	3	141	10	1	28	2292	1
1.41	1	3	142	1	1	28	2292	0
1.41	1	3	142	1	1	28	2292	1
1.424	1	3	143	5	1	28	2292	0
1.424	1	3	143	5	1	28	2292	1
1.425	1	3	143	6	1	28	2292	0
1.425	1	3	143	6	1	28	2292	1
1.426	1	3	143	7	1	28	2292	0
1.426	1	3	143	7	1	28	2292	1
1.44	1	3	145	1	1	28	2292	0
1.44	1	3	145	1	1	28	2292	1
1.441	1	3	145	2	1	28	2292	0
1.441	1	3	145	2	1	28	2292	1
1.455	1	3	146	6	1	28	2292	0
1.455	1	3	146	6	1	28	2292	1
1.456	1	3	146	7	1	28	2292	0
1.456	1	3	146	7	1	28	2292	1
1.471	1	3	148	2	1	28	2292	0
1.471	1	3	148	2	1	28	2292	1
1.487	1	3	149	8	1	6	325	0
1.487	1	3	149	8	1	6	325	1
1.503	1	3	151	4	1	6	325	0
1.503	1	3	151	4	1	6	325	1
1.504	1	3	151	5	1	6	325	0
1.504	1	3	151	5	1	6	325	1
1.518	1	3	152	9	1	6	325	0
1.518	1	3	152	9	1	6	325	1
1.519	1	3	152	10	1	6	325	0
1.519	1	3	152	10	1	6	325	1
1.534	1	3	154	5	1	28	2292	0
1.534	1	3	154	5	1	28	2292	1
1.549	1	3	155	10	1	28	2292	0
1.549	1	3	155	10	1	28	2292	1
1.55	1	3	156	1	1	28	2292	0
1.55	1	3	156	1	1	28	2292	1
1.564	1	3	157	5	1	24	1692	0
1.564	1	3	157	5	1	24	1692	1
1.565	1	3	157	6	1	24	1692	0
