% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	3	11	10	1	18	357	0
0.109	1	5	11	10	2	28	749	0
0.109	1	2	11	10	3	28	749	0
0.109	1	3	11	10	1	18	357	1
0.109	1	5	11	10	2	28	749	1
0.109	1	2	11	10	3	28	749	1
0.11	1	4	12	1	4	28	1095	0
0.11	1	1	12	1	6	26	903	0
0.11	1	4	12	1	4	28	1095	1
0.11	1	1	12	1	6	26	903	1
0.135	1	5	14	6	2	14	807	0
0.135	1	5	14	6	2	14	807	1
0.136	1	1	14	7	6	12	621	0
0.136	1	1	14	7	6	12	621	1
0.142	1	2	15	3	3	10	549	0
0.142	1	2	15	3	3	10	549	1
0.338	1	5	34	9	2	14	807	0
0.338	1	5	34	9	2	14	807	1
1.135	1	4	114	6	4	26	1908	0
1.135	1	4	114	6	4	26	1908	1
3.137	1	3	314	8	1	20	1335	0
3.137	1	3	314	8	1	20	1335	1
3.363	1	1	337	4	6	26	1908	0
3.363	1	1	337	4	6	26	1908	1
4.361	1	4	437	2	4	14	807	0
4.361	1	4	437	2	4	14	807	1
6.587	1	1	659	8	6	18	1143	0
6.587	1	1	659	8	6	18	1143	1
