% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	2	1	0	28	2292	0	1	0
115	2	2	1	0	28	2292	0	1	1
123	1	1	2	0	12	301	0	1	0
123	1	5	3	0	28	1095	0	1	0
123	2	1	2	0	12	301	0	1	1
123	2	5	3	0	28	1095	0	1	1
130	1	2	1	0	28	2292	0	1	0
130	2	2	1	0	28	2292	0	1	1
131	1	2	1	0	28	2292	0	1	0
131	2	2	1	0	28	2292	0	1	1
132	1	2	1	0	28	2292	0	1	0
132	2	2	1	0	28	2292	0	1	1
146	1	2	1	0	28	2292	0	1	0
146	2	2	1	0	28	2292	0	1	1
147	1	2	1	0	28	2292	0	1	0
147	2	2	1	0	28	2292	0	1	1
161	1	2	1	0	28	2292	0	1	0
161	2	2	1	0	28	2292	0	1	1
162	1	2	1	0	28	2292	0	1	0
162	2	2	1	0	28	2292	0	1	1
177	1	2	1	0	28	2292	0	1	0
177	2	2	1	0	28	2292	0	1	1
178	1	2	1	0	28	2292	0	1	0
178	2	2	1	0	28	2292	0	1	1
193	1	2	1	0	28	2292	0	1	0
193	2	2	1	0	28	2292	0	1	1
194	1	2	1	0	28	2292	0	1	0
194	2	2	1	0	28	2292	0	1	1
208	1	2	1	0	8	437	0	1	0
208	2	2	1	0	8	437	0	1	1
209	1	2	1	0	8	437	0	1	0
209	2	2	1	0	8	437	0	1	1
223	1	2	1	0	8	437	0	1	0
223	2	2	1	0	8	437	0	1	1
224	1	2	1	0	8	437	0	1	0
224	2	2	1	0	8	437	0	1	1
225	1	2	1	0	8	437	0	1	0
225	2	2	1	0	8	437	0	1	1
239	1	2	1	0	8	437	0	1	0
239	2	2	1	0	8	437	0	1	1
240	1	2	1	0	8	437	0	1	0
240	2	2	1	0	8	437	0	1	1
254	1	2	1	0	28	2292	0	1	0
254	2	2	1	0	28	2292	0	1	1
255	1	2	1	0	28	2292	0	1	0
255	2	2	1	0	28	2292	0	1	1
288	1	2	1	0	28	2292	0	1	0
288	2	2	1	0	28	2292	0	1	1
289	1	2	1	0	28	2292	0	1	0
289	2	2	1	0	28	2292	0	1	1
290	1	2	1	0	28	2292	0	1	0
290	2	2	1	0	28	2292	0	1	1
304	1	2	1	0	28	2292	0	1	0
304	2	2	1	0	28	2292	0	1	1
305	1	2	1	0	28	2292	0	1	0
305	2	2	1	0	28	2292	0	1	1
319	1	2	1	0	28	2292	0	1	0
319	2	2	1	0	28	2292	0	1	1
320	1	2	1	0	28	2292	0	1	0
320	2	2	1	0	28	2292	0	1	1
335	1	2	1	0	24	1692	0	1	0
335	2	2	1	0	24	1692	0	1	1
336	1	2	1	0	24	1692	0	1	0
336	2	2	1	0	24	1692	0	1	1
351	1	2	1	0	24	1692	0	1	0
351	2	2	1	0	24	1692	0	1	1
352	1	2	1	0	24	1692	0	1	0
352	2	2	1	0	24	1692	0	1	1
366	1	2	1	0	24	1692	0	1	0
366	2	2	1	0	24	1692	0	1	1
367	1	2	1	0	28	2292	0	1	0
367	2	2	1	0	28	2292	0	1	1
382	1	2	1	0	28	2292	0	1	0
382	2	2	1	0	28	2292	0	1	1
383	1	2	1	0	28	2292	0	1	0
383	2	2	1	0	28	2292	0	1	1
398	1	2	1	0	28	2292	0	1	0
398	2	2	1	0	28	2292	0	1	1
399	1	2	1	0	28	2292	0	1	0
399	2	2	1	0	28	2292	0	1	1
413	1	2	1	0	28	2292	0	1	0
413	2	2	1	0	28	2292	0	1	1
414	1	2	1	0	28	2292	0	1	0
414	2	2	1	0	28	2292	0	1	1
429	1	2	1	0	28	2292	0	1	0
429	2	2	1	0	28	2292	0	1	1
430	1	2	1	0	28	2292	0	1	0
430	2	2	1	0	28	2292	0	1	1
445	1	2	1	0	28	2292	0	1	0
445	2	2	1	0	28	2292	0	1	1
446	1	2	1	0	28	2292	0	1	0
