% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	5	1	0	28	277	0	1	1	0
115	1	6	2	0	28	277	0	1	1	0
115	1	10	3	0	28	277	0	1	1	0
115	1	9	4	0	28	277	0	1	1	0
115	1	8	7	0	28	277	0	1	1	0
115	1	2	8	0	28	277	0	1	1	0
115	1	7	9	0	22	173	0	1	1	0
115	1	1	10	0	28	277	0	1	1	0
116	1	4	11	0	28	1095	0	1	1	0
116	1	3	12	0	28	1095	0	1	1	0
164	1	2	8	0	20	1335	0	1	1	0
1156	1	3	12	0	28	2292	0	1	0	0
1163	1	3	12	0	28	2292	1	0	1	0
3157	1	8	7	0	28	2292	0	1	1	0
4402	1	3	12	0	28	2292	0	1	1	0
7385	1	2	8	0	28	2292	0	1	0	0
7392	1	2	8	0	28	2292	1	0	1	0
