% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	9	11	2	1	6	49	0	0	0
0.101	1	1	11	2	2	4	32	0	0	0
0.101	1	7	11	2	3	8	32	0	0	0
0.101	1	3	11	2	4	0	32	0	0	0
0.101	1	5	11	2	8	10	37	0	0	0
0.101	1	8	11	2	14	4	15	0	0	0
0.101	1	9	11	2	1	6	49	0	0	1
0.101	1	1	11	2	2	6	22	0	0	1
0.101	1	7	11	2	3	8	32	0	0	1
0.101	1	3	11	2	4	4	15	0	0	1
0.101	1	2	11	2	7	8	32	0	0	1
0.101	1	5	11	2	8	8	32	0	0	1
0.101	1	10	11	2	10	0	11	0	0	1
0.101	1	6	11	2	13	10	37	0	0	1
0.101	1	8	11	2	14	6	49	0	0	1
0.102	1	9	11	3	1	8	32	0	0	0
0.102	1	1	11	3	2	6	22	0	0	0
0.102	1	7	11	3	3	6	22	0	0	0
0.102	1	3	11	3	4	2	22	0	0	0
0.102	1	5	11	3	8	0	47	0	0	0
0.102	1	9	11	3	1	8	32	0	0	1
0.102	1	1	11	3	2	6	22	0	0	1
0.102	1	2	11	3	7	8	32	0	0	1
0.102	1	5	11	3	8	6	75	0	0	1
0.102	1	10	11	3	10	4	15	0	0	1
0.102	1	6	11	3	13	4	51	0	0	1
0.102	1	8	11	3	14	4	32	0	0	1
0.103	1	9	11	4	1	8	32	0	0	0
0.103	1	1	11	4	2	6	22	0	0	0
0.103	1	7	11	4	3	6	22	0	0	0
0.103	1	3	11	4	4	2	22	0	0	0
0.103	1	5	11	4	8	0	47	0	0	0
0.103	1	1	11	4	2	6	22	0	0	1
0.103	1	5	11	4	8	8	32	0	0	1
0.103	1	4	11	4	9	2	32	0	0	1
0.103	1	10	11	4	10	0	47	0	0	1
0.104	1	9	11	5	1	8	32	0	0	0
0.104	1	1	11	5	2	6	22	0	0	0
0.104	1	7	11	5	3	6	22	0	0	0
0.104	1	3	11	5	4	2	22	0	0	0
0.104	1	5	11	5	8	0	47	0	0	0
0.104	1	9	11	5	1	8	32	0	0	1
0.104	1	2	11	5	7	8	67	0	0	1
0.104	1	5	11	5	8	4	51	0	0	1
0.104	1	4	11	5	9	4	32	0	0	1
0.104	1	10	11	5	10	4	15	0	0	1
0.104	1	6	11	5	13	4	51	0	0	1
0.105	1	9	11	6	1	8	32	0	0	0
0.105	1	1	11	6	2	6	22	0	0	0
0.105	1	7	11	6	3	6	22	0	0	0
0.105	1	3	11	6	4	2	22	0	0	0
0.105	1	5	11	6	8	0	47	0	0	0
0.105	1	9	11	6	1	8	32	0	0	1
0.105	1	2	11	6	7	8	67	0	0	1
0.105	1	5	11	6	8	4	51	0	0	1
0.105	1	10	11	6	10	4	15	0	0	1
0.105	1	6	11	6	13	4	51	0	0	1
0.105	1	8	11	6	14	4	32	0	0	1
0.106	1	9	11	7	1	6	22	0	0	0
0.106	1	1	11	7	2	6	22	0	0	0
0.106	1	7	11	7	3	6	22	0	0	0
0.106	1	3	11	7	4	2	22	0	0	0
0.106	1	5	11	7	8	0	47	0	0	0
0.106	1	9	11	7	1	6	22	0	0	1
0.106	1	2	11	7	7	8	67	0	0	1
0.106	1	5	11	7	8	4	51	0	0	1
0.106	1	10	11	7	10	4	15	0	0	1
0.106	1	6	11	7	13	4	51	0	0	1
0.106	1	8	11	7	14	4	32	0	0	1
0.107	1	9	11	8	1	6	22	0	0	0
0.107	1	1	11	8	2	6	22	0	0	0
0.107	1	7	11	8	3	6	22	0	0	0
0.107	1	3	11	8	4	2	22	0	0	0
0.107	1	5	11	8	8	0	47	0	0	0
0.107	1	9	11	8	1	6	22	0	0	1
0.107	1	2	11	8	7	10	37	0	0	1
0.107	1	5	11	8	8	4	69	0	0	1
0.107	1	10	11	8	10	4	15	0	0	1
0.107	1	6	11	8	13	4	51	0	0	1
0.107	1	8	11	8	14	4	32	0	0	1
0.108	1	9	11	9	1	6	22	0	0	0
0.108	1	1	11	9	2	8	32	0	0	0
0.108	1	7	11	9	3	6	22	0	0	0
0.108	1	3	11	9	4	2	22	0	0	0
0.108	1	5	11	9	8	0	47	0	0	0
0.108	1	9	11	9	1	6	22	0	0	1
0.108	1	3	11	9	4	2	9	0	0	1
0.108	1	2	11	9	7	10	37	0	0	1
0.108	1	5	11	9	8	4	51	0	0	1
0.108	1	10	11	9	10	4	15	0	0	1
0.108	1	6	11	9	13	4	51	0	0	1
0.108	1	8	11	9	14	4	32	0	0	1
0.109	1	9	11	10	1	6	22	0	0	0
0.109	1	1	11	10	2	8	32	0	0	0
0.109	1	7	11	10	3	6	22	0	0	0
0.109	1	3	11	10	4	2	22	0	0	0
0.109	1	5	11	10	8	0	47	0	0	0
0.109	1	9	11	10	1	6	22	0	0	1
0.109	1	1	11	10	2	8	32	0	0	1
0.109	1	3	11	10	4	2	9	0	0	1
0.109	1	5	11	10	8	4	51	0	0	1
0.109	1	10	11	10	10	4	15	0	0	1
0.109	1	6	11	10	13	4	51	0	0	1
0.109	1	8	11	10	14	4	32	0	0	1
0.11	1	9	12	1	1	6	22	0	0	0
0.11	1	1	12	1	2	6	49	0	0	0
0.11	1	7	12	1	3	8	32	0	0	0
0.11	1	3	12	1	4	2	22	0	0	0
0.11	1	5	12	1	8	0	41	0	0	0
0.11	1	9	12	1	1	6	22	0	0	1
0.11	1	1	12	1	2	6	49	0	0	1
0.11	1	3	12	1	4	2	9	0	0	1
0.11	1	5	12	1	8	4	51	0	0	1
0.11	1	10	12	1	10	4	15	0	0	1
0.11	1	6	12	1	13	4	32	0	0	1
0.11	1	8	12	1	14	4	32	0	0	1
0.111	1	9	12	2	1	6	22	0	0	0
0.111	1	1	12	2	2	6	49	0	0	0
0.111	1	7	12	2	3	8	32	0	0	0
0.111	1	3	12	2	4	2	22	0	0	0
0.111	1	5	12	2	8	0	41	0	0	0
0.111	1	9	12	2	1	6	22	0	0	1
0.111	1	1	12	2	2	6	49	0	0	1
0.111	1	3	12	2	4	2	9	0	0	1
0.111	1	5	12	2	8	4	51	0	0	1
0.111	1	10	12	2	10	4	15	0	0	1
0.111	1	6	12	2	13	4	32	0	0	1
0.111	1	8	12	2	14	4	32	0	0	1
0.112	1	9	12	3	1	6	22	0	0	0
0.112	1	1	12	3	2	6	49	0	0	0
0.112	1	7	12	3	3	8	32	0	0	0
0.112	1	3	12	3	4	2	9	0	0	0
0.112	1	5	12	3	8	0	47	0	0	0
0.112	1	9	12	3	1	6	22	0	0	1
0.112	1	1	12	3	2	6	49	0	0	1
0.112	1	5	12	3	8	4	69	0	0	1
0.112	1	10	12	3	10	4	15	0	0	1
0.112	1	6	12	3	13	4	32	0	0	1
0.112	1	8	12	3	14	4	32	0	0	1
0.113	1	9	12	4	1	6	22	0	0	0
0.113	1	1	12	4	2	6	49	0	0	0
0.113	1	7	12	4	3	8	32	0	0	0
0.113	1	5	12	4	8	0	53	0	0	0
0.113	1	9	12	4	1	6	22	0	0	1
0.113	1	1	12	4	2	6	49	0	0	1
0.113	1	5	12	4	8	4	87	0	0	1
0.113	1	6	12	4	13	4	32	0	0	1
0.113	1	8	12	4	14	4	32	0	0	1
0.114	1	9	12	5	1	6	22	0	0	0
0.114	1	1	12	5	2	6	49	0	0	0
0.114	1	7	12	5	3	8	32	0	0	0
0.114	1	5	12	5	8	0	53	0	0	0
0.114	1	9	12	5	1	6	22	0	0	1
0.114	1	1	12	5	2	6	49	0	0	1
0.114	1	5	12	5	8	4	87	0	0	1
0.114	1	6	12	5	13	4	32	0	0	1
0.114	1	8	12	5	14	4	32	0	0	1
0.115	1	9	12	6	1	6	22	0	0	0
0.115	1	1	12	6	2	6	49	0	0	0
0.115	1	7	12	6	3	8	32	0	0	0
0.115	1	3	12	6	4	2	9	0	0	0
0.115	1	5	12	6	8	0	47	0	0	0
0.115	1	9	12	6	1	6	22	0	0	1
0.115	1	1	12	6	2	6	49	0	0	1
0.115	1	5	12	6	8	4	87	0	0	1
0.115	1	6	12	6	13	4	32	0	0	1
0.115	1	8	12	6	14	4	32	0	0	1
0.116	1	9	12	7	1	4	15	0	0	0
0.116	1	1	12	7	2	6	49	0	0	0
0.116	1	7	12	7	3	8	32	0	0	0
0.116	1	3	12	7	4	0	26	0	0	0
0.116	1	5	12	7	8	4	69	0	0	0
0.116	1	1	12	7	2	6	22	0	0	1
0.116	1	3	12	7	4	2	9	0	0	1
0.116	1	2	12	7	7	8	32	0	0	1
0.116	1	5	12	7	8	4	69	0	0	1
0.116	1	6	12	7	13	4	51	0	0	1
0.116	1	8	12	7	14	4	32	0	0	1
0.117	1	9	12	8	1	4	15	0	0	0
0.117	1	1	12	8	2	6	49	0	0	0
0.117	1	7	12	8	3	8	32	0	0	0
0.117	1	3	12	8	4	0	26	0	0	0
0.117	1	5	12	8	8	4	69	0	0	0
0.117	1	1	12	8	2	6	49	0	0	1
0.117	1	7	12	8	3	8	32	0	0	1
0.117	1	3	12	8	4	2	9	0	0	1
0.117	1	5	12	8	8	4	69	0	0	1
0.117	1	6	12	8	13	4	51	0	0	1
0.117	1	8	12	8	14	6	22	0	0	1
0.118	1	9	12	9	1	4	15	0	0	0
0.118	1	1	12	9	2	8	67	0	0	0
0.118	1	7	12	9	3	8	32	0	0	0
0.118	1	3	12	9	4	0	26	0	0	0
0.118	1	5	12	9	8	4	69	0	0	0
0.118	1	1	12	9	2	8	67	0	0	1
0.118	1	7	12	9	3	8	32	0	0	1
0.118	1	3	12	9	4	2	9	0	0	1
0.118	1	5	12	9	8	4	69	0	0	1
0.118	1	6	12	9	13	4	51	0	0	1
0.118	1	8	12	9	14	6	22	0	0	1
0.119	1	9	12	10	1	4	15	0	0	0
0.119	1	1	12	10	2	8	67	0	0	0
0.119	1	3	12	10	4	0	26	0	0	0
0.119	1	5	12	10	8	2	53	0	0	0
0.119	1	1	12	10	2	8	67	0	0	1
0.119	1	3	12	10	4	2	9	0	0	1
0.119	1	5	12	10	8	2	32	0	0	1
0.119	1	10	12	10	10	4	32	0	0	1
0.119	1	6	12	10	13	4	51	0	0	1
0.119	1	8	12	10	14	6	22	0	0	1
0.12	1	9	13	1	1	4	15	0	0	0
0.12	1	1	13	1	2	8	67	0	0	0
0.12	1	7	13	1	3	10	37	0	0	0
0.12	1	3	13	1	4	0	26	0	0	0
0.12	1	5	13	1	8	4	69	0	0	0
0.12	1	1	13	1	2	8	67	0	0	1
0.12	1	7	13	1	3	10	37	0	0	1
0.12	1	3	13	1	4	2	9	0	0	1
0.12	1	5	13	1	8	4	32	0	0	1
0.12	1	4	13	1	9	4	15	0	0	1
0.12	1	10	13	1	10	4	32	0	0	1
0.12	1	6	13	1	13	4	51	0	0	1
0.121	1	9	13	2	1	4	15	0	0	0
0.121	1	1	13	2	2	8	67	0	0	0
0.121	1	7	13	2	3	10	37	0	0	0
0.121	1	3	13	2	4	0	26	0	0	0
0.121	1	5	13	2	8	4	69	0	0	0
0.121	1	1	13	2	2	8	67	0	0	1
0.121	1	7	13	2	3	10	37	0	0	1
0.121	1	3	13	2	4	2	9	0	0	1
0.121	1	5	13	2	8	4	32	0	0	1
0.121	1	10	13	2	10	4	32	0	0	1
0.121	1	6	13	2	13	4	51	0	0	1
0.121	1	8	13	2	14	6	22	0	0	1
0.122	1	9	13	3	1	4	15	0	0	0
0.122	1	1	13	3	2	8	67	0	0	0
0.122	1	7	13	3	3	10	37	0	0	0
0.122	1	3	13	3	4	0	26	0	0	0
0.122	1	5	13	3	8	4	69	0	0	0
0.122	1	1	13	3	2	8	67	0	0	1
0.122	1	7	13	3	3	10	37	0	0	1
0.122	1	3	13	3	4	2	9	0	0	1
0.122	1	5	13	3	8	4	32	0	0	1
0.122	1	10	13	3	10	4	32	0	0	1
0.122	1	6	13	3	13	4	51	0	0	1
0.122	1	8	13	3	14	6	22	0	0	1
0.123	1	9	13	4	1	4	15	0	0	0
0.123	1	1	13	4	2	8	67	0	0	0
0.123	1	7	13	4	3	10	37	0	0	0
0.123	1	3	13	4	4	0	19	0	0	0
0.123	1	5	13	4	8	2	53	0	0	0
0.123	1	1	13	4	2	8	67	0	0	1
0.123	1	7	13	4	3	10	37	0	0	1
0.123	1	5	13	4	8	6	75	0	0	1
0.123	1	10	13	4	10	2	22	0	0	1
0.123	1	6	13	4	13	4	51	0	0	1
0.123	1	8	13	4	14	6	22	0	0	1
0.124	1	9	13	5	1	4	15	0	0	0
0.124	1	1	13	5	2	8	67	0	0	0
0.124	1	7	13	5	3	10	37	0	0	0
0.124	1	3	13	5	4	0	19	0	0	0
0.124	1	5	13	5	8	2	53	0	0	0
0.124	1	1	13	5	2	8	67	0	0	1
0.124	1	7	13	5	3	10	37	0	0	1
0.124	1	3	13	5	4	4	15	0	0	1
0.124	1	5	13	5	8	6	75	0	0	1
0.124	1	10	13	5	10	2	22	0	0	1
0.124	1	6	13	5	13	4	32	0	0	1
0.124	1	8	13	5	14	6	22	0	0	1
0.125	1	9	13	6	1	4	15	0	0	0
0.125	1	1	13	6	2	8	67	0	0	0
0.125	1	7	13	6	3	10	37	0	0	0
0.125	1	3	13	6	4	0	19	0	0	0
0.125	1	5	13	6	8	2	53	0	0	0
0.125	1	1	13	6	2	8	67	0	0	1
0.125	1	7	13	6	3	10	37	0	0	1
0.125	1	3	13	6	4	4	15	0	0	1
0.125	1	5	13	6	8	8	67	0	0	1
0.125	1	10	13	6	10	2	32	0	0	1
0.125	1	6	13	6	13	4	32	0	0	1
0.125	1	8	13	6	14	6	22	0	0	1
0.126	1	9	13	7	1	6	22	0	0	0
0.126	1	1	13	7	2	8	67	0	0	0
0.126	1	7	13	7	3	10	37	0	0	0
0.126	1	3	13	7	4	0	26	0	0	0
0.126	1	5	13	7	8	2	41	0	0	0
0.126	1	1	13	7	2	8	67	0	0	1
0.126	1	7	13	7	3	10	37	0	0	1
0.126	1	3	13	7	4	4	15	0	0	1
0.126	1	5	13	7	8	8	67	0	0	1
0.126	1	10	13	7	10	2	32	0	0	1
0.126	1	6	13	7	13	4	32	0	0	1
0.126	1	8	13	7	14	6	22	0	0	1
0.127	1	9	13	8	1	6	22	0	0	0
