% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	9	11	2	1	28	2196	0	0	0
0.101	1	9	11	2	1	28	2196	0	0	1
0.102	1	9	11	3	1	28	2196	0	0	0
0.102	1	9	11	3	1	28	2196	0	0	1
0.103	1	9	11	4	1	28	2196	0	0	0
0.103	1	9	11	4	1	28	2196	0	0	1
0.104	1	9	11	5	1	28	2196	0	0	0
0.104	1	9	11	5	1	28	2196	0	0	1
0.105	1	9	11	6	1	28	2196	0	0	0
0.105	1	9	11	6	1	28	2196	0	0	1
0.106	1	9	11	7	1	28	2196	0	0	0
0.106	1	9	11	7	1	28	2196	0	0	1
0.107	1	9	11	8	1	28	2196	0	0	0
0.107	1	9	11	8	1	28	2196	0	0	1
0.108	1	9	11	9	1	28	2196	0	0	0
0.108	1	9	11	9	1	28	2196	0	0	1
0.109	1	9	11	10	1	28	2196	0	0	0
0.109	1	5	11	10	2	28	2196	0	0	1
0.11	1	5	12	1	2	28	2196	0	0	0
0.11	1	5	12	1	2	28	2196	0	0	1
0.111	1	9	12	2	1	28	2196	0	0	0
0.111	1	5	12	2	2	28	2196	0	0	1
0.112	1	9	12	3	1	28	2196	0	0	0
0.112	1	5	12	3	2	28	2196	0	0	1
0.113	1	9	12	4	1	28	2196	0	0	0
0.113	1	9	12	4	1	28	2196	0	0	1
0.114	1	9	12	5	1	28	2196	0	0	0
0.114	1	9	12	5	1	28	2196	0	0	1
0.115	1	9	12	6	1	28	2196	0	0	0
0.115	1	9	12	6	1	28	2196	0	0	1
0.116	1	9	12	7	1	28	2196	0	0	0
0.116	1	9	12	7	1	28	2196	0	0	1
0.117	1	9	12	8	1	28	2196	0	0	0
0.117	1	9	12	8	1	28	2196	0	0	1
0.118	1	9	12	9	1	28	2196	0	0	0
0.118	1	9	12	9	1	28	2196	0	0	1
0.119	1	5	12	10	2	28	2196	0	0	0
0.119	1	5	12	10	2	28	2196	0	0	1
0.12	1	9	13	1	1	28	2196	0	0	0
0.12	1	9	13	1	1	28	2196	0	0	1
0.121	1	9	13	2	1	28	2196	0	0	0
0.121	1	9	13	2	1	28	2196	0	0	1
0.122	1	9	13	3	1	28	2196	0	0	0
0.122	1	5	13	3	2	28	2196	0	0	1
0.123	1	9	13	4	1	28	2196	0	0	0
0.123	1	5	13	4	2	28	2196	0	0	1
0.124	1	9	13	5	1	28	2196	0	0	0
0.124	1	5	13	5	2	28	2196	0	0	1
0.125	1	9	13	6	1	28	2196	0	0	0
0.125	1	9	13	6	1	28	2196	0	0	1
0.126	1	9	13	7	1	28	2196	0	0	0
0.126	1	9	13	7	1	28	2196	0	0	1
0.127	1	9	13	8	1	28	2196	0	0	0
0.127	1	9	13	8	1	28	2196	0	0	1
0.128	1	5	13	9	2	28	2196	0	0	0
0.128	1	5	13	9	2	28	2196	0	0	1
0.129	1	9	13	10	1	28	2196	0	0	0
0.129	1	9	13	10	1	28	2196	0	0	1
0.13	1	9	14	1	1	28	2196	0	0	0
0.13	1	9	14	1	1	28	2196	0	0	1
0.131	1	9	14	2	1	28	2196	0	0	0
0.131	1	9	14	2	1	28	2196	0	0	1
0.132	1	9	14	3	1	28	2196	0	0	0
0.132	1	9	14	3	1	28	2196	0	0	1
0.133	1	9	14	4	1	28	2196	0	0	0
0.133	1	9	14	4	1	28	2196	0	0	1
0.134	1	9	14	5	1	28	2196	0	0	0
0.134	1	9	14	5	1	28	2196	0	0	1
0.135	1	9	14	6	1	28	2196	0	0	0
0.135	1	9	14	6	1	28	2196	0	0	1
0.136	1	9	14	7	1	28	2196	0	0	0
0.136	1	5	14	7	2	28	2196	0	0	1
0.137	1	9	14	8	1	28	2196	0	0	0
0.137	1	5	14	8	2	28	2196	0	0	1
0.138	1	5	14	9	2	28	2196	0	0	0
0.138	1	5	14	9	2	28	2196	0	0	1
0.139	1	9	14	10	1	28	2196	0	0	0
0.139	1	9	14	10	1	28	2196	0	0	1
0.14	1	9	15	1	1	28	2196	0	0	0
0.14	1	5	15	1	2	28	2196	0	0	1
0.141	1	9	15	2	1	28	2196	0	0	0
0.141	1	9	15	2	1	28	2196	0	0	1
0.142	1	9	15	3	1	28	2196	0	0	0
0.142	1	9	15	3	1	28	2196	0	0	1
0.143	1	9	15	4	1	28	2196	0	0	0
0.143	1	9	15	4	1	28	2196	0	0	1
0.144	1	9	15	5	1	28	2196	0	0	0
0.144	1	9	15	5	1	28	2196	0	0	1
0.145	1	9	15	6	1	28	2196	0	0	0
0.145	1	9	15	6	1	28	2196	0	0	1
0.146	1	9	15	7	1	28	2196	0	0	0
0.146	1	9	15	7	1	28	2196	0	0	1
0.147	1	5	15	8	2	28	2196	0	0	0
0.147	1	5	15	8	2	28	2196	0	0	1
0.148	1	9	15	9	1	28	2196	0	0	0
0.148	1	9	15	9	1	28	2196	0	0	1
0.149	1	9	15	10	1	28	2196	0	0	0
0.149	1	9	15	10	1	28	2196	0	0	1
0.15	1	9	16	1	1	28	2196	0	0	0
0.15	1	9	16	1	1	28	2196	0	0	1
0.151	1	9	16	2	1	28	2196	0	0	0
0.151	1	9	16	2	1	28	2196	0	0	1
0.152	1	9	16	3	1	28	2196	0	0	0
0.152	1	5	16	3	2	28	2052	0	0	1
