% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	7	11	10	2	4	41	0
0.109	1	6	11	10	3	12	125	0
0.109	1	10	11	10	10	10	109	0
0.109	1	3	11	10	11	10	109	0
0.109	1	9	11	10	15	14	157	0
0.109	1	7	11	10	2	4	41	1
0.109	1	6	11	10	3	12	125	1
0.109	1	10	11	10	10	10	109	1
0.109	1	3	11	10	11	10	109	1
0.109	1	9	11	10	15	14	157	1
0.11	1	2	12	1	9	14	193	0
0.11	1	1	12	1	12	18	269	0
0.11	1	8	12	1	1	12	149	0
0.11	1	2	12	1	9	14	193	1
0.11	1	1	12	1	12	18	269	1
0.11	1	8	12	1	1	12	149	1
0.111	1	4	12	2	16	6	153	0
0.111	1	4	12	2	16	6	153	1
0.124	1	5	13	5	4	8	437	0
0.124	1	5	13	5	4	8	437	1
1.169	1	4	117	10	16	0	85	0
1.169	1	4	117	10	16	0	85	1
3.129	1	2	313	10	9	8	437	0
3.129	1	2	313	10	9	8	437	1
9.169	1	2	917	10	9	0	85	0
9.169	1	2	917	10	9	0	85	1
