% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	7	11	2	1	28	185	0	0	0
0.101	1	2	11	2	2	28	185	0	0	0
0.101	1	8	11	2	3	28	185	0	0	0
0.101	1	9	11	2	4	28	185	0	0	0
0.101	1	5	11	2	9	28	185	0	0	0
0.101	1	3	11	2	10	28	185	0	0	0
0.101	1	4	11	2	11	28	185	0	0	0
0.101	1	1	11	2	12	28	185	0	0	0
0.101	1	6	11	2	15	28	185	0	0	0
0.101	1	10	11	2	16	28	185	0	0	0
0.101	1	7	11	2	1	28	185	0	0	1
0.101	1	2	11	2	2	28	185	0	0	1
0.101	1	8	11	2	3	28	185	0	0	1
0.101	1	9	11	2	4	28	185	0	0	1
0.101	1	5	11	2	9	28	185	0	0	1
0.101	1	3	11	2	10	28	185	0	0	1
0.101	1	4	11	2	11	28	185	0	0	1
0.101	1	1	11	2	12	28	185	0	0	1
0.101	1	6	11	2	15	28	185	0	0	1
0.101	1	10	11	2	16	28	185	0	0	1
0.102	1	5	11	3	9	28	749	0	0	0
0.102	1	3	11	3	10	28	749	0	0	0
0.102	1	1	11	3	12	28	749	0	0	0
0.102	1	2	11	3	2	28	549	0	0	1
0.102	1	4	11	3	11	28	185	0	0	1
0.102	1	1	11	3	12	28	549	0	0	1
0.102	1	6	11	3	15	28	749	0	0	1
0.102	1	10	11	3	16	28	185	0	0	1
0.103	1	5	11	4	9	28	1095	0	0	0
0.103	1	3	11	4	10	28	373	0	0	0
0.103	1	1	11	4	12	28	749	0	0	0
0.103	1	5	11	4	9	28	549	0	0	1
0.103	1	1	11	4	12	28	373	0	0	1
0.103	1	6	11	4	15	28	1095	0	0	1
0.103	1	10	11	4	16	28	185	0	0	1
0.104	1	9	11	5	4	28	749	0	0	0
0.104	1	3	11	5	10	28	1479	0	0	0
0.104	1	2	11	5	2	28	549	0	0	1
0.104	1	4	11	5	11	28	935	0	0	1
0.104	1	10	11	5	16	28	749	0	0	1
0.105	1	7	11	6	1	28	549	0	0	0
0.105	1	9	11	6	4	28	1692	0	0	0
0.105	1	2	11	6	2	28	549	0	0	1
0.105	1	9	11	6	4	28	185	0	0	1
0.105	1	4	11	6	11	28	373	0	0	1
0.105	1	10	11	6	16	28	1095	0	0	1
0.106	1	7	11	7	1	28	2196	0	0	0
0.106	1	7	11	7	1	28	185	0	0	1
0.106	1	8	11	7	3	28	2052	0	0	1
0.107	1	9	11	8	4	26	453	0	0	0
0.107	1	3	11	8	10	24	935	0	0	0
0.107	1	1	11	8	12	28	373	0	0	0
0.107	1	8	11	8	3	28	185	0	0	1
0.107	1	9	11	8	4	28	373	0	0	1
0.107	1	3	11	8	10	24	669	0	0	1
0.107	1	1	11	8	12	28	185	0	0	1
0.107	1	6	11	8	15	28	185	0	0	1
0.107	1	10	11	8	16	28	373	0	0	1
0.108	1	5	11	9	9	24	1479	0	0	0
0.108	1	3	11	9	10	28	185	0	0	0
0.108	1	5	11	9	9	28	185	0	0	1
0.108	1	4	11	9	11	28	749	0	0	1
0.108	1	6	11	9	15	28	185	0	0	1
0.108	1	10	11	9	16	28	1095	0	0	1
0.109	1	5	11	10	9	28	749	0	0	0
0.109	1	1	11	10	12	22	935	0	0	0
0.109	1	6	11	10	15	28	749	0	0	1
0.109	1	4	11	10	11	24	1063	0	0	1
0.11	1	7	12	1	1	28	185	0	0	0
0.11	1	9	12	1	4	28	185	0	0	0
0.11	1	5	12	1	9	28	1095	0	0	0
0.11	1	1	12	1	12	28	749	0	0	0
0.11	1	8	12	1	3	28	185	0	0	1
0.11	1	4	12	1	11	28	935	0	0	1
0.11	1	6	12	1	15	28	1095	0	0	1
0.111	1	7	12	2	1	28	1287	0	0	0
0.111	1	9	12	2	4	28	935	0	0	0
0.111	1	10	12	2	16	28	749	0	0	1
0.111	1	8	12	2	3	28	1479	0	0	1
0.112	1	5	12	3	9	28	185	0	0	0
0.112	1	3	12	3	10	28	935	0	0	0
0.112	1	1	12	3	12	26	903	0	0	0
0.112	1	10	12	3	16	28	1095	0	0	1
0.112	1	2	12	3	2	28	1095	0	0	1
0.113	1	3	12	4	10	28	1095	0	0	0
0.113	1	1	12	4	12	28	1095	0	0	0
0.113	1	2	12	4	2	24	1620	0	0	1
0.114	1	1	12	5	12	28	373	0	0	0
0.114	1	7	12	5	1	28	749	0	0	0
0.114	1	5	12	5	9	28	1095	0	0	0
0.114	1	1	12	5	12	28	185	0	0	1
0.114	1	8	12	5	3	28	935	0	0	1
0.114	1	4	12	5	11	28	373	0	0	1
0.114	1	6	12	5	15	28	185	0	0	1
0.114	1	10	12	5	16	28	549	0	0	1
0.115	1	7	12	6	1	28	1479	0	0	0
0.115	1	9	12	6	4	28	749	0	0	0
0.115	1	6	12	6	15	28	185	0	0	1
0.115	1	10	12	6	16	22	1287	0	0	1
0.116	1	9	12	7	4	28	2052	0	0	0
0.116	1	1	12	7	12	28	185	0	0	0
0.116	1	4	12	7	11	28	549	0	0	1
0.116	1	6	12	7	15	28	1479	0	0	1
0.116	1	10	12	7	16	28	185	0	0	1
0.117	1	7	12	8	1	28	549	0	0	0
0.117	1	5	12	8	9	28	749	0	0	0
0.117	1	1	12	8	12	28	935	0	0	0
0.117	1	10	12	8	16	24	1620	0	0	1
0.118	1	3	12	9	10	26	1692	0	0	0
0.118	1	1	12	9	12	28	185	0	0	0
