% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	3	11	10	1	26	1908	0
0.109	1	3	11	10	1	26	1908	1
0.11	1	8	12	1	2	22	1431	0
0.11	1	8	12	1	2	22	1431	1
0.111	1	9	12	2	3	28	2292	0
0.111	1	9	12	2	3	28	2292	1
0.112	1	6	12	3	4	28	1095	0
0.112	1	10	12	3	9	28	1095	0
0.112	1	6	12	3	4	28	1095	1
0.112	1	10	12	3	9	28	1095	1
0.113	1	5	12	4	10	28	2292	0
0.113	1	5	12	4	10	28	2292	1
0.114	1	4	12	5	11	28	2292	0
0.114	1	4	12	5	11	28	2292	1
0.115	1	7	12	6	12	8	437	0
0.115	1	7	12	6	12	8	437	1
0.116	1	1	12	7	13	28	1095	0
0.116	1	2	12	7	14	28	1095	0
0.116	1	1	12	7	13	28	1095	1
0.116	1	2	12	7	14	28	1095	1
0.123	1	1	13	4	13	28	1095	0
0.16	1	1	17	1	13	28	2292	0
0.16	1	1	17	1	13	28	2292	1
1.154	1	5	116	5	10	22	1431	0
1.154	1	5	116	5	10	22	1431	1
1.158	1	2	116	9	14	28	2292	0
1.158	1	2	116	9	14	28	2292	1
3.149	1	3	315	10	1	28	2292	0
3.149	1	3	315	10	1	28	2292	1
3.151	1	10	316	2	9	12	621	0
3.151	1	10	316	2	9	12	621	1
6.384	1	10	639	5	9	28	2292	0
6.384	1	10	639	5	9	28	2292	1
