% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	5	3	0	4	41	0	1	1	0
115	1	6	9	0	10	109	0	1	1	0
115	1	3	10	0	12	125	0	1	1	0
115	1	10	15	0	10	109	0	1	1	0
115	1	1	16	0	6	63	0	1	1	0
115	2	5	3	0	4	41	0	1	1	1
115	2	6	9	0	10	109	0	1	0	1
115	2	3	10	0	12	125	0	1	0	1
115	2	10	15	0	10	109	0	1	0	1
115	2	1	16	0	6	63	0	1	0	1
116	1	8	2	0	6	101	0	1	1	0
116	1	9	4	0	12	201	0	1	1	0
116	1	4	12	0	6	101	0	1	1	0
117	1	7	1	0	4	105	0	1	1	0
177	1	2	11	0	2	137	0	1	1	0
3115	1	3	10	0	0	85	0	1	1	0
9176	1	3	10	0	0	85	0	1	1	0
