% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	5	11	10	3	2	22	0
0.109	1	5	11	10	3	2	22	1
0.11	1	6	12	1	1	0	7	0
0.11	1	9	12	1	2	6	32	0
0.11	1	5	12	1	3	2	18	0
0.11	1	8	12	1	10	4	26	0
0.11	1	6	12	1	1	0	7	1
0.11	1	9	12	1	2	6	32	1
0.11	1	5	12	1	3	2	18	1
0.11	1	8	12	1	10	4	26	1
0.111	1	9	12	2	2	6	32	0
0.111	1	8	12	2	10	4	26	0
0.111	1	9	12	2	2	6	32	1
0.111	1	8	12	2	10	4	26	1
0.112	1	1	12	3	14	0	7	0
0.112	1	6	12	3	1	6	32	0
0.112	1	1	12	3	14	0	7	1
0.112	1	6	12	3	1	6	32	1
0.113	1	1	12	4	14	0	7	0
0.113	1	6	12	4	1	6	32	0
0.113	1	1	12	4	14	0	7	1
0.113	1	6	12	4	1	6	32	1
0.114	1	1	12	5	14	0	11	0
0.114	1	1	12	5	14	0	11	1
0.115	1	1	12	6	14	0	11	0
0.115	1	1	12	6	14	0	11	1
0.116	1	1	12	7	14	0	11	0
0.116	1	1	12	7	14	0	11	1
0.118	1	6	12	9	1	6	49	0
0.118	1	6	12	9	1	6	49	1
0.12	1	1	13	1	14	0	11	0
0.12	1	1	13	1	14	0	11	1
0.121	1	1	13	2	14	0	11	0
0.121	1	1	13	2	14	0	11	1
0.122	1	1	13	3	14	0	11	0
0.122	1	1	13	3	14	0	11	1
0.123	1	1	13	4	14	0	11	0
0.123	1	1	13	4	14	0	11	1
0.124	1	1	13	5	14	0	11	0
0.124	1	2	13	5	4	4	32	0
0.124	1	1	13	5	14	0	11	1
0.124	1	2	13	5	4	4	32	1
0.125	1	2	13	6	4	4	41	0
0.125	1	2	13	6	4	4	41	1
0.129	1	10	13	10	9	2	32	0
0.129	1	10	13	10	9	2	32	1
0.13	1	10	14	1	9	2	32	0
0.13	1	10	14	1	9	2	32	1
0.293	1	3	30	4	13	2	41	0
0.293	1	3	30	4	13	2	41	1
0.412	1	4	42	3	12	0	41	0
0.412	1	4	42	3	12	0	41	1
0.811	1	7	82	2	11	4	225	0
0.811	1	7	82	2	11	4	225	1
