% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.101	1	3	11	2	1	28	185	0	0	0
0.101	1	8	11	2	2	28	185	0	0	0
0.101	1	2	11	2	3	28	185	0	0	0
0.101	1	6	11	2	4	28	185	0	0	0
0.101	1	5	11	2	7	28	185	0	0	0
0.101	1	1	11	2	8	28	185	0	0	0
0.101	1	9	11	2	9	28	185	0	0	0
0.101	1	7	11	2	10	28	185	0	0	0
0.101	1	10	11	2	13	28	185	0	0	0
0.101	1	4	11	2	14	28	185	0	0	0
0.101	1	3	11	2	1	28	185	0	0	1
0.101	1	8	11	2	2	28	185	0	0	1
0.101	1	2	11	2	3	28	185	0	0	1
0.101	1	6	11	2	4	28	185	0	0	1
0.101	1	5	11	2	7	28	185	0	0	1
0.101	1	1	11	2	8	28	185	0	0	1
0.101	1	9	11	2	9	28	185	0	0	1
0.101	1	7	11	2	10	28	185	0	0	1
0.101	1	10	11	2	13	28	185	0	0	1
0.101	1	4	11	2	14	28	185	0	0	1
0.102	1	3	11	3	1	28	373	0	0	0
0.102	1	5	11	3	7	28	749	0	0	0
0.102	1	1	11	3	8	28	749	0	0	0
0.102	1	9	11	3	9	28	185	0	0	0
0.102	1	7	11	3	10	28	185	0	0	0
0.102	1	8	11	3	2	28	185	0	0	1
0.102	1	6	11	3	4	28	749	0	0	1
0.102	1	5	11	3	7	28	749	0	0	1
0.102	1	1	11	3	8	28	373	0	0	1
0.102	1	4	11	3	14	28	185	0	0	1
0.103	1	3	11	4	1	28	373	0	0	0
0.103	1	5	11	4	7	28	749	0	0	0
0.103	1	1	11	4	8	28	185	0	0	0
0.103	1	7	11	4	10	28	935	0	0	0
0.103	1	8	11	4	2	28	373	0	0	1
0.103	1	6	11	4	4	28	1095	0	0	1
0.103	1	7	11	4	10	28	373	0	0	1
0.103	1	10	11	4	13	28	185	0	0	1
0.103	1	4	11	4	14	28	185	0	0	1
0.104	1	3	11	5	1	28	1692	0	0	0
0.104	1	1	11	5	8	28	373	0	0	0
0.104	1	9	11	5	9	28	185	0	0	0
0.104	1	3	11	5	1	28	749	0	0	1
0.104	1	10	11	5	13	28	1287	0	0	1
0.104	1	4	11	5	14	28	185	0	0	1
0.105	1	9	11	6	9	26	1836	0	0	0
0.105	1	9	11	6	9	28	749	0	0	1
0.105	1	4	11	6	14	28	1479	0	0	1
0.106	1	5	11	7	7	28	549	0	0	0
0.106	1	1	11	7	8	28	1287	0	0	0
0.106	1	7	11	7	10	28	373	0	0	0
0.106	1	8	11	7	2	28	1095	0	0	1
0.106	1	2	11	7	3	26	749	0	0	1
0.106	1	4	11	7	14	28	185	0	0	1
0.107	1	7	11	8	10	28	2196	0	0	0
0.107	1	8	11	8	2	28	373	0	0	1
0.107	1	2	11	8	3	26	1383	0	0	1
0.107	1	6	11	8	4	28	185	0	0	1
0.108	1	5	11	9	7	28	2196	0	0	0
0.108	1	6	11	9	4	24	1479	0	0	1
0.108	1	4	11	9	14	28	185	0	0	1
0.109	1	9	11	10	9	28	1479	0	0	0
0.109	1	7	11	10	10	28	749	0	0	0
0.109	1	2	11	10	3	28	373	0	0	1
0.109	1	10	11	10	13	28	1479	0	0	1
0.109	1	4	11	10	14	28	373	0	0	1
0.11	1	9	12	1	9	28	1479	0	0	0
0.11	1	7	12	1	10	28	749	0	0	0
0.11	1	2	12	1	3	28	373	0	0	1
0.11	1	10	12	1	13	28	1479	0	0	1
0.11	1	4	12	1	14	28	373	0	0	1
0.111	1	3	12	2	1	28	373	0	0	0
0.111	1	1	12	2	8	28	1836	0	0	0
0.111	1	8	12	2	2	28	2196	0	0	1
0.112	1	3	12	3	1	28	2196	0	0	0
0.112	1	8	12	3	2	28	935	0	0	1
0.112	1	10	12	3	13	28	185	0	0	1
0.112	1	4	12	3	14	28	1095	0	0	1
0.113	1	5	12	4	7	28	373	0	0	0
0.113	1	1	12	4	8	28	1095	0	0	0
0.113	1	7	12	4	10	28	749	0	0	0
0.113	1	6	12	4	4	28	373	0	0	1
0.113	1	4	12	4	14	28	1836	0	0	1
0.114	1	5	12	5	7	26	1383	0	0	0
0.114	1	1	12	5	8	28	373	0	0	0
0.114	1	9	12	5	9	28	185	0	0	0
0.114	1	2	12	5	3	28	1479	0	0	1
0.114	1	6	12	5	4	26	621	0	0	1
0.115	1	1	12	6	8	28	373	0	0	0
0.115	1	9	12	6	9	28	1692	0	0	0
0.115	1	7	12	6	10	28	185	0	0	0
0.115	1	2	12	6	3	28	1479	0	0	1
0.115	1	6	12	6	4	28	373	0	0	1
0.115	1	10	12	6	13	28	373	0	0	1
0.116	1	3	12	7	1	28	1479	0	0	0
0.116	1	1	12	7	8	28	549	0	0	0
0.116	1	7	12	7	10	28	185	0	0	0
0.116	1	3	12	7	1	28	185	0	0	1
0.116	1	6	12	7	4	28	1095	0	0	1
0.116	1	10	12	7	13	28	935	0	0	1
0.117	1	3	12	8	1	28	185	0	0	0
0.117	1	5	12	8	7	28	749	0	0	0
