% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.109	1	9	11	10	1	28	277	0
0.109	1	4	11	10	2	28	277	0
0.109	1	2	11	10	3	28	277	0
0.109	1	1	11	10	4	24	201	0
0.109	1	6	11	10	9	24	201	0
0.109	1	7	11	10	10	20	161	0
0.109	1	8	11	10	11	28	277	0
0.109	1	5	11	10	12	28	277	0
0.109	1	9	11	10	1	28	277	1
0.109	1	4	11	10	2	28	277	1
0.109	1	2	11	10	3	28	277	1
0.109	1	1	11	10	4	24	201	1
0.109	1	6	11	10	9	24	201	1
0.109	1	7	11	10	10	20	161	1
0.109	1	8	11	10	11	28	277	1
0.109	1	5	11	10	12	28	277	1
0.11	1	3	12	1	15	28	1095	0
0.11	1	10	12	1	16	4	105	0
0.11	1	3	12	1	15	28	1095	1
0.11	1	10	12	1	16	4	105	1
0.16	1	9	17	1	1	28	2292	0
0.16	1	9	17	1	1	28	2292	1
