% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	28	2292	0	1	0
131	1	1	1	0	28	2292	0	1	0
132	1	1	1	0	28	2292	0	1	0
134	1	1	1	0	28	2292	0	1	0
147	1	1	1	0	28	2292	0	1	0
148	1	1	1	0	28	2292	0	1	0
149	1	1	1	0	28	2292	0	1	0
151	1	1	1	0	28	2292	0	1	0
152	1	1	1	0	28	2292	0	1	0
165	1	1	1	0	28	2292	0	1	0
166	1	1	1	0	28	2292	0	1	0
180	1	1	1	0	28	2292	0	1	0
181	1	1	1	0	28	2292	0	1	0
182	1	1	1	0	28	2292	0	1	0
196	1	1	1	0	28	2292	0	1	0
197	1	1	1	0	28	2292	0	1	0
198	1	1	1	0	28	2292	0	1	0
199	1	1	1	0	28	2292	0	1	0
1181	1	1	1	0	28	2292	0	1	0
1197	1	1	1	0	28	2292	0	1	0
1198	1	1	1	0	28	2292	0	1	0
1204	1	1	1	0	28	2292	0	0	0
1211	1	1	1	0	28	2292	0	0	0
1227	1	1	1	0	0	85	0	1	0
1228	1	1	1	0	0	85	0	1	0
1229	1	1	1	0	0	85	0	1	0
1244	1	1	1	0	0	85	0	1	0
1245	1	1	1	0	0	85	0	1	0
1246	1	1	1	0	0	85	0	1	0
1247	1	1	1	0	0	85	0	1	0
1248	1	1	1	0	0	85	0	1	0
1261	1	1	1	0	0	85	0	1	0
1270	1	1	1	0	0	85	0	1	0
1271	1	1	1	0	0	85	0	1	0
1288	1	1	1	0	4	225	0	1	0
1290	1	1	1	0	4	225	0	1	0
1304	1	1	1	0	4	225	0	1	0
1305	1	1	1	0	4	225	0	1	0
1306	1	1	1	0	4	225	0	1	0
1307	1	1	1	0	4	225	0	1	0
1320	1	1	1	0	4	225	0	1	0
1321	1	1	1	0	4	225	0	1	0
1323	1	1	1	0	4	225	0	1	0
1324	1	1	1	0	4	225	0	1	0
1336	1	1	1	0	28	2292	0	1	0
1337	1	1	1	0	28	2292	0	1	0
1339	1	1	1	0	28	2292	0	1	0
1353	1	1	1	0	28	2292	0	1	0
1354	1	1	1	0	28	2292	0	1	0
1369	1	1	1	0	20	1335	0	1	0
1370	1	1	1	0	20	1335	0	1	0
1371	1	1	1	0	20	1335	0	1	0
1384	1	1	1	0	20	1335	0	1	0
1385	1	1	1	0	20	1335	0	1	0
1386	1	1	1	0	20	1335	0	1	0
1401	1	1	1	0	20	1335	0	1	0
1402	1	1	1	0	20	1335	0	1	0
1417	1	1	1	0	26	1908	0	1	0
1419	1	1	1	0	26	1908	0	1	0
1433	1	1	1	0	26	1908	0	1	0
1435	1	1	1	0	26	1908	0	1	0
1449	1	1	1	0	28	2292	0	1	0
1451	1	1	1	0	28	2292	0	1	0
1452	1	1	1	0	28	2292	0	1	0
1466	1	1	1	0	28	2292	0	1	0
1469	1	1	1	0	28	2292	0	1	0
1486	1	1	1	0	28	2292	0	1	0
1487	1	1	1	0	28	2292	0	1	0
2482	1	1	1	0	28	2292	0	1	0
2499	1	1	1	0	28	2292	0	1	0
2516	1	1	1	0	28	2292	0	1	0
2517	1	1	1	0	28	2292	0	1	0
2532	1	1	1	0	28	2292	0	1	0
2534	1	1	1	0	28	2292	0	1	0
2549	1	1	1	0	28	2292	0	1	0
2551	1	1	1	0	28	2292	0	1	0
2566	1	1	1	0	28	2292	0	1	0
2568	1	1	1	0	28	2292	0	1	0
2582	1	1	1	0	28	2292	0	1	0
2584	1	1	1	0	28	2292	0	1	0
2597	1	1	1	0	28	2292	0	1	0
2599	1	1	1	0	28	2292	0	1	0
2613	1	1	1	0	18	1143	0	1	0
2614	1	1	1	0	18	1143	0	1	0
2616	1	1	1	0	18	1143	0	1	0
2630	1	1	1	0	18	1143	0	1	0
2631	1	1	1	0	18	1143	0	1	0
2646	1	1	1	0	18	1143	0	1	0
2647	1	1	1	0	8	437	0	1	0
2648	1	1	1	0	8	437	0	1	0
2649	1	1	1	0	8	437	0	1	0
2662	1	1	1	0	8	437	0	1	0
2663	1	1	1	0	8	437	0	1	0
2664	1	1	1	0	8	437	0	1	0
2678	1	1	1	0	8	437	0	1	0
