% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
115	1	1	1	0	4	225	0	1	1	0
131	1	1	1	0	10	549	0	1	1	0
147	1	1	1	0	10	549	0	1	1	0
164	1	1	1	0	10	549	0	1	1	0
180	1	1	1	0	12	621	0	1	1	0
198	1	1	1	0	12	621	0	1	1	0
3180	1	1	1	0	0	85	0	1	1	0
3196	1	1	1	0	0	85	0	1	1	0
3196	2	1	1	0	0	85	0	1	1	1
3212	1	1	1	0	2	137	0	1	1	0
3230	1	1	1	0	2	137	0	1	1	0
3247	1	1	1	0	4	225	0	1	1	0
3264	1	1	1	0	4	225	0	1	1	0
3286	1	1	1	0	4	225	0	1	1	0
3309	1	1	1	0	8	437	0	1	1	0
4304	1	1	1	0	8	437	0	1	1	0
4327	1	1	1	0	4	225	0	1	1	0
4552	1	1	1	0	12	621	0	1	1	0
4568	1	1	1	0	4	225	0	1	1	0
4584	1	1	1	0	4	225	0	1	1	0
4600	1	1	1	0	4	225	0	1	1	0
4618	1	1	1	0	0	85	0	1	1	0
4635	1	1	1	0	0	85	0	1	1	0
4652	1	1	1	0	10	549	0	1	1	0
4672	1	1	1	0	10	549	0	1	1	0
4687	1	1	1	0	2	137	0	1	1	0
4703	1	1	1	0	2	137	0	1	1	0
4719	1	1	1	0	2	137	0	1	1	0
4767	1	1	1	0	8	437	0	1	1	0
4788	1	1	1	0	8	437	0	1	1	0
4887	1	1	1	0	6	325	0	1	1	0
4902	1	1	1	0	6	325	0	1	1	0
4918	1	1	1	0	6	325	0	1	1	0
4934	1	1	1	0	6	325	0	1	1	0
4950	1	1	1	0	6	325	0	1	1	0
4972	1	1	1	0	10	549	0	1	1	0
4990	1	1	1	0	10	549	0	1	1	0
5005	1	1	1	0	10	549	0	1	1	0
5047	1	1	1	0	2	137	0	1	1	0
5063	1	1	1	0	2	137	0	1	1	0
5079	1	1	1	0	2	137	0	1	1	0
5079	2	1	1	0	2	137	0	1	1	1
5095	1	1	1	0	8	437	0	1	1	0
5111	1	1	1	0	8	437	0	1	1	0
5126	1	1	1	0	8	437	0	1	1	0
5142	1	1	1	0	8	437	0	1	1	0
5158	1	1	1	0	8	437	0	1	1	0
5177	1	1	1	0	6	325	0	1	1	0
5196	1	1	1	0	6	325	0	1	1	0
5212	1	1	1	0	4	225	0	1	1	0
5229	1	1	1	0	4	225	0	1	1	0
5245	1	1	1	0	4	225	0	1	1	0
5261	1	1	1	0	0	85	0	1	1	0
5261	2	1	1	0	0	85	0	1	1	1
5277	1	1	1	0	0	85	0	1	1	0
5277	2	1	1	0	0	85	0	1	1	1
5293	1	1	1	0	2	137	0	1	1	0
5312	1	1	1	0	2	137	0	1	1	0
5519	1	1	1	0	8	437	0	1	1	0
5535	1	1	1	0	14	807	0	1	1	0
5554	1	1	1	0	14	807	0	1	1	0
8540	1	1	1	0	12	621	0	1	1	0
9556	1	1	1	0	8	437	0	1	1	0
9573	1	1	1	0	6	325	0	1	1	0
9588	1	1	1	0	6	325	0	1	1	0
9606	1	1	1	0	6	325	0	1	1	0
9808	1	1	1	0	8	437	0	1	1	0
9824	1	1	1	0	8	437	0	1	1	0
9842	1	1	1	0	8	437	0	1	1	0
9859	1	1	1	0	8	437	0	1	1	0
9875	1	1	1	0	8	437	0	1	1	0
9891	1	1	1	0	8	437	0	1	1	0
9907	1	1	1	0	8	437	0	1	1	0
9923	1	1	1	0	8	437	0	1	1	0
9940	1	1	1	0	10	549	0	1	1	0
9957	1	1	1	0	10	549	0	1	1	0
9980	1	1	1	0	18	1143	0	1	1	0
9996	1	1	1	0	18	1143	0	1	1	0
