% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	4	225	0	1	0
115	2	1	1	0	4	225	0	1	1
131	1	1	1	0	10	549	0	1	0
131	2	1	1	0	10	549	0	1	1
133	1	1	1	0	10	549	0	1	0
133	2	1	1	0	10	549	0	1	1
134	1	1	1	0	10	549	0	1	0
134	2	1	1	0	10	549	0	1	1
147	1	1	1	0	10	549	0	1	0
147	2	1	1	0	10	549	0	1	1
148	1	1	1	0	10	549	0	1	0
148	2	1	1	0	10	549	0	1	1
149	1	1	1	0	10	549	0	1	0
149	2	1	1	0	10	549	0	1	1
164	1	1	1	0	10	549	0	1	0
164	2	1	1	0	10	549	0	1	1
165	1	1	1	0	10	549	0	1	0
165	2	1	1	0	10	549	0	1	1
166	1	1	1	0	10	549	0	1	0
166	2	1	1	0	10	549	0	1	1
167	1	1	1	0	12	621	0	1	0
167	2	1	1	0	12	621	0	1	1
180	1	1	1	0	12	621	0	1	0
180	2	1	1	0	12	621	0	1	1
181	1	1	1	0	12	621	0	1	0
181	2	1	1	0	12	621	0	1	1
182	1	1	1	0	12	621	0	1	0
182	2	1	1	0	12	621	0	1	1
183	1	1	1	0	12	621	0	1	0
183	2	1	1	0	12	621	0	1	1
198	1	1	1	0	12	621	0	1	0
198	2	1	1	0	12	621	0	1	1
199	1	1	1	0	12	621	0	1	0
199	2	1	1	0	12	621	0	1	1
200	1	1	1	0	12	621	0	1	0
200	2	1	1	0	12	621	0	1	1
3180	1	1	1	0	0	85	0	1	0
3180	2	1	1	0	0	85	0	1	1
3196	1	1	1	0	0	85	0	1	0
3196	2	1	1	0	0	85	0	1	1
3197	1	1	1	0	0	85	0	1	0
3197	2	1	1	0	0	85	0	1	1
3212	1	1	1	0	2	137	0	1	0
3212	2	1	1	0	2	137	0	1	1
3213	1	1	1	0	2	137	0	1	0
3213	2	1	1	0	2	137	0	1	1
3230	1	1	1	0	2	137	0	1	0
3230	2	1	1	0	2	137	0	1	1
3232	1	1	1	0	2	137	0	1	0
3232	2	1	1	0	2	137	0	1	1
3247	1	1	1	0	4	225	0	1	0
3247	2	1	1	0	4	225	0	1	1
3248	1	1	1	0	4	225	0	1	0
3248	2	1	1	0	4	225	0	1	1
3249	1	1	1	0	4	225	0	1	0
3249	2	1	1	0	4	225	0	1	1
3264	1	1	1	0	4	225	0	1	0
3264	2	1	1	0	4	225	0	1	1
3266	1	1	1	0	4	225	0	1	0
3266	2	1	1	0	4	225	0	1	1
3286	1	1	1	0	4	225	0	1	0
3286	2	1	1	0	4	225	0	1	1
3309	1	1	1	0	8	437	0	1	0
3309	2	1	1	0	8	437	0	1	1
4304	1	1	1	0	8	437	0	1	0
4304	2	1	1	0	8	437	0	1	1
4327	1	1	1	0	4	225	0	1	0
4327	2	1	1	0	4	225	0	1	1
4552	1	1	1	0	12	621	0	1	0
4552	2	1	1	0	12	621	0	1	1
4568	1	1	1	0	4	225	0	1	0
4568	2	1	1	0	4	225	0	1	1
4584	1	1	1	0	4	225	0	1	0
4584	2	1	1	0	4	225	0	1	1
4600	1	1	1	0	4	225	0	1	0
4600	2	1	1	0	4	225	0	1	1
4618	1	1	1	0	0	85	0	1	0
4618	2	1	1	0	0	85	0	1	1
4635	1	1	1	0	0	85	0	1	0
4635	2	1	1	0	0	85	0	1	1
4652	1	1	1	0	10	549	0	1	0
4652	2	1	1	0	10	549	0	1	1
4672	1	1	1	0	10	549	0	1	0
4672	2	1	1	0	10	549	0	1	1
4687	1	1	1	0	2	137	0	1	0
4687	2	1	1	0	2	137	0	1	1
