% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	22	1431	0	1	0
115	2	1	1	0	22	1431	0	1	1
130	1	1	1	0	4	225	0	1	0
130	2	1	1	0	4	225	0	1	1
131	1	1	1	0	4	225	0	1	0
131	2	1	1	0	4	225	0	1	1
132	1	1	1	0	4	225	0	1	0
132	2	1	1	0	4	225	0	1	1
145	1	1	1	0	4	225	0	1	0
145	2	1	1	0	4	225	0	1	1
146	1	1	1	0	4	225	0	1	0
146	2	1	1	0	4	225	0	1	1
147	1	1	1	0	4	225	0	1	0
147	2	1	1	0	4	225	0	1	1
161	1	1	1	0	4	225	0	1	0
161	2	1	1	0	4	225	0	1	1
162	1	1	1	0	4	225	0	1	0
162	2	1	1	0	4	225	0	1	1
177	1	1	1	0	2	137	0	1	0
177	2	1	1	0	2	137	0	1	1
178	1	1	1	0	2	137	0	1	0
178	2	1	1	0	2	137	0	1	1
179	1	1	1	0	2	137	0	1	0
179	2	1	1	0	2	137	0	1	1
193	1	1	1	0	2	137	0	1	0
193	2	1	1	0	2	137	0	1	1
194	1	1	1	0	2	137	0	1	0
194	2	1	1	0	2	137	0	1	1
195	1	1	1	0	2	137	0	1	0
195	2	1	1	0	2	137	0	1	1
196	1	1	1	0	2	137	0	1	0
196	2	1	1	0	2	137	0	1	1
214	1	1	1	0	28	2292	0	1	0
214	2	1	1	0	28	2292	0	1	1
230	1	1	1	0	28	2292	0	1	0
230	2	1	1	0	28	2292	0	1	1
231	1	1	1	0	28	2292	0	1	0
231	2	1	1	0	28	2292	0	1	1
232	1	1	1	0	28	2292	0	1	0
232	2	1	1	0	28	2292	0	1	1
245	1	1	1	0	28	2292	0	1	0
245	2	1	1	0	28	2292	0	1	1
246	1	1	1	0	28	2292	0	1	0
246	2	1	1	0	28	2292	0	1	1
247	1	1	1	0	24	1692	0	1	0
247	2	1	1	0	24	1692	0	1	1
260	1	1	1	0	24	1692	0	1	0
260	2	1	1	0	24	1692	0	1	1
261	1	1	1	0	24	1692	0	1	0
261	2	1	1	0	24	1692	0	1	1
262	1	1	1	0	24	1692	0	1	0
262	2	1	1	0	24	1692	0	1	1
276	1	1	1	0	24	1692	0	1	0
276	2	1	1	0	24	1692	0	1	1
277	1	1	1	0	24	1692	0	1	0
277	2	1	1	0	24	1692	0	1	1
278	1	1	1	0	24	1692	0	1	0
278	2	1	1	0	24	1692	0	1	1
291	1	1	1	0	12	621	0	1	0
