% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
127	1	1	1	0	2	137	0	1	1	0
143	1	1	1	0	2	137	0	1	1	0
143	2	1	1	0	2	137	0	1	1	1
349	1	1	1	0	6	325	0	1	1	0
365	1	1	1	0	6	325	0	1	1	0
381	1	1	1	0	8	437	0	1	1	0
400	1	1	1	0	8	437	0	1	1	0
423	1	1	1	0	10	549	0	1	1	0
1417	1	1	1	0	18	1143	0	1	1	0
1433	1	1	1	0	18	1143	0	1	1	0
1449	1	1	1	0	10	549	0	1	1	0
1465	1	1	1	0	10	549	0	1	1	0
1481	1	1	1	0	10	549	0	1	1	0
1497	1	1	1	0	18	1143	0	1	1	0
1517	1	1	1	0	18	1143	0	1	1	0
1567	1	1	1	0	18	1143	0	1	1	0
2535	1	1	1	0	18	1143	0	1	1	0
2552	1	1	1	0	18	1143	0	1	1	0
2568	1	1	1	0	6	325	0	1	1	0
2584	1	1	1	0	6	325	0	1	1	0
2600	1	1	1	0	6	325	0	1	1	0
2616	1	1	1	0	6	325	0	1	1	0
3832	1	1	1	0	4	225	0	1	1	0
3849	1	1	1	0	2	137	0	1	1	0
3867	1	1	1	0	2	137	0	1	1	0
3885	1	1	1	0	2	137	0	1	1	0
4090	1	1	1	0	12	621	0	1	1	0
4105	1	1	1	0	12	621	0	1	1	0
4120	1	1	1	0	12	621	0	1	1	0
4135	1	1	1	0	10	549	0	1	1	0
4151	1	1	1	0	10	549	0	1	1	0
4167	1	1	1	0	12	621	0	1	1	0
4183	1	1	1	0	12	621	0	1	1	0
4199	1	1	1	0	12	621	0	1	1	0
4215	1	1	1	0	14	807	0	1	1	0
4231	1	1	1	0	14	807	0	1	1	0
4247	1	1	1	0	6	325	0	1	1	0
4263	1	1	1	0	6	325	0	1	1	0
4284	1	1	1	0	6	325	0	1	1	0
4485	1	1	1	0	2	137	0	1	1	0
4527	1	1	1	0	6	325	0	1	1	0
4544	1	1	1	0	6	325	0	1	1	0
4568	1	1	1	0	14	807	0	1	1	0
5501	1	1	1	0	14	807	0	1	1	0
5520	1	1	1	0	14	807	0	1	1	0
5541	1	1	1	0	2	137	0	1	1	0
5565	1	1	1	0	2	137	0	1	1	0
6781	1	1	1	0	8	437	0	1	1	0
6798	1	1	1	0	8	437	0	1	1	0
6814	1	1	1	0	6	325	0	1	1	0
6830	1	1	1	0	6	325	0	1	1	0
6846	1	1	1	0	6	325	0	1	1	0
6862	1	1	1	0	14	807	0	1	1	0
6878	1	1	1	0	14	807	0	1	1	0
6894	1	1	1	0	18	1143	0	1	1	0
6911	1	1	1	0	18	1143	0	1	1	0
8127	1	1	1	0	0	85	0	1	1	0
8146	1	1	1	0	0	85	0	1	1	0
8163	1	1	1	0	0	85	0	1	1	0
8163	2	1	1	0	0	85	0	1	1	1
8180	1	1	1	0	12	621	0	1	1	0
8197	1	1	1	0	12	621	0	1	1	0
8247	1	1	1	0	6	325	0	1	1	0
8262	1	1	1	0	6	325	0	1	1	0
8278	1	1	1	0	6	325	0	1	1	0
8294	1	1	1	0	12	621	0	1	1	0
8310	1	1	1	0	12	621	0	1	1	0
8327	1	1	1	0	8	437	0	1	1	0
8343	1	1	1	0	8	437	0	1	1	0
8360	1	1	1	0	8	437	0	1	1	0
8563	1	1	1	0	12	621	0	1	1	0
9779	1	1	1	0	6	325	0	1	1	0
9799	1	1	1	0	6	325	0	1	1	0
