% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
115	1	1	1	0	28	2292	0	1	0
115	2	1	1	0	28	2292	0	1	1
130	1	1	1	0	28	2292	0	1	0
130	2	1	1	0	28	2292	0	1	1
131	1	1	1	0	28	2292	0	1	0
131	2	1	1	0	28	2292	0	1	1
132	1	1	1	0	28	2292	0	1	0
132	2	1	1	0	28	2292	0	1	1
145	1	1	1	0	28	2292	0	1	0
145	2	1	1	0	28	2292	0	1	1
146	1	1	1	0	28	2292	0	1	0
146	2	1	1	0	28	2292	0	1	1
147	1	1	1	0	28	2292	0	1	0
147	2	1	1	0	28	2292	0	1	1
160	1	1	1	0	28	2292	0	1	0
160	2	1	1	0	28	2292	0	1	1
161	1	1	1	0	28	2292	0	1	0
161	2	1	1	0	28	2292	0	1	1
162	1	1	1	0	28	2292	0	1	0
162	2	1	1	0	28	2292	0	1	1
175	1	1	1	0	28	2292	0	1	0
175	2	1	1	0	28	2292	0	1	1
176	1	1	1	0	28	2292	0	1	0
176	2	1	1	0	28	2292	0	1	1
177	1	1	1	0	28	2292	0	1	0
177	2	1	1	0	28	2292	0	1	1
190	1	1	1	0	28	2292	0	1	0
190	2	1	1	0	28	2292	0	1	1
191	1	1	1	0	28	2292	0	1	0
191	2	1	1	0	28	2292	0	1	1
192	1	1	1	0	28	2292	0	1	0
192	2	1	1	0	28	2292	0	1	1
205	1	1	1	0	28	2292	0	1	0
205	2	1	1	0	28	2292	0	1	1
206	1	1	1	0	28	2292	0	1	0
206	2	1	1	0	28	2292	0	1	1
207	1	1	1	0	28	2292	0	1	0
207	2	1	1	0	28	2292	0	1	1
220	1	1	1	0	28	2292	0	1	0
220	2	1	1	0	28	2292	0	1	1
221	1	1	1	0	28	2292	0	1	0
221	2	1	1	0	28	2292	0	1	1
222	1	1	1	0	28	2292	0	1	0
222	2	1	1	0	28	2292	0	1	1
235	1	1	1	0	28	2292	0	1	0
235	2	1	1	0	28	2292	0	1	1
236	1	1	1	0	28	2292	0	1	0
236	2	1	1	0	28	2292	0	1	1
250	1	1	1	0	28	2292	0	1	0
250	2	1	1	0	28	2292	0	1	1
251	1	1	1	0	28	2292	0	1	0
251	2	1	1	0	28	2292	0	1	1
252	1	1	1	0	28	2292	0	1	0
252	2	1	1	0	28	2292	0	1	1
265	1	1	1	0	28	2292	0	1	0
265	2	1	1	0	28	2292	0	1	1
266	1	1	1	0	28	2292	0	1	0
266	2	1	1	0	28	2292	0	1	1
267	1	1	1	0	28	2292	0	1	0
267	2	1	1	0	28	2292	0	1	1
280	1	1	1	0	28	2292	0	1	0
280	2	1	1	0	28	2292	0	1	1
281	1	1	1	0	28	2292	0	1	0
281	2	1	1	0	28	2292	0	1	1
282	1	1	1	0	28	2292	0	1	0
282	2	1	1	0	28	2292	0	1	1
296	1	1	1	0	28	2292	0	1	0
296	2	1	1	0	28	2292	0	1	1
297	1	1	1	0	28	2292	0	1	0
297	2	1	1	0	28	2292	0	1	1
298	1	1	1	0	28	2292	0	1	0
298	2	1	1	0	28	2292	0	1	1
313	1	1	1	0	28	2292	0	1	0
313	2	1	1	0	28	2292	0	1	1
314	1	1	1	0	28	2292	0	1	0
314	2	1	1	0	28	2292	0	1	1
328	1	1	1	0	28	2292	0	1	0
328	2	1	1	0	28	2292	0	1	1
329	1	1	1	0	28	2292	0	1	0
329	2	1	1	0	28	2292	0	1	1
330	1	1	1	0	28	2292	0	1	0
330	2	1	1	0	28	2292	0	1	1
343	1	1	1	0	28	2292	0	1	0
343	2	1	1	0	28	2292	0	1	1
344	1	1	1	0	28	2292	0	1	0
344	2	1	1	0	28	2292	0	1	1
358	1	1	1	0	28	2292	0	1	0
358	2	1	1	0	28	2292	0	1	1
359	1	1	1	0	28	2292	0	1	0
359	2	1	1	0	28	2292	0	1	1
373	1	1	1	0	24	1692	0	1	0
373	2	1	1	0	24	1692	0	1	1
374	1	1	1	0	24	1692	0	1	0
374	2	1	1	0	24	1692	0	1	1
392	1	1	1	0	24	1692	0	1	0
392	2	1	1	0	24	1692	0	1	1
407	1	1	1	0	28	2292	0	1	0
407	2	1	1	0	28	2292	0	1	1
408	1	1	1	0	28	2292	0	1	0
408	2	1	1	0	28	2292	0	1	1
422	1	1	1	0	28	2292	0	1	0
422	2	1	1	0	28	2292	0	1	1
423	1	1	1	0	28	2292	0	1	0
423	2	1	1	0	28	2292	0	1	1
437	1	1	1	0	28	2292	0	1	0
437	2	1	1	0	28	2292	0	1	1
438	1	1	1	0	28	2292	0	1	0
438	2	1	1	0	28	2292	0	1	1
452	1	1	1	0	24	1692	0	1	0
452	2	1	1	0	24	1692	0	1	1
453	1	1	1	0	24	1692	0	1	0
453	2	1	1	0	24	1692	0	1	1
467	1	1	1	0	24	1692	0	1	0
467	2	1	1	0	24	1692	0	1	1
468	1	1	1	0	24	1692	0	1	0
468	2	1	1	0	24	1692	0	1	1
482	1	1	1	0	24	1692	0	1	0
482	2	1	1	0	24	1692	0	1	1
483	1	1	1	0	24	1692	0	1	0
483	2	1	1	0	24	1692	0	1	1
497	1	1	1	0	28	2292	0	1	0
497	2	1	1	0	28	2292	0	1	1
498	1	1	1	0	28	2292	0	1	0
498	2	1	1	0	28	2292	0	1	1
513	1	1	1	0	28	2292	0	1	0
513	2	1	1	0	28	2292	0	1	1
514	1	1	1	0	28	2292	0	1	0
514	2	1	1	0	28	2292	0	1	1
533	1	1	1	0	26	1908	0	1	0
533	2	1	1	0	26	1908	0	1	1
548	1	1	1	0	26	1908	0	1	0
548	2	1	1	0	26	1908	0	1	1
555	1	1	1	0	26	1908	0	0	0
570	1	1	1	0	24	1692	0	1	0
570	2	1	1	0	24	1692	0	1	1
585	1	1	1	0	24	1692	0	1	0
585	2	1	1	0	24	1692	0	1	1
1175	1	1	1	0	28	2292	0	1	0
1175	2	1	1	0	28	2292	0	1	1
1190	1	1	1	0	28	2292	0	1	0
1190	2	1	1	0	28	2292	0	1	1
1205	1	1	1	0	28	2292	0	1	0
1205	2	1	1	0	28	2292	0	1	1
1212	1	1	1	0	28	2292	0	0	0
1228	1	1	1	0	10	549	0	1	0
1228	2	1	1	0	10	549	0	1	1
1243	1	1	1	0	10	549	0	1	0
1243	2	1	1	0	10	549	0	1	1
1244	1	1	1	0	10	549	0	1	0
1244	2	1	1	0	10	549	0	1	1
1245	1	1	1	0	10	549	0	1	0
1245	2	1	1	0	10	549	0	1	1
1258	1	1	1	0	28	2292	0	1	0
1258	2	1	1	0	28	2292	0	1	1
1259	1	1	1	0	28	2292	0	1	0
1259	2	1	1	0	28	2292	0	1	1
1260	1	1	1	0	28	2292	0	1	0
1260	2	1	1	0	28	2292	0	1	1
1273	1	1	1	0	28	2292	0	1	0
1273	2	1	1	0	28	2292	0	1	1
1274	1	1	1	0	28	2292	0	1	0
1274	2	1	1	0	28	2292	0	1	1
1288	1	1	1	0	28	2292	0	1	0
1288	2	1	1	0	28	2292	0	1	1
1289	1	1	1	0	28	2292	0	1	0
1289	2	1	1	0	28	2292	0	1	1
1303	1	1	1	0	28	2292	0	1	0
1303	2	1	1	0	28	2292	0	1	1
1304	1	1	1	0	28	2292	0	1	0
1304	2	1	1	0	28	2292	0	1	1
1305	1	1	1	0	28	2292	0	1	0
1305	2	1	1	0	28	2292	0	1	1
1318	1	1	1	0	28	2292	0	1	0
1318	2	1	1	0	28	2292	0	1	1
1319	1	1	1	0	28	2292	0	1	0
1319	2	1	1	0	28	2292	0	1	1
1320	1	1	1	0	28	2292	0	1	0
1320	2	1	1	0	28	2292	0	1	1
1334	1	1	1	0	28	2292	0	1	0
1334	2	1	1	0	28	2292	0	1	1
1341	1	1	1	0	28	2292	0	0	0
1356	1	1	1	0	28	2292	0	1	0
1356	2	1	1	0	28	2292	0	1	1
1357	1	1	1	0	28	2292	0	1	0
1357	2	1	1	0	28	2292	0	1	1
1371	1	1	1	0	28	2292	0	1	0
1371	2	1	1	0	28	2292	0	1	1
1372	1	1	1	0	28	2292	0	1	0
1372	2	1	1	0	28	2292	0	1	1
1387	1	1	1	0	28	2292	0	1	0
1387	2	1	1	0	28	2292	0	1	1
1402	1	1	1	0	28	2292	0	1	0
1402	2	1	1	0	28	2292	0	1	1
1403	1	1	1	0	28	2292	0	1	0
1403	2	1	1	0	28	2292	0	1	1
1419	1	1	1	0	28	2292	0	1	0
1419	2	1	1	0	28	2292	0	1	1
1420	1	1	1	0	28	2292	0	1	0
1420	2	1	1	0	28	2292	0	1	1
1434	1	1	1	0	28	2292	0	1	0
1434	2	1	1	0	28	2292	0	1	1
1435	1	1	1	0	28	2292	0	1	0
1435	2	1	1	0	28	2292	0	1	1
1436	1	1	1	0	28	2292	0	1	0
1436	2	1	1	0	28	2292	0	1	1
1441	1	1	1	0	28	2292	0	0	0
1456	1	1	1	0	10	549	0	1	0
